Time,Price
2012-11-01,14.99
2012-11-05,14.99
2012-11-08,14.39
2012-11-10,14.99
2012-11-11,14.99
2012-11-13,14.99
2012-11-16,14.99
2012-11-19,14.99
2012-11-29,14.99
2012-11-29,14.99
2012-12-02,14.99
2012-12-03,14.99
2012-12-15,13.49
2012-12-18,14.99
2013-01-06,14.99
2013-01-28,14.99
2013-02-02,14.99
2013-02-19,14.99
2013-02-20,14.99
2013-02-28,14.99
2013-03-07,14.99
2013-03-09,14.99
2013-03-17,14.99
2013-03-19,14.99
2013-03-20,14.99
2013-03-20,14.99
2013-03-21,14.99
2013-04-01,14.99
2013-04-05,14.99
2013-04-06,14.99
2013-04-07,14.99
2013-04-11,14.99
2013-04-12,14.99
2013-04-12,14.99
2013-04-14,14.99
2013-04-17,14.99
2013-04-18,14.99
2013-04-19,14.99
2013-04-22,14.99
2013-04-24,14.99
2013-05-09,14.99
2013-05-10,14.99
2013-05-13,14.99
2013-05-16,14.99
2013-05-22,14.99
2013-05-23,14.99
2013-06-01,17.99
2013-06-01,17.99
2013-06-02,17.99
2013-06-05,17.99
2013-06-08,17.99
2013-06-12,17.99
2013-06-14,17.99
2013-06-18,17.99
2013-06-21,17.99
2013-06-25,17.99
2013-06-28,17.99
2013-07-01,17.99
2013-07-04,17.99
2013-07-06,17.99
2013-07-07,17.99
2013-07-10,17.99
2013-07-13,17.99
2013-07-19,17.99
2013-07-22,17.99
2013-07-25,17.99
2013-07-28,17.99
2013-08-04,17.99
2013-08-07,17.99
2013-08-10,17.99
2013-08-13,17.99
2013-09-14,17.99
2013-10-13,17.99
2013-10-18,17.99
2013-10-27,18.99
2013-10-30,18.99
2013-11-02,18.99
2013-11-05,18.99
2013-11-08,18.99
2013-11-12,18.99
2013-12-17,16.99
2013-12-23,17.99
2013-12-29,17.99
2014-03-18,17.99
2014-06-10,17.93
2014-07-11,17.99
2014-07-26,25.14
2014-07-30,17.99
2014-08-07,17.99
2014-08-22,17.99
2014-08-31,17.99
2014-09-12,17.99
2014-09-16,17.99
2014-09-20,17.99
2014-09-24,17.99
2014-09-29,17.99
2014-10-07,17.99
2014-12-30,17.99
2015-02-15,24.52
2015-02-20,25.14
2015-02-24,23.74
2015-03-04,17.99
2015-03-10,17.99
2015-03-23,17.99
2015-03-31,17.99
2015-04-05,17.99
2015-04-09,17.99
2015-04-12,17.99
2015-04-16,17.99
2015-05-07,17.99
2015-05-10,17.99
2015-05-20,17.99
2015-06-11,17.99
2015-06-18,17.99
2015-06-25,17.99
2015-06-29,17.99
2015-07-05,17.99
2015-07-15,14.99
2015-07-17,17.99
2015-07-19,17.99
2015-07-22,17.99
2015-07-26,15.99
2015-07-30,15.64
2015-08-02,15.64
2015-08-06,15.64
2015-08-15,15.64
2015-08-27,15.64
2015-09-01,15.64
2015-09-05,15.64
2015-09-09,15.64
2015-09-13,15.64
2015-09-16,15.64
2015-09-20,15.64
2015-09-23,15.64
2015-09-27,15.64
2015-09-30,15.64
2015-11-05,13.99
2015-11-16,13.7
2015-11-21,7.99
2015-11-23,13.7
2015-11-25,13.7
2015-11-28,13.7
2015-11-29,13.7
2016-02-02,17.99
2016-02-20,17.99
2016-02-28,16.81
2016-03-18,16.19
2016-03-28,14.99
2016-04-06,12.97
2016-04-14,12.97
2016-04-16,12.97
2016-04-27,12.97
2016-05-11,14.99
2016-09-20,14.99
2016-10-29,14.64
2016-11-04,14.64
2016-11-08,14.64
2016-11-13,14.64
2016-11-16,14.64
2016-11-20,14.64
2016-11-23,14.64
