Time,Price
2012-06-13,39.94
2012-06-15,39.94
2012-08-01,34.88
2012-08-02,34.88
2012-08-04,34.88
2012-08-06,34.88
2012-08-10,34.88
2012-08-11,34.88
2012-08-19,34
2012-08-20,34.88
2012-08-22,34.88
2012-08-23,34.88
2012-08-24,34.88
2012-08-25,34.88
2012-09-12,36.99
2012-09-26,38.63
2012-10-06,34.88
2012-10-07,29.94
2012-10-08,29.94
2012-10-09,34.88
2012-10-12,34.88
2012-10-12,34.88
2012-10-14,34.88
2012-10-19,34.88
2012-11-03,40.45
2012-11-04,34.88
2012-11-05,34.88
2012-11-17,39.6
2012-11-17,24.97
2013-09-20,36.14
2013-09-24,36.14
2013-09-27,49.53
2013-09-28,49.15
2013-09-29,47.59
2013-09-30,48.82
2013-10-03,47.88
2013-10-05,46.53
2013-10-06,45.88
2013-10-10,45.41
2013-10-13,49.99
2013-10-18,45.92
2013-10-20,44.99
2013-10-21,44.99
2013-10-23,48.94
2013-10-27,51.34
2013-10-30,51.47
2013-11-05,54.2
2013-11-08,54.06
2013-11-12,51.98
2013-11-22,46.07
2013-11-23,44.99
2013-11-25,44.99
2013-11-28,47.82
2013-12-01,47.81
2013-12-05,46.62
2013-12-08,48.09
2013-12-11,44.99
2013-12-13,46.64
2013-12-14,45.4
2013-12-17,43.9
2013-12-23,42.8
2013-12-26,43.9
2013-12-29,43.9
2014-01-01,43.9
2014-01-06,43.9
2014-01-08,49.95
2014-01-12,43.53
2014-01-17,43.38
2014-01-20,43.5
2014-01-29,49.95
2014-02-02,48
2014-02-04,48
2014-02-05,48
2014-02-08,36.99
2014-02-12,48
2014-02-15,48
2014-02-20,49.99
2014-02-25,49.99
2014-02-25,46.43
2014-02-28,45.8
2014-03-03,45.8
2014-03-07,45.8
2014-03-15,45.8
2014-03-18,46.86
2014-03-22,47.59
2014-03-22,47.59
2014-04-08,40.35
2014-04-13,40.35
2014-04-22,40.35
2014-05-01,39.34
2014-05-03,40.35
2014-05-05,39.6
2014-05-06,39.3
2014-05-07,40.31
2014-05-07,39.29
2014-05-08,38.27
2014-05-10,37.76
2014-05-11,37.36
2014-05-13,37.76
2014-05-16,43.34
2014-05-16,43.34
2014-05-17,37.36
2014-05-18,41.1
2014-05-18,44.31
2014-05-23,40.29
2014-05-25,39.64
2014-06-04,46.43
2014-06-05,43.25
2014-06-10,45.8
2014-06-26,42.03
2014-07-11,46.43
2014-07-26,41.18
2014-07-29,40.97
2014-07-30,40.48
2014-07-31,40.48
2014-08-01,41.91
2014-08-01,41.39
2014-08-02,41.39
2014-08-07,45.54
2014-08-08,45.54
2014-08-22,43.55
2014-11-25,44.26
2014-11-29,41.45
2014-12-02,40.76
2014-12-06,44.66
2014-12-30,42.92
2015-01-04,42.18
2015-02-16,39.7
2015-02-16,39.7
2015-02-24,39.68
2015-02-28,39.78
