Time,Price
2012-06-02,49.49
2012-06-07,44.07
2012-06-16,44.07
2012-06-17,43
2012-06-20,44.07
2012-07-03,44.07
2012-07-15,44.07
2012-07-17,44.07
2012-07-18,44.47
2012-07-19,44.07
2012-07-27,44.07
2012-07-27,44.07
2012-07-31,44.07
2012-08-01,44.07
2012-08-11,44.37
2012-08-12,44.37
2012-08-22,45.86
2012-08-26,45.86
2012-08-27,45.86
2012-09-11,44.1
2012-09-11,45.86
2012-09-12,57.19
2012-09-13,51.49
2012-09-14,50.34
2012-09-18,50.34
2012-09-19,56.99
2012-09-20,59.33
2012-09-20,57.39
2012-09-21,58.68
2012-09-22,59.99
2012-09-23,55.99
2012-09-23,55.99
2012-09-24,55.99
2012-09-25,55.99
2012-09-25,55.99
2012-09-26,55.99
2012-09-28,55.99
2012-09-29,55.99
2012-09-30,55.99
2012-10-02,59.99
2012-10-03,59.99
2012-10-04,59.99
2012-10-05,59.99
2012-10-06,59.99
2012-10-07,59.99
2012-10-07,59.99
2012-10-15,59.99
2012-10-16,57.99
2012-10-18,57.99
2012-10-18,56.99
2012-10-19,56.99
2012-10-20,56.99
2012-10-21,56.99
2012-10-23,56.99
2012-10-25,55.8
2012-10-27,55.8
2012-10-28,55.8
2012-10-29,55.8
2012-10-30,55.8
2012-10-30,52.46
2012-10-31,55.8
2012-11-01,48.02
2012-11-03,47.4
2012-11-03,55.8
2012-11-04,55.8
2012-11-06,55.8
2012-11-06,55.8
2012-11-10,55.8
2012-11-11,55.8
2012-11-12,55.8
2012-11-16,55.8
2012-11-17,55.8
2012-11-18,55.8
2012-11-19,55.8
2012-11-20,53.99
2012-11-21,53.99
2012-11-21,53.99
2012-11-23,53.99
2012-11-24,53.99
2012-11-25,53.99
2012-11-28,53.99
2012-11-29,53.99
2012-11-30,53.99
2012-12-01,53.99
2012-12-03,53.99
2012-12-04,53.99
2012-12-05,53.99
2012-12-06,53.99
2012-12-07,53.99
2012-12-09,53.99
2012-12-10,53.99
2012-12-14,50.24
2012-12-15,53.99
2012-12-16,39.99
2012-12-17,53.99
2012-12-18,43.99
2012-12-18,43.99
2013-01-02,55.8
2013-01-05,55.8
2013-01-07,55.8
2013-01-10,55.79
2013-01-11,49.99
2013-01-12,55.79
2013-01-14,49.99
2013-01-15,48.73
2013-01-18,48.9
2013-01-19,48.72
2013-01-20,48.72
2013-01-22,48.72
2013-01-23,48.72
2013-01-24,48.29
2013-01-26,48.72
2013-01-28,48.29
2013-01-29,48.29
2013-01-30,43.54
2013-01-31,48.72
2013-02-01,44.99
2013-02-02,48.72
2013-02-02,48.72
2013-02-08,48.73
2013-02-09,48.73
2013-02-10,48.72
2013-02-11,45.31
2013-02-12,45
2013-02-14,48.73
2013-02-16,48.73
2013-02-17,48.73
2013-02-18,53.92
2013-02-19,56.99
2013-02-19,46.72
2013-02-20,56.99
2013-02-21,45.42
2013-02-21,51.65
2013-02-22,51.55
2013-02-23,56.99
2013-02-24,56.99
2013-02-25,53.27
2013-02-28,51.55
2013-03-01,51.55
2013-03-02,51.55
2013-03-03,51.55
2013-03-05,56.99
2013-03-06,56.99
2013-03-06,53.27
2013-03-08,53.27
2013-03-09,53.27
2013-03-09,53.27
2013-03-11,51.55
2013-03-12,51.55
2013-03-13,51.55
2013-03-17,51.55
2013-03-18,51.55
2013-03-19,51.55
2013-03-19,51.55
2013-03-21,51.55
2013-03-22,51.55
2013-03-24,51.55
2013-03-25,51.55
2013-03-26,51.55
2013-03-27,53.27
2013-03-29,53.27
2013-03-30,56.99
2013-03-31,56.99
2013-04-01,56.99
2013-04-01,51.55
2013-04-02,53.27
2013-04-04,53.27
2013-04-05,53.27
2013-04-06,53.27
2013-04-07,53.27
2013-04-07,53.27
2013-04-08,51.55
2013-04-09,51.55
2013-04-11,51.55
2013-04-12,51.55
2013-04-13,51.55
2013-04-24,51.55
2013-04-25,51.32
2013-04-26,51.32
2013-04-29,51.32
2013-05-01,51.32
2013-05-02,51.32
2013-05-03,51.32
2013-05-04,51.32
2013-05-09,50.99
2013-05-10,50.99
2013-05-14,50.99
2013-05-17,50.99
2013-05-22,59.69
2013-05-23,50.99
2013-05-23,59.69
2013-05-24,59.69
2013-05-26,59.69
2013-05-27,59.69
2013-05-28,59.69
2013-05-30,59.69
2013-05-31,59.69
2013-06-02,59.69
2013-06-02,59.69
2013-06-06,59.69
2013-06-08,59.69
2013-06-12,59.69
2013-06-16,59.69
2013-06-22,59.69
2013-06-28,59.99
2013-07-05,59.99
2013-07-08,59.99
2013-07-11,59.99
2013-07-14,59.99
2013-07-17,59.99
2013-07-20,59.99
