Time,Price
2012-06-02,249.99
2012-06-04,249.99
2012-06-05,249.99
2012-06-10,249.99
2012-06-11,249.99
2012-06-12,249.99
2012-06-14,249.99
2012-06-15,249.99
2012-06-16,249.99
2012-06-17,249.99
2012-06-18,249.99
2012-06-19,249.99
2012-06-20,249.99
2012-06-21,249.99
2012-06-22,249.99
2012-06-23,249.99
2012-06-25,249.99
2012-06-25,249.99
2012-06-26,249.99
2012-06-27,249.95
2012-06-27,249.95
2012-06-28,249.95
2012-06-30,249.95
2012-07-01,249.99
2012-07-01,249.99
2012-07-03,249.95
2012-07-11,249.95
2012-07-11,249.95
2012-07-12,249.99
2012-07-13,249.99
2012-07-13,249.99
2012-07-17,249.99
2012-07-17,249.99
2012-07-18,249.99
2012-07-19,249.99
2012-07-20,249.99
2012-07-21,249.99
2012-07-21,247.31
2012-07-22,247.31
2012-07-22,247.31
2012-07-23,244.68
2012-07-24,242.16
2012-07-24,249
2012-07-25,249
2012-07-25,249
2012-07-26,249
2012-07-27,249
2012-07-27,246.4
2012-07-28,246.4
2012-07-28,243.77
2012-07-30,241.25
2012-07-30,238.72
2012-08-01,249
2012-08-02,249
2012-08-03,249.99
2012-08-04,249
2012-08-06,249
2012-08-06,249
2012-08-07,249
2012-08-08,249
2012-08-08,249
2012-08-09,249
2012-08-11,249
2012-08-11,249
2012-08-12,249
2012-08-12,249
2012-08-13,249
2012-08-13,249
2012-08-14,249
2012-08-14,249.95
2012-08-14,249.95
2012-08-15,249.95
2012-08-15,249.95
2012-08-17,249.95
2012-08-18,249.95
2012-08-19,249.95
2012-08-20,249.95
2012-08-21,249.95
2012-08-23,249.95
2012-08-24,249.95
2012-08-25,249.95
2012-08-26,249.95
2012-08-28,249.95
2012-08-29,249.95
2012-08-29,249.95
2012-08-31,249.95
2012-09-01,249.95
2012-09-02,249.95
2012-09-03,249.95
2012-09-04,249.95
2012-09-05,249.95
2012-09-10,249
2012-09-11,249
2012-09-14,249
2012-09-15,249
2012-09-18,249
2012-09-22,249
2012-09-23,249
2012-09-23,249
2012-09-24,249
2012-09-24,244
2012-09-25,244
2012-09-25,249
2012-09-25,243.9
2012-09-26,249
2012-09-27,249
2012-09-28,249
2012-09-28,237.58
2012-09-29,249
2012-09-29,249
2012-10-02,249
2012-10-04,249
2012-10-06,238.85
2012-10-06,236.32
2012-10-06,249
2012-10-07,249
2012-10-07,249
2012-10-07,249
2012-10-08,249
2012-10-09,249
2012-10-10,249
2012-10-11,249
2012-10-11,249
2012-10-12,249
2012-10-15,249
2012-10-16,249
2012-10-16,249
2012-10-17,249
2012-10-17,249
2012-10-18,249
2012-10-21,249
2012-10-23,249
2012-10-26,243.9
2012-10-27,243.9
2012-10-28,249
2012-10-29,249
2012-10-31,249
2012-10-31,249
2012-11-01,249
2012-11-01,249
2012-11-02,249
2012-11-03,249
2012-11-06,224.99
2012-11-06,224.99
2012-11-07,224.99
2012-11-07,224.99
2012-11-09,238.9
2012-11-09,249
2012-11-09,238.9
2012-11-10,238.85
2012-11-10,238.85
2012-11-11,238.85
2012-11-11,238.8
2012-11-12,238.8
2012-11-12,239.95
2012-11-13,225.21
2012-11-13,216.73
2012-11-14,216.73
2012-11-14,214.13
2012-11-15,214.13
2012-11-15,216.73
2012-11-16,216.73
2012-11-17,216.73
2012-11-18,216.73
2012-11-19,249
