Time,Price
2012-06-27,14.37
2012-06-27,14.37
2012-07-06,14.37
2012-10-31,15
2013-01-03,15
2013-01-16,15
2013-01-18,15
2013-01-31,15
2013-02-15,15
2013-02-28,14.88
2013-03-03,15
2013-03-06,14.88
2013-03-14,14.88
2013-03-18,14.37
2013-03-19,14.37
2013-03-26,14.37
2013-03-29,14.37
2013-04-05,14.49
2013-04-07,14.49
2013-04-09,14.49
2013-04-12,15
2013-04-25,15
2013-05-22,15
2013-06-16,15
2013-07-04,15
2013-07-16,14.61
2013-07-27,14.88
2013-08-05,14.07
2013-08-27,14.07
2013-09-16,14.07
2013-09-27,14.07
2013-10-06,14.95
2013-10-20,14.95
2013-10-28,14.95
2013-11-09,15
2013-11-21,14.95
2013-11-23,14.95
2013-12-05,11.99
2013-12-14,14.95
2013-12-28,11.99
2014-01-06,14.95
2014-02-26,14.95
2014-02-26,14.95
2014-04-25,14.95
2014-05-07,14.99
2014-05-09,11.99
2014-05-09,14.99
2014-06-09,14.95
2014-07-10,14.95
2014-07-13,14.95
2014-07-14,12.74
2014-07-30,12.74
2014-08-06,12.74
2014-08-18,12.74
2014-09-12,12.74
2014-09-19,12.74
2014-10-06,14.95
2014-10-31,14.95
2014-11-22,14.95
2014-12-30,14.99
2015-02-17,13.96
2015-02-18,13.96
2015-03-05,14.99
2015-03-22,15
2015-03-22,15
2015-03-29,14.99
2015-04-08,14.99
2015-05-01,11.24
2015-05-07,15
2015-05-16,14.95
2015-05-26,14.95
2015-06-04,14.95
2015-06-17,14.95
2015-07-06,14.95
2015-07-25,14.8
2015-08-09,14.95
2015-08-20,14.8
2015-09-06,14.28
2015-09-16,13.87
2015-09-16,13.85
2015-09-29,13.62
2015-11-06,9.54
2015-11-06,9.42
2015-11-20,9.79
2015-11-29,11.99
2015-11-29,11.99
2015-12-12,11.99
2016-01-14,14.74
2016-02-05,10.22
2016-02-22,9.98
2016-02-29,9.8
2016-03-17,12.97
2016-03-19,11.72
2016-03-19,11.72
2016-03-21,12.99
2016-04-14,9.25
2016-04-29,12.99
2016-05-13,12.73
2016-05-13,12.7
2016-05-27,12.99
2016-11-25,12.99
