Time,Price
2012-06-01,19.99
2012-06-03,19.99
2012-06-06,19.99
2012-06-07,19.99
2012-06-11,19.99
2012-06-13,19.99
2012-06-20,19.99
2012-06-21,19.99
2012-06-22,19.99
2012-06-22,19.99
2012-06-27,19.99
2012-07-06,19.99
2012-07-08,19.95
2012-07-10,19.99
2012-07-11,19.99
2012-07-14,19.99
2012-07-18,19.99
2012-07-21,19.99
2012-07-22,19.16
2012-07-22,19.16
2012-07-23,19.99
2012-07-23,19.99
2012-07-24,19.99
2012-07-25,19.99
2012-08-01,19.95
2012-08-02,19.99
2012-08-08,19.99
2012-08-15,19.99
2012-08-24,19.99
2012-08-28,19.99
2012-09-01,19.99
2012-09-02,19.99
2012-09-13,19.95
2012-09-14,19.95
2012-09-14,19.95
2012-09-15,19.95
2012-09-18,19.99
2012-09-20,19.95
2012-09-21,19.99
2012-09-22,19.99
2012-09-23,19.95
2012-09-24,19.99
2012-09-25,19.95
2012-09-26,19.99
2012-09-28,19.99
2012-09-29,19.99
2012-10-06,19.99
2012-10-11,19.99
2012-10-16,19.99
2012-10-24,19.99
2012-10-26,19.99
2012-10-31,19.99
2012-11-01,19.99
2012-11-03,19.99
2012-11-09,19.99
2012-11-19,19.99
2012-11-21,19.99
2012-11-27,19.99
2012-11-28,19.99
2012-12-01,19.99
2012-12-03,19.99
2012-12-04,19.99
2012-12-11,19.99
2012-12-18,19.99
2012-12-18,19.99
2012-12-19,18.99
2012-12-27,19.16
2012-12-28,19.16
2013-01-03,19.16
2013-01-04,18.34
2013-01-10,18.34
2013-01-13,18.34
2013-01-14,19.16
2013-01-15,19.16
2013-01-23,19.16
2013-01-24,19.99
2013-01-25,19.99
2013-01-27,19.99
2013-01-28,19.99
2013-01-30,19.99
2013-02-15,19.99
2013-02-20,19.99
2013-02-24,19.99
2013-03-02,19.99
2013-03-04,19.99
2013-03-08,19.99
2013-03-09,19.99
2013-03-11,19.99
2013-03-27,19.99
2013-04-01,19.99
2013-04-03,19.99
2013-04-07,19.99
2013-04-11,19.99
2013-04-13,19.99
2013-04-13,19.99
2013-04-17,19.99
2013-05-02,19.99
2013-05-03,19.99
2013-05-14,19.99
2013-05-18,19.99
2013-05-21,19.99
2013-05-22,19.99
2013-05-23,19.99
2013-05-25,19.99
2013-05-27,19.99
2013-06-04,19.99
2013-06-05,19.99
2013-06-05,19.99
2013-06-07,19.99
2013-06-07,19.99
2013-06-10,19.99
2013-06-10,19.99
2013-06-11,19.99
2013-06-12,19.99
2013-06-19,19.99
2013-06-21,19.99
2013-06-22,19.99
2013-06-24,19.99
2013-06-26,19.99
2013-06-27,19.99
2013-06-29,19.99
2013-07-03,19.99
2013-07-19,19.99
2013-07-22,19.99
2013-07-25,19.99
2013-07-28,19.99
2013-07-31,19.99
2013-08-02,19.99
2013-08-03,19.99
2013-08-29,19.99
2013-09-01,19.99
2013-09-13,19.99
2013-09-20,19.99
2013-09-23,19.99
2013-09-29,12.99
2013-10-04,19.99
2013-10-17,19.99
2013-10-20,19.99
2013-10-23,19.99
2013-10-26,19.99
2013-10-26,19.99
2013-10-29,19.99
2013-10-31,19.99
2013-11-07,19.99
2013-11-10,19.99
2013-11-13,19.99
2013-11-20,19.99
2013-11-21,19.99
2013-11-27,19.99
2013-12-01,19.99
2014-02-26,19.99
2014-03-13,19.99
2014-03-16,19.99
2014-03-19,19.99
2014-03-24,19.99
2014-05-02,19.99
2014-05-18,19.99
2014-06-09,19.99
2014-06-17,19.99
2014-09-05,19.99
2014-09-28,19.99
2014-10-02,19.99
2014-10-14,19.99
2014-10-23,19.99
2014-11-08,19.99
2014-11-20,19.99
2014-11-28,19.99
2014-11-29,19.99
2014-12-01,19.99
2014-12-28,19.99
2015-01-03,19.99
2015-01-22,19.99
2015-02-23,19.99
2015-03-12,19.99
2015-03-18,19.99
2015-03-22,19.99
2015-03-26,19.99
2015-03-28,19.99
2015-04-01,19.99
2015-04-05,19.99
2015-04-22,19.99
2015-04-25,19.99
2015-05-06,19.99
2015-05-13,19.99
2015-06-13,19.99
2015-06-14,19.99
2015-06-20,19.99
2015-06-21,19.99
2015-06-23,19.99
2015-06-25,19.99
2015-06-30,19.99
2015-07-03,19.99
2015-07-09,19.99
2015-07-10,19.99
2015-07-13,19.99
2015-07-18,19.99
2015-07-24,19.99
2015-07-25,19.99
2015-07-27,19.99
2015-07-31,19.99
2015-08-02,19.99
2015-08-05,19.99
2015-08-10,19.99
2015-08-12,19.99
2015-08-14,19.99
2015-08-16,19.99
2015-08-26,19.99
2015-08-28,19.99
2015-08-31,19.99
2015-09-02,19.99
2015-09-04,19.99
2015-09-07,19.99
2015-09-08,19.99
2015-09-11,19.99
2015-09-12,19.99
2015-09-19,19.99
2015-09-21,19.99
2015-09-22,19.97
2015-09-25,19.99
2015-09-28,19.99
2015-09-30,19.99
2015-10-03,19.99
2015-11-07,19.99
2015-11-10,19.99
2015-11-17,19.99
2015-11-18,19.99
2015-11-21,19.99
2015-11-28,19.99
2015-12-01,19.99
2015-12-10,19.99
2015-12-16,19.99
2015-12-20,19.99
2015-12-22,19.99
2016-01-07,19.99
2016-01-14,19.99
2016-01-30,19.99
2016-02-05,19.99
2016-02-12,19.99
2016-02-18,19.99
2016-02-23,19.99
2016-02-27,19.99
2016-02-29,19.99
2016-03-16,19.99
2016-03-19,19.99
2016-03-22,19.99
2016-03-26,19.99
2016-03-29,19.99
2016-04-01,19.99
2016-04-04,19.89
2016-04-06,19.99
2016-04-07,19.99
2016-04-12,19.99
2016-04-15,19.99
2016-04-30,19.99
2016-05-10,19.99
2016-05-27,19.99
2016-05-30,19.96
2016-09-18,19.95
2016-10-26,19.95
2016-10-31,19.95
2016-11-02,19.95
2016-11-02,19.95
2016-11-07,19.95
2016-11-08,19.95
2016-11-11,19.95
2016-11-11,19.95
2016-11-12,19.95
2016-11-13,19.95
2016-11-15,19.95
2016-11-17,19.95
2016-11-18,19.95
2016-11-20,19.95
2016-11-21,19.95
2016-11-22,19.95
2016-11-22,19.95
2016-11-24,19.95
2016-11-25,15.99
2016-11-25,15.99
