Time,Price
2012-10-16,47.75
2012-10-18,38.37
2012-10-19,38.37
2012-10-30,38.37
2012-11-02,38.37
2012-11-02,38.37
2012-11-03,38.37
2012-11-07,38.37
2012-11-11,38.37
2012-11-13,38.37
2012-11-14,37.95
2012-11-15,37.95
2012-11-19,34.99
2012-11-24,34.99
2012-11-27,34.99
2012-11-29,34.99
2012-11-30,34.99
2012-12-01,34.99
2012-12-02,34.99
2012-12-02,34.99
2012-12-04,34.99
2012-12-04,34.99
2012-12-06,34.99
2012-12-07,34.99
2012-12-08,34.99
2012-12-09,34.99
2012-12-11,34.99
2012-12-19,34.99
2012-12-20,37.95
2013-01-18,38.95
2013-02-07,39.32
2013-02-11,38.95
2013-02-12,39.32
2013-02-13,38.95
2013-03-01,38.17
2013-03-03,38.95
2013-04-22,38.95
2013-05-04,52.95
2013-05-27,43.11
2013-05-28,44.59
2013-05-29,44.48
2013-06-02,42.26
2013-06-04,42.8
2013-06-05,41.36
2013-06-07,41.66
2013-06-08,41.66
2013-06-09,40.63
2013-06-12,38.95
2013-07-04,33.45
2013-07-07,38.95
2013-07-07,38.95
2013-07-24,38.93
2013-07-25,38.95
2013-07-27,35.42
2013-07-28,35.42
2013-07-29,31.52
2013-07-31,38.95
2013-08-11,52.95
2013-08-12,50.84
2013-08-12,38.95
2013-08-21,38.95
2013-08-21,38.95
2013-08-22,37.35
2013-08-24,37
2013-08-28,37.35
2013-09-05,37.35
2013-09-13,37.41
