Time,Price
2013-03-11,13.99
2013-04-05,12.77
2013-04-07,13.87
2013-04-18,13.99
2013-04-19,12.77
2013-04-23,13.87
2013-05-01,13.87
2013-05-03,13.99
2013-05-04,12.77
2013-05-06,13.87
2013-05-14,13.57
2013-05-15,13.87
2013-05-21,13.12
2013-05-21,12.95
2013-05-22,13.49
2013-05-22,13.23
2013-05-23,13.61
2013-05-23,13.87
2013-05-24,12.77
2013-05-24,12.5
2013-05-24,12.77
2013-05-26,13.99
2013-05-26,12.77
2013-05-27,13.21
2013-05-28,13.49
2013-05-28,13.21
2013-05-29,13.61
2013-05-31,13.87
2013-06-01,13.87
2013-06-02,12.77
2013-06-03,12.77
2013-06-04,12.77
2013-06-05,12.77
2013-06-06,12.77
2013-06-07,12.77
2013-06-07,12.77
2013-06-09,11.78
2013-06-10,11.78
2013-06-10,12.77
2013-06-11,12.77
2013-06-11,12.77
2013-06-13,13.99
2013-06-20,13.74
2013-06-20,13.72
2013-06-26,13.74
2013-06-29,13.74
2013-06-29,13.74
2013-06-30,13.66
2013-07-02,13.74
2013-07-04,13.74
2013-07-05,12.35
2013-07-06,12.04
2013-07-06,12.04
2013-07-09,12.04
2013-07-11,12.04
2013-07-12,12.26
2013-07-12,12.48
2013-07-12,12.71
2013-07-13,12.95
2013-07-14,13.33
2013-07-16,13.43
2013-07-17,13.43
2013-07-18,13.5
2013-07-19,13.51
2013-07-20,13.58
2013-07-24,13.6
2013-07-24,13.58
2013-07-24,13.58
2013-07-27,13.58
2013-07-28,13.5
2013-07-31,13.58
2013-08-02,13.58
2013-08-05,13.61
2013-08-06,13.66
2013-08-08,13.66
2013-08-11,13.66
2013-08-12,12.74
2013-08-13,12.86
2013-08-20,13.58
2013-08-25,13.58
2013-08-28,13.66
2013-08-29,13.69
2013-08-30,13.66
2013-09-03,13.66
2013-09-04,13.66
2013-09-04,13.66
2013-09-13,13.66
2013-09-13,13.66
2013-09-15,13.66
2013-09-17,13.67
2013-09-18,13.66
2013-09-20,13.66
2013-09-20,13.66
2013-09-21,13.66
2013-09-22,13.66
2013-09-23,13.66
2013-09-24,13.66
2013-09-25,13.92
2013-09-25,10.99
2013-09-27,10.99
2013-09-29,10.99
2013-09-29,10.99
2013-09-30,10.99
2013-10-02,10.99
2013-10-03,10.99
2013-10-03,10.99
2013-10-04,10.99
2013-10-05,10.99
2013-10-06,10.99
2013-10-07,10.99
2013-10-15,10.99
2013-10-18,10.99
2013-10-24,10.99
2013-10-24,10.99
2013-10-25,10.99
2013-11-06,8.99
2013-11-12,10.99
2013-11-13,9.89
2013-11-19,10.99
2013-11-22,9.89
2013-11-24,10.99
2013-11-26,9.89
2013-11-28,9.89
2013-11-29,7.99
2013-12-02,7.91
2013-12-06,9.89
2013-12-12,8
2013-12-31,9.89
2014-01-01,9.89
2014-01-03,9.89
2014-01-06,10.99
2014-01-07,9.89
2014-01-12,9.89
2014-01-13,9.89
2014-01-31,9.89
2014-02-03,10.99
2014-02-07,10.99
2014-02-13,9.89
2014-02-23,7.91
2014-02-24,8.79
2014-03-02,10.99
2014-03-12,7.91
2014-03-17,10.99
2014-03-17,9.89
2014-03-18,10.99
2014-04-01,9.89
2014-04-04,8.9
2014-04-06,7.91
2014-04-09,10.99
2014-04-11,10.99
2014-04-12,10.99
2014-04-14,10.99
2014-04-17,10.99
2014-05-04,10.99
2014-05-17,10.99
2014-05-20,10.99
2014-06-08,10.99
2014-06-12,10.99
2014-06-18,10.99
2014-06-21,10.99
2014-06-25,10.99
2014-07-31,10.99
2014-08-01,10.99
2014-08-02,10.99
2014-08-06,10.99
2014-08-18,10.99
2014-08-27,10.99
2014-09-06,10.99
2014-09-10,13.99
2014-09-24,13.99
2014-09-26,13.99
2014-10-09,10.99
2014-11-09,9.89
2014-11-17,10.99
2014-11-19,10.64
2014-11-19,10.99
2014-11-24,10.99
2014-12-01,10.99
2015-01-14,10.99
2015-01-18,13.22
2015-01-18,16.44
2015-01-19,10.99
2015-01-20,9.89
2015-01-21,10.99
2015-01-21,10.99
2015-01-23,10.99
2015-01-24,10.99
2015-01-24,9.89
2015-01-25,10.99
2015-02-05,10.99
2015-02-05,10.99
2015-02-13,10.99
2015-02-16,10.99
2015-02-21,9.89
2015-02-22,8.99
2015-03-03,10.99
2015-03-08,17.99
2015-03-09,18.21
2015-03-10,17.02
2015-03-15,10.99
2015-03-16,17.03
2015-03-16,17.03
2015-03-17,17.51
2015-03-18,17.24
2015-03-20,10.99
2015-03-28,10.99
2015-03-30,9.89
2015-04-02,9.89
2015-04-04,14.23
2015-04-06,10.99
2015-04-08,10.99
2015-04-11,9.99
2015-04-11,9.99
2015-04-14,9.99
2015-06-20,10.99
2015-06-23,9.89
2015-07-24,10.99
