Time,Price
2014-12-31,32.5
2014-12-31,21.76
2015-01-04,32.47
2015-01-12,33.65
2015-01-18,33.99
2015-02-17,18.46
2015-02-21,18.35
2015-02-25,19.8
2015-03-15,18.93
2015-03-20,19.8
2015-04-07,19
2015-04-09,19.07
2015-04-10,19.8
2015-04-17,19.3
2015-04-23,19.8
2015-04-24,18.48
2015-04-30,19.8
2015-05-01,19.11
2015-05-05,19.8
2015-05-07,18.9
2015-05-08,19.03
2015-05-10,18.99
2015-05-13,19.8
2015-05-17,19.3
2015-05-18,19.8
2015-05-20,19.3
2015-05-25,19.55
2015-05-27,19.42
2015-05-29,19.49
2015-05-30,19.11
2015-06-01,19.06
2015-06-03,19.8
2015-06-04,19.3
2015-06-08,19.8
2015-06-09,19.3
2015-06-11,19.8
2015-06-16,19.3
2015-06-20,19.8
2015-06-22,19.3
2015-06-23,19.8
2015-06-25,19.3
2015-06-27,19.8
2015-06-28,19.3
2015-07-06,19.8
2015-07-10,19.35
2015-07-13,19.63
2015-07-17,19.8
2015-07-18,19.3
2015-07-20,19.8
2015-07-22,19.3
2015-07-24,19.01
2015-07-25,19.02
2015-07-27,19.61
2015-07-29,19.23
2015-07-31,19.61
2015-08-02,19.73
2015-08-08,19.66
2015-08-12,19.24
2015-08-14,19.21
2015-08-27,20.54
2015-09-05,22.88
2015-09-07,19.05
2015-09-16,19.05
2015-09-19,19.05
2015-10-03,18.85
2015-11-04,18.57
2015-11-19,18
2015-11-22,17.99
2015-11-24,18
2015-12-11,18.26
2015-12-13,22.17
2015-12-15,20.06
2015-12-17,18.25
2015-12-18,17.99
2015-12-20,18.05
2015-12-22,18.16
2016-01-03,17.99
2016-03-19,18
2016-04-14,18
2016-04-27,17
2016-09-20,16.99
2016-10-31,16.99
2016-11-05,16.99
2016-11-12,16.99
2016-11-15,16.99
2016-11-20,16.99
2016-11-23,16.99
2016-11-25,16.99
