Time,Price
2012-12-13,8.99
2013-01-06,8.99
2013-01-22,8.99
2013-02-13,8.99
2013-02-21,8.99
2013-03-08,8.99
2013-03-11,8.99
2013-03-21,8.99
2013-03-24,8.99
2013-03-31,8.99
2013-04-03,8.99
2013-04-15,8.99
2013-08-28,8.99
2013-09-07,8.99
2014-01-05,8.99
2014-01-17,8.99
2014-01-20,8.99
2014-02-02,8.99
2014-02-15,8.99
2014-02-21,8.99
2014-02-27,8.99
2014-03-12,8.99
2014-04-09,8.99
2014-05-24,8.99
2014-07-31,8.99
2014-09-08,8.99
2014-11-04,14.54
2014-11-21,14.27
2014-12-03,8.99
2014-12-29,8.99
2015-07-07,8.99
2015-07-26,8.99
2015-11-30,8.99
2015-12-14,8.99
2016-03-01,8.99
2016-10-30,8.99
2016-11-19,8.99
2016-11-20,8.99
2016-11-25,8.99
2014-02-01,8.99
2014-06-08,8.99
2016-11-26,8.99
