Time,Price
2012-12-14,8.05
2013-01-11,7.27
2013-01-25,8.05
2013-02-12,8.06
2013-04-26,8.33
2013-05-10,7.12
2013-05-22,6.58
2013-06-18,6.92
2013-07-17,6.58
2013-08-06,6.75
2013-10-29,7.63
2013-11-24,7.01
2013-12-15,8.55
2014-01-08,9.99
2014-02-06,6.54
2014-02-27,9.91
2014-03-24,9.99
2014-05-10,9.75
2014-07-25,9.83
2014-08-20,9.99
2015-02-19,9.99
2016-11-05,9.99
2016-11-14,9.99
2016-11-15,9.99
2016-11-18,9.99
2016-11-25,9.99
2014-06-08,9.75
2014-06-23,9.99
2014-07-26,9.83
2014-11-04,9.99
2014-11-13,9.23
2014-12-14,9.99
2015-11-20,8.99
2016-07-12,7.39
2016-11-18,9.99
2016-11-26,9.99
