Time,Price
2012-06-05,99.95
2012-06-10,97.2
2012-06-14,99.95
2012-06-18,79.94
2012-06-20,79.94
2012-06-21,99.95
2012-06-29,79.94
2012-06-30,79.94
2012-07-01,74.94
2012-07-02,99.95
2012-07-03,99.95
2012-07-06,97
2012-07-06,95
2012-07-07,97
2012-07-10,94.05
2012-07-12,74.94
2012-07-15,91.1
2012-07-17,91.1
2012-07-17,99.95
2012-07-18,88.15
2012-07-21,85.2
2012-07-25,82.25
2012-07-30,99.95
2012-08-07,97.2
2012-08-15,97.2
2012-08-16,97.2
2012-08-18,97.2
2012-08-23,97.2
2012-08-23,97.2
2012-09-02,97.2
2012-09-23,97.8
2012-11-01,94.59
2012-11-02,98.15
2012-11-03,98.15
2016-11-25,98.15
