Time,Price
2014-06-08,7.63
2014-06-20,7.85
2014-08-02,7.85
2014-10-01,9.78
2014-11-30,3.99
2014-11-30,3.99
2015-01-09,9.01
2015-01-13,9.01
2015-01-16,9.01
2015-01-22,9.01
2015-01-23,9.01
2015-01-30,9.01
2015-01-31,9.01
2015-01-31,9.01
2015-02-01,9.01
2015-02-01,9.01
2015-02-04,9.01
2015-02-04,9.01
2015-02-05,9.01
2015-02-07,9.01
2015-02-11,9.01
2015-02-12,9.01
2015-02-13,9.01
2015-02-13,9.01
2015-02-14,9.01
2015-02-14,9.01
2015-02-14,9.01
2015-02-15,9.01
2015-02-16,9.01
2015-02-16,9.01
2015-02-17,9.01
2015-02-17,9.01
2015-02-18,9.01
2015-02-18,9.01
2015-02-19,9.01
2015-02-19,9.01
2015-02-20,9.01
2015-02-21,9.01
2015-02-21,9.01
2015-02-22,9.01
2015-02-22,9.01
2015-02-23,9.01
2015-02-25,9.01
2015-02-25,9.01
2015-02-26,9.01
2015-02-26,9.01
2015-02-26,9.01
2015-02-27,9.01
2015-02-28,9.01
2015-03-05,9.01
2015-03-07,9.01
2015-03-07,9.01
2015-03-08,9.01
2015-03-10,9.01
2015-03-11,9.01
2015-03-11,9.01
2015-03-12,9.01
2015-03-12,9.01
2015-03-12,9.01
2015-03-13,9.01
2015-03-14,9.01
2015-03-18,9.01
2015-03-19,9.01
2015-03-19,9.01
2015-03-20,9.01
2015-03-20,9.01
2015-03-21,9.06
2015-03-21,9.06
2015-03-21,9.06
2015-03-23,9.07
2015-03-23,9.07
2015-03-25,9.01
2015-03-25,9.01
2015-03-26,9.01
2015-03-27,9.01
2015-03-28,9.00
2015-03-29,9.00
2015-03-29,9.00
2015-03-30,9.00
2015-03-30,9.05
2015-03-31,9.05
2015-04-01,9.00
2015-04-02,8.60
2015-04-03,9.00
2015-04-03,9.00
2015-04-04,9.00
2015-04-04,9.00
2015-04-13,9.00
2015-04-16,9.00
2015-04-16,9.00
2015-04-17,9.00
2015-04-18,9.00
2015-04-19,9.00
2015-04-20,8.99
2015-04-22,8.99
2015-04-23,8.99
2015-04-23,8.99
2015-04-24,8.99
2015-04-25,8.99
2015-04-26,8.99
2015-04-27,8.99
2015-04-27,8.99
2015-05-12,8.99
2015-05-13,8.99
2015-05-14,8.99
2015-05-15,8.99
2015-05-15,8.99
2015-05-15,8.99
