Time,Price
2012-07-23,5.49
2013-07-21,5.33
2013-08-21,5.49
2013-10-03,5.37
2013-10-16,5.39
2013-10-17,5.49
2013-10-17,5.49
2013-10-19,5.39
2015-04-02,5.49
2015-06-03,6.16
2015-06-05,6.05
2015-06-07,6.11
2015-06-08,5.64
2015-06-10,6.34
2015-06-10,6.22
2015-06-11,6.22
2015-06-13,6.04
2015-06-17,5.71
2015-06-18,5.73
2015-06-24,5.64
2015-06-25,6.17
2015-06-29,5.49
2015-07-17,5.49
2015-09-26,5.49
2015-09-29,5.49
2015-11-03,5.49
2015-11-28,5.49
2016-01-15,5.49
2016-01-30,5.49
2016-02-06,5.49
2016-02-12,5.49
2016-04-26,5.49
2016-09-18,5.49
2016-10-26,5.49
2016-10-27,5.49
2016-10-27,5.49
2016-10-29,5.49
2016-10-31,5.49
2016-11-02,5.49
2016-11-02,5.49
2016-11-04,5.49
2016-11-05,5.49
2016-11-07,5.49
2016-11-07,5.49
2016-11-09,5.49
2016-11-09,5.49
2016-11-10,5.49
2016-11-11,5.49
2016-11-12,5.49
2016-11-13,5.49
2016-11-14,5.49
2016-11-15,5.49
2016-11-15,5.49
2016-11-16,5.49
2016-11-17,5.49
2016-11-18,5.49
2016-11-18,5.49
2016-11-19,5.49
2016-11-20,5.49
2016-11-21,5.49
2016-11-22,5.49
2016-11-22,5.49
2016-11-23,5.49
2016-11-24,5.49
2016-11-24,5.49
2016-11-25,5.49
2016-11-25,5.49
2016-11-25,5.49
