Time,Price
2012-06-01,28.85
2012-06-04,28.85
2012-06-06,26.85
2012-06-10,26.68
2012-06-12,26.7
2012-06-13,25.74
2012-06-14,25.13
2012-06-14,24.83
2012-06-15,24.52
2012-06-16,28.06
2012-06-16,27.65
2012-06-17,27.35
2012-06-17,27.05
2012-06-18,26.75
2012-06-19,28.85
2012-06-22,26.85
2012-06-23,26.67
2012-06-30,26.64
2012-07-01,25.31
2012-07-02,24.04
2012-07-03,26.67
2012-07-05,26.56
2012-07-07,25.65
2012-07-08,24.31
2012-07-08,23.03
2012-07-09,22.78
2012-07-10,24.11
2012-07-11,26.67
2012-07-12,26.85
2012-07-12,26.43
2012-07-12,25.84
2012-07-12,26.43
2012-07-13,26.14
2012-07-13,26.85
2012-07-13,26.55
2012-07-13,26.26
2012-07-14,24.32
2012-07-14,24.9
2012-07-14,22.78
2012-07-16,25.55
2012-07-16,25.27
2012-07-16,24.99
2012-07-17,25.06
2012-07-17,26.71
2012-07-17,26.34
2012-07-17,26.54
2012-07-17,26.85
2012-07-18,26.55
2012-07-18,26.85
2012-07-21,26
2012-07-21,25.97
2012-07-21,23.44
2012-07-22,22.78
2012-07-23,26.55
2012-07-23,25.97
2012-07-24,26
2012-07-24,25.96
2012-07-25,25.95
2012-07-26,26.58
2012-07-26,26
2012-07-26,25.95
2012-07-27,25.96
2012-07-27,25.95
2012-07-27,26
2012-07-28,24.45
2012-07-29,22.78
2012-07-30,20.78
2012-07-30,26.29
2012-07-31,26.55
2012-07-31,26.26
2012-08-01,25.4
2012-08-01,25.32
2012-08-02,26.85
2012-08-02,26.54
2012-08-03,25.63
2012-08-04,22.78
2012-08-04,23.12
2012-08-05,22.78
2012-08-07,26.85
2012-08-15,28.85
2012-08-17,28.85
2012-08-19,28.85
2012-08-20,29.03
2012-08-21,29.03
2012-08-26,30.53
2012-08-30,29.98
2012-09-10,29.03
2012-09-14,28.98
2012-09-15,28.98
2012-09-19,33.95
2012-09-23,37.98
2012-09-25,31.98
2012-09-28,30.74
2012-10-02,31.98
2012-10-05,27.98
2012-10-25,35.81
2012-11-07,35.14
2012-11-07,32.04
2012-11-08,31.06
2012-11-09,30.69
2012-11-10,31.27
2012-11-10,31.87
2012-11-11,32.48
2012-11-12,33.1
2012-11-13,33.73
2012-11-14,34.37
2012-11-15,35.03
2012-11-16,35.48
2012-11-20,34.98
2012-11-25,34.03
2012-11-27,34.98
2012-11-28,35.48
2012-11-29,35.48
2012-11-29,35.48
2012-11-30,35.48
2012-12-06,35.3
2012-12-07,35.31
2012-12-08,34.94
2012-12-08,34.94
2012-12-09,25.41
2012-12-14,28.84
2012-12-15,28.84
2012-12-15,29.25
2012-12-16,29.64
2012-12-17,30.05
2012-12-18,30.47
2012-12-19,29.98
2012-12-22,25.41
2012-12-22,25.9
2012-12-22,25.9
2012-12-23,25.41
2012-12-24,25.41
2012-12-25,24.98
2013-01-04,24.98
2013-01-06,24.98
2013-01-09,29.01
2013-01-11,29.56
2013-01-16,30.05
2013-01-30,30.04
2013-01-31,30.05
2013-02-01,30.04
2013-02-07,30.05
2013-02-10,30.05
2013-02-11,30.05
2013-02-14,30.05
2013-02-19,29.96
2013-02-24,29.96
2013-02-28,28.43
2013-03-01,28.43
2013-03-01,29.49
2013-03-01,29.32
2013-03-02,29.96
2013-03-04,28.98
2013-03-05,29.54
2013-03-07,29.54
2013-03-08,29.96
2013-03-09,29.96
2013-03-23,29.96
2013-03-29,29.96
2013-04-17,29.96
2013-05-04,29.96
2013-05-05,29.96
2013-05-06,29.96
2013-05-16,29.96
2013-05-17,29.96
2013-05-17,29.96
2013-05-19,29.96
2013-05-21,29.96
2013-05-22,29.96
2013-05-22,29.96
2013-05-23,29.96
2013-05-31,29.96
2013-06-05,29.96
2013-06-07,29.96
2013-06-07,29.96
2013-06-09,29.96
2013-06-21,29.96
2013-06-26,29.96
2013-06-30,29.96
2013-07-10,29.96
2013-07-13,29.96
2013-07-22,56.65
2013-07-25,29.96
2013-07-31,29.96
2013-08-02,29.96
2013-08-31,29.96
2013-09-13,26.73
2013-09-14,25.97
2013-09-16,25.98
2013-09-19,24.68
2013-09-25,24.34
2013-10-03,25.95
2013-10-06,24.34
2013-10-27,25.99
2013-10-28,26.53
2013-10-29,27.24
2013-10-30,28.1
2013-11-02,27.47
2013-11-05,27.98
2013-11-08,23.88
2013-12-07,23.88
2013-12-10,23.88
2013-12-14,22.99
2013-12-25,22.99
2013-12-27,22.99
2013-12-28,22.99
2014-01-03,25.98
2014-01-04,22.99
2014-01-16,28.01
2014-01-20,22.99
2014-02-01,22.99
2014-02-07,22.99
2014-02-21,32
2014-02-24,31.98
2014-02-27,26.76
2014-03-03,29.89
2014-03-03,35
2014-06-09,26.20
2014-09-12,19.45
2014-10-11,18.82
2016-11-26,18.82
