Time,Price
2012-06-01,11.99
2012-08-28,11.99
2012-09-01,11.77
2012-09-01,11.99
2012-09-03,11.99
2012-09-14,11.99
2012-09-26,12.21
2012-09-28,11.99
2012-09-29,11.99
2012-10-06,10.73
2012-10-07,10.73
2012-10-07,11.99
2012-10-10,11.97
2012-10-16,11.4
2012-10-18,11.4
2012-10-24,11.2
2012-10-25,11.2
2012-10-29,11.99
2012-10-31,11.2
2012-11-01,11.99
2012-11-01,11.2
2012-11-04,11.2
2012-11-13,11.99
2012-11-14,11.99
2012-11-24,11.99
2012-12-08,11.99
2012-12-09,9.72
2012-12-14,11.99
2012-12-20,9.72
2012-12-22,9.9
2012-12-23,9.9
2012-12-25,11.99
2012-12-29,11.99
2013-03-11,11.7
2013-03-18,11.25
2013-06-05,11.25
2013-06-07,11.25
2013-06-14,11.25
2013-06-21,11.25
2013-06-24,11.53
2013-07-31,11.63
2013-09-20,11.16
2013-09-23,9.76
2013-09-26,9.56
2013-09-29,9.48
2013-10-03,9.51
2013-10-06,8.6
2013-10-09,12.15
2013-10-13,12.34
2013-10-17,12.68
2013-10-23,11.99
2013-12-14,10.05
2013-12-14,9.98
2013-12-17,11.99
2013-12-22,9.86
2013-12-22,11.25
2013-12-25,11.99
2014-02-11,11.99
2014-02-14,11.28
2014-02-14,11.95
2014-02-16,11.28
2014-02-17,11.95
2014-07-25,9.96
2014-08-21,11.33
2014-08-30,11.56
2014-09-12,9.95
2014-10-03,10.24
2014-10-04,10.24
2014-11-21,9.8
2015-05-07,11.99
2015-07-14,11.99
2016-11-24,9.99
2016-11-25,9.99
2014-06-09,
2016-11-25,9.99
2016-11-26,9.99
