Time,Price
2012-06-01,136.92
2012-06-04,136.92
2012-06-10,159
2012-06-11,136.92
2012-06-12,159
2012-06-13,154.05
2012-06-13,149.26
2012-06-14,144.62
2012-06-14,159
2012-06-15,159
2012-07-02,136.92
2012-08-03,136.92
2012-08-07,159
2012-08-08,159
2012-08-12,152.97
2012-08-12,147.88
2012-08-13,137.67
2012-08-15,133.59
2012-08-15,131.55
2012-08-17,130.53
2012-08-22,130.53
2012-08-23,142.77
2012-08-23,159
2012-08-25,159
2012-08-29,159
2012-09-03,159
2012-09-05,159
2012-09-18,159
2012-10-03,152.78
2012-10-09,143.1
2012-10-20,152.78
2012-10-21,159
2012-10-23,159
2012-10-28,159
2012-10-30,159
2012-10-31,149
2012-11-03,149
2012-11-06,159
2012-11-14,159
2012-11-18,159
2012-11-19,159
2012-11-20,158.08
2012-11-21,149
2012-11-23,143.1
2012-11-27,143.1
2012-12-03,143.1
2012-12-03,143.1
2012-12-14,141.38
2012-12-18,141.38
2012-12-19,143.1
2012-12-21,143.1
2012-12-26,159
2012-12-27,159
2012-12-28,143.1
2012-12-28,143.1
2013-01-01,159
2013-01-03,135.15
2013-01-11,159
2013-01-15,139
2013-01-17,159
2013-01-18,159
2013-01-20,143.1
2013-02-08,139
2013-03-06,141.72
2013-03-10,151.96
2013-03-11,159
2013-04-21,159
2013-04-22,159
2013-05-01,159
2013-05-12,156.89
2013-05-12,159
2013-05-14,159
2013-05-15,151.96
2013-06-03,159
2013-06-05,151.96
2013-06-07,159
2013-06-10,151.96
2013-06-11,151.96
2013-06-14,159
2013-07-03,151.96
2013-07-07,144.82
2013-07-13,144.82
2013-07-19,144.82
2013-07-28,159
2013-08-03,155.67
2013-08-06,169.99
2013-08-09,169.99
2013-08-12,169.99
2013-08-22,169.99
2013-09-01,169.99
2013-09-14,169
2013-09-23,166.42
2013-09-26,160.12
2013-10-06,160.12
2013-10-09,160.12
2013-10-12,163.28
2013-10-29,163.28
2013-11-11,163.28
2013-11-21,169
2013-12-04,167
2013-12-07,165.26
2013-12-10,152.1
2013-12-14,152.1
2013-12-17,129.95
2013-12-22,152.1
2013-12-23,153.45
2014-01-08,153.45
2014-01-29,153.45
2014-01-30,153.45
2014-02-08,169
2014-02-21,169
2014-02-24,169
2014-02-27,169
2014-03-15,169
2014-03-18,169
2014-04-08,169
2014-04-12,170.64
2014-04-14,170.03
2014-04-16,170.64
2014-04-25,170.27
2014-05-02,169.9
2014-05-06,169.9
2014-05-10,169.87
2014-05-18,169.87
2014-05-22,170.64
2014-06-03,170.64
2014-06-05,170.64
2014-06-25,170.64
2014-07-25,169
2014-07-30,175
2014-07-31,172.36
2014-08-06,175
2014-08-21,175
2014-08-30,175
2014-09-04,175
2014-09-16,168.09
2014-09-17,168.09
2014-09-19,168.08
2014-09-23,167.99
2014-09-28,170.05
2014-10-02,170.04
2014-10-04,170.08
2014-10-07,170.04
2014-10-08,175
2014-10-15,175
2014-10-25,175
2014-11-11,175
2014-11-21,175
2015-03-26,175
2015-05-07,175
2015-05-13,175
2015-07-22,175
2015-07-25,172.77
2015-08-02,171.51
2015-08-21,175
2015-08-31,175
2015-09-12,175
2015-09-23,165.09
2015-09-30,175
2015-10-03,165
2015-11-04,165
2015-12-22,165
2016-01-04,165
2016-01-08,165
2016-01-31,171.97
2016-02-07,171.97
2016-02-27,171.97
2016-03-20,171.97
2016-03-27,171.97
2016-04-01,171.97
2016-04-02,171.97
2016-04-27,175
2016-04-30,175
2016-04-30,166.97
2016-05-14,175
2016-05-14,175
2016-05-18,175
2016-05-27,175
2016-06-04,175
2016-09-20,166.88
2016-11-03,175
2016-11-04,175
2016-11-09,175
2016-11-13,175
2016-11-13,175
2016-11-16,175
2016-11-22,175
2016-11-25,175
