Time,Price
2012-06-01,18.05
2012-06-03,19.14
2012-06-03,19.14
2012-06-04,22.42
2012-06-06,21.7
2012-06-07,18.21
2012-06-08,18.21
2012-06-08,17.1
2012-06-09,17.6
2012-06-10,17.05
2012-06-13,17.15
2012-06-13,17.19
2012-06-14,17.34
2012-06-14,17.43
2012-06-15,17.46
2012-06-16,22.5
2012-06-16,21.79
2012-06-16,20.42
2012-06-17,17.92
2012-06-18,21.79
2012-06-18,21.09
2012-06-19,20.64
2012-06-19,19.98
2012-06-19,18.72
2012-06-20,17.91
2012-06-21,21.09
2012-06-21,20.42
2012-06-22,19.53
2012-06-22,19.11
2012-06-22,18.7
2012-06-23,17.72
2012-06-25,23.34
2012-06-26,19.14
2012-06-26,17.91
2012-06-27,17.91
2012-06-27,21.31
2012-06-28,20.62
2012-06-28,18.7
2012-06-28,18.11
2012-06-29,18.11
2012-06-29,23.34
2012-06-30,22.5
2012-06-30,21.53
2012-06-30,20.84
2012-07-01,19.53
2012-07-01,19.11
2012-07-01,19.11
2012-07-01,17.9
2012-07-02,23.2
2012-07-03,20.64
2012-07-03,18.72
2012-07-03,18.12
2012-07-05,22.5
2012-07-05,21.09
2012-07-06,18.52
2012-07-06,22.5
2012-07-06,19.77
2012-07-07,19.14
2012-07-07,23.2
2012-07-07,22.5
2012-07-07,22.5
2012-07-07,19.77
2012-07-08,19.14
2012-07-08,18.52
2012-07-10,23.2
2012-07-10,22.63
2012-07-11,19.01
2012-07-11,19.01
2012-07-11,18.4
2012-07-11,23.2
2012-07-12,20.42
2012-07-12,19.77
2012-07-12,18.52
2012-07-16,18.12
2012-07-17,18.12
2012-07-18,21.79
2012-07-18,20.42
2012-07-19,19.14
2012-07-19,23.2
2012-07-19,22.5
2012-07-20,19.77
2012-07-20,19.14
2012-07-20,19.14
2012-07-20,18.72
2012-07-22,18.72
2012-07-22,18.35
2012-07-22,18.35
2012-07-23,18.35
2012-07-24,18.46
2012-07-25,18.46
2012-07-25,18.49
2012-07-25,18.48
2012-07-26,18.48
2012-07-27,18.32
2012-07-28,18.32
2012-07-30,18.21
2012-08-01,18.18
2012-08-03,22.5
2012-08-04,18.52
2012-08-04,18.52
2012-08-06,22.5
2012-08-07,19.34
2012-08-07,18.72
2012-08-07,18.72
2012-08-09,18.3
2012-08-11,18.16
2012-08-14,21.79
2012-08-14,20.42
2012-08-15,18.72
2012-08-15,18.72
2012-08-15,18.72
2012-08-17,18.31
2012-08-17,18.31
2012-08-17,18.31
2012-08-19,18.34
2012-08-19,18.34
2012-08-19,18.35
2012-08-20,18.36
2012-08-20,18.36
2012-08-21,18.36
2012-08-23,18.36
2012-08-24,18.44
2012-08-24,18.44
2012-08-25,18.44
2012-08-26,18.43
2012-08-27,18.43
2012-08-29,18.57
2012-08-30,18.55
2012-09-01,18.43
2012-09-01,18.43
2012-09-03,18.21
2012-09-03,18.21
2012-09-04,18.21
2012-09-04,18.21
2012-09-05,18.21
2012-09-05,18.2
2012-09-10,22.9
2012-09-13,21
2012-09-13,20.33
2012-09-13,18.83
2012-09-14,18.83
2012-09-15,18.5
2012-09-18,19.05
2012-09-19,20.06
2012-09-20,19.32
2012-09-20,19.32
2012-09-21,19.12
2012-09-21,19.12
2012-09-21,19.12
2012-09-22,19.99
2012-09-23,19.99
2012-09-24,19.99
2012-09-25,18.79
2012-09-26,18.19
2012-09-26,18.09
2012-09-26,18.09
2012-09-28,17.72
2012-09-28,17.72
2012-09-28,17.15
2012-09-28,19.55
2012-09-29,18.31
2012-09-29,18.37
2012-09-29,18.37
2012-10-02,19.99
2012-10-06,18.44
2012-10-07,18.6
2012-10-08,18.8
2012-10-08,18.36
2012-10-09,17.87
2012-10-09,17.87
2012-10-10,19.56
2012-10-12,19.56
2012-10-16,19.96
2012-10-16,19.52
2012-10-17,19.52
2012-10-18,19.52
2012-10-24,17.58
2012-10-24,17.35
2012-10-25,18.93
2012-10-25,18.93
2012-10-29,19.99
2012-11-02,19.99
2012-11-04,19.99
2012-11-06,19.99
2012-11-15,19.35
2012-11-15,19.35
2012-11-15,18.32
2012-11-16,17.17
2012-11-16,17.17
2012-11-17,17.83
2012-11-18,17.26
2012-11-18,17.26
2012-11-19,16.58
2012-11-20,18.15
2012-11-21,18.51
2012-11-21,18.51
2012-11-22,18.51
2012-11-24,17.91
2012-11-25,17.91
2012-11-28,19.99
2012-11-29,19.35
2012-11-29,18.73
2012-11-30,18.13
2012-11-30,17.8
2012-12-01,17.8
2012-12-01,17.97
2012-12-02,18.75
2012-12-02,18.75
2012-12-03,18.15
2012-12-03,17.56
2012-12-04,17.56
2012-12-04,16.99
2012-12-04,16.99
2012-12-05,16.44
2012-12-06,16.25
2012-12-06,16.3
2012-12-07,19.11
2012-12-09,18.54
2012-12-10,17.94
2012-12-11,17.36
2012-12-13,16.9
2012-12-13,16.9
2012-12-15,17.95
2012-12-15,17.95
2012-12-16,18.57
2012-12-17,18.19
2012-12-18,18.19
2012-12-19,18.12
2012-12-20,18.12
2012-12-20,17.53
2012-12-20,17.53
2012-12-21,16.96
2012-12-21,16.95
2012-12-22,16.42
2012-12-22,16.42
2012-12-23,17.94
2012-12-24,18.65
2012-12-24,18.65
2012-12-24,18.65
2012-12-25,18.57
2012-12-25,18.57
2012-12-26,18.46
2012-12-27,18.46
2012-12-28,19.04
2012-12-29,18
2013-01-01,17.71
2013-01-01,17.71
2013-01-02,17.67
2013-01-03,17.11
2013-01-04,17.11
2013-01-04,19.16
2013-01-06,18.41
2013-01-06,18.68
2013-01-07,18.64
2013-01-09,17.83
2013-01-10,17.83
2013-01-11,17.71
2013-01-12,18.49
2013-01-13,18.49
2013-01-15,18.56
2013-01-17,18.56
2013-01-18,17.63
2013-01-19,17.91
2013-01-20,16.96
2013-01-20,16.96
2013-01-21,16.96
2013-01-21,17.09
2013-01-22,17.78
2013-01-22,22.4
2013-01-22,21.91
2013-01-23,20.5
2013-01-23,20.5
2013-01-23,20.05
2013-01-24,20.05
2013-01-24,22.9
2013-01-25,20.05
2013-01-26,19.2
2013-01-27,18.92
2013-01-27,18.92
2013-01-28,19.43
2013-01-28,19.43
2013-01-31,19.43
2013-02-01,19.43
2013-02-09,22.9
2013-02-12,22.9
2013-02-13,22.9
2013-02-13,22.9
2013-02-14,22.9
2013-02-16,22.9
2013-02-16,22.18
2013-02-17,19.68
2013-02-17,19.05
2013-02-18,18.64
2013-02-18,18.23
2013-02-19,17.44
2013-02-20,16.88
2013-02-21,16.34
2013-02-21,16.02
2013-02-22,16.02
2013-02-22,18.25
2013-02-23,19.12
2013-02-24,18.5
2013-02-24,17.96
2013-02-25,18.43
2013-02-28,18.22
2013-02-28,17.64
2013-03-01,17.62
2013-03-02,17.64
2013-03-03,17.44
2013-03-04,17.64
2013-03-05,17.25
2013-03-05,16.7
2013-03-06,17.25
2013-03-06,17.25
2013-03-07,16.7
2013-03-08,16.7
2013-03-08,16.7
2013-03-09,16.7
2013-03-13,16.7
2013-03-13,16.7
2013-03-14,16.7
2013-03-14,16.7
2013-03-14,16.7
2013-03-19,16.7
2013-03-19,12.54
2013-03-20,12.54
2013-03-21,12.54
2013-03-21,12.54
2013-03-22,12.54
2013-03-23,12.54
2013-03-26,16.02
2013-03-27,22.9
2013-04-01,22.9
2013-04-01,22.9
2013-04-02,23.9
2013-04-03,23.9
2013-04-05,23.2
2013-04-06,16.33
2013-04-07,16.33
2013-04-08,16.33
2013-04-08,16.33
2013-04-08,23.9
2013-04-09,16.02
2013-04-09,16.02
2013-04-11,16.02
2013-04-12,16.3
2013-04-13,23.9
2013-04-14,23.9
2013-04-16,22.38
2013-04-17,21.89
2013-04-17,20.48
2013-04-18,20.48
2013-04-21,20.48
2013-04-22,20.03
2013-04-22,20.03
2013-04-23,19.59
2013-04-23,19.17
2013-04-23,19.17
2013-04-24,19.17
2013-04-26,18.63
2013-04-26,18.63
2013-04-27,23.2
2013-04-28,23.9
2013-05-01,23.9
2013-05-01,23.9
2013-05-02,23.9
2013-05-02,23.9
2013-05-03,23.2
2013-05-04,23.9
2013-05-05,23.9
2013-05-06,23.9
2013-05-07,22.38
2013-05-07,21.89
2013-05-07,21.89
2013-05-07,11.99
2013-05-08,11.99
2013-05-14,11.99
2013-06-01,23.2
2013-06-01,23.2
2013-06-02,23.2
2013-06-02,23.2
2013-06-02,22.46
2013-06-02,21.75
2013-06-03,20.37
2013-06-03,19.93
2013-06-04,18.65
2013-06-04,18.65
2013-06-05,18.65
2013-06-07,11.99
2013-06-07,11.99
2013-06-07,11.99
2013-06-07,11.99
2013-06-09,11.99
2013-06-10,11.99
2013-06-10,11.99
2013-06-11,11.99
2013-06-13,16.5
2013-06-17,11.99
2013-06-21,11.99
2013-06-23,11.99
2013-06-27,11.99
2013-07-06,11.99
2013-07-06,11.99
2013-07-09,11.99
2013-07-18,11.99
2013-07-18,11.99
2013-07-24,11.99
2013-07-24,11.99
2013-07-30,11.99
2013-07-31,11.99
2013-08-02,11.99
2013-08-03,11.99
2013-08-06,11.99
2013-08-09,11.99
2013-08-11,11.99
2013-08-21,11.99
2013-08-28,11.99
2013-08-31,11.99
2013-09-04,11.99
2013-09-13,11.99
2013-09-16,17.26
2013-09-19,17.26
2013-09-23,17.26
2013-09-25,17.26
2013-09-26,17.12
2013-09-28,17.12
2013-10-02,17.12
2013-10-04,17.12
2013-10-05,17.12
2013-10-08,19.32
2013-10-09,10.19
2013-10-16,10.19
2013-10-17,10.19
2013-10-18,10.19
2013-10-23,10.19
2013-10-23,10.19
2013-10-26,10.19
2013-10-26,10.19
2013-10-30,10.19
2013-11-02,10.19
2013-11-07,10.19
2013-11-08,10.19
2013-11-11,10.19
2013-11-13,10.19
2013-12-17,19.95
2014-03-14,16.99
2014-03-19,16.99
2014-03-21,16.99
2014-03-22,16.99
2014-08-28,17.99
2014-09-05,17.99
2014-09-15,17.99
2014-10-06,17.99
2014-10-13,17.99
2014-10-25,17.99
2014-11-03,19.39
2014-11-04,19.35
2014-11-04,27.2
2014-11-07,27.2
2014-12-23,27.2
2014-12-28,27.2
2015-01-01,27.2
2015-01-22,26.44
2015-01-22,26.41
2015-02-14,27.2
2015-02-14,27.2
2015-02-22,27.2
2015-02-22,27.2
2015-02-27,27.2
2015-03-02,27.2
2015-03-03,27.2
2015-03-03,27.2
2015-03-10,27.2
2015-03-11,27.2
2015-03-12,27.2
2015-03-14,27.2
2015-03-16,27.2
2015-03-16,27.2
