Time,Price
2014-04-06,15.53
2014-04-11,15.2
2014-04-24,15.88
2014-04-28,15.88
2014-05-02,15.74
2014-05-05,17.11
2014-05-08,15.84
2014-05-17,15.42
2014-05-18,15.42
2014-06-05,15.83
2014-06-21,15.83
2014-07-08,15.83
2014-07-28,15.3
2014-07-31,15.27
2014-08-04,15.29
2014-08-07,14.83
2014-08-19,15.43
2014-08-28,15.16
2014-09-03,14.99
2014-09-11,14.35
2014-09-15,14.48
2014-09-18,14.52
2014-09-22,14.77
2014-09-27,14.39
2014-10-01,14.72
2014-10-24,14.18
2014-10-26,14.59
2014-11-03,14.72
2014-11-11,13.69
2014-11-20,13.1
2014-11-23,13.82
2014-11-25,13.52
2014-11-27,13.58
2014-11-30,13.72
2014-12-23,13.1
2014-12-29,13.57
2015-01-01,13.43
2015-01-04,13.37
2015-01-04,13.33
2015-01-22,14.65
2015-02-14,13.51
2015-02-16,13.47
2015-02-18,13.47
2015-02-20,13.2
2015-02-24,12.92
2015-02-26,12.92
2015-03-02,13.2
2015-03-18,13.01
2015-03-20,13.22
2015-03-23,12.95
2015-03-25,13.47
2015-03-27,13.47
2015-03-31,14.26
2015-04-02,14.26
2015-04-04,14.26
2015-04-05,14.26
2015-04-07,14.26
2015-04-09,13.47
2015-04-11,13.2
2015-04-14,12.93
2015-04-19,12.75
2015-04-21,12.93
2015-04-25,13.94
2015-04-26,12.95
2015-04-30,13.47
2015-05-07,14.22
2015-05-09,14.22
2015-05-12,14.26
2015-05-15,13.47
2015-05-19,14.26
2015-05-20,13.47
2015-05-22,14.26
2015-05-26,13.47
2015-06-03,14.26
2015-06-07,14.65
2015-06-10,14.61
2015-06-13,14.61
2015-06-17,13.47
2015-06-20,13.17
2015-06-22,14.43
2015-06-24,14.65
2015-06-27,14.99
2015-07-03,14.68
2015-07-09,14.99
2015-07-13,14.99
2015-07-19,14.77
2015-07-21,14.65
2015-07-24,14.99
2015-07-28,14.68
2015-08-01,13.48
2015-08-04,13.48
2015-08-13,14.65
2015-08-17,14.99
2015-08-21,14.44
2015-08-25,14.99
2015-09-09,18.61
2015-09-15,16.95
2015-09-25,14
2015-09-29,14.99
2015-10-02,14.99
2015-11-05,14.49
2015-11-07,14.56
2015-11-14,14.48
2015-11-21,14.99
2015-11-23,13.77
2015-11-25,14.99
2015-11-28,14.99
2015-11-28,14.99
2015-12-10,14.99
2015-12-11,13.5
2015-12-13,14.99
2015-12-17,14.99
2015-12-31,13.5
2016-01-30,13.69
2016-02-02,13.42
2016-02-06,13.5
2016-02-12,14.99
2016-02-20,13.78
2016-02-23,13.91
2016-02-27,13.5
2016-02-28,14.99
2016-03-01,13.5
2016-03-16,14.99
2016-03-18,13.34
2016-03-19,13.5
2016-03-26,13.3
2016-03-27,13.3
2016-04-01,13.31
2016-04-05,13.61
2016-04-06,13.8
2016-04-08,13.78
2016-04-10,14.99
2016-04-12,13.59
2016-04-14,13.66
2016-04-16,13.68
2016-04-26,13.5
2016-04-27,13.9
2016-04-30,13.5
2016-05-10,14.99
2016-05-26,14.99
2016-09-20,14.99
2016-10-26,14.99
2016-10-27,14.99
2016-11-08,14.99
2016-11-17,15.95
2016-11-25,14.99
2016-11-25,14.99
2016-11-25,14.99
2014-06-09,13.56
2014-06-11,14.51
2014-08-03,15.04
2014-08-28,15.03
2014-09-19,14.25
2014-10-07,14.61
2015-02-24,12.92
2015-04-27,13.27
2015-05-11,14.22
2015-05-30,13.20
2015-06-09,14.61
2015-09-15,16.99
2015-10-24,16.95
2016-01-02,13.51
2016-01-17,13.50
2016-03-17,16.99
2016-05-10,14.66
2016-05-18,17.39
2016-05-20,15.95
2016-07-10,14.99
2016-11-25,14.79
2016-11-26,14.79
