Time,Price
2012-05-31,23.48
2012-06-07,23.68
2012-06-07,23.75
2012-06-08,27.46
2012-06-26,27.46
2012-07-16,27.46
2012-07-22,27.31
2012-07-23,27.31
2012-07-26,27.08
2012-07-26,26.41
2012-07-26,26.19
2012-07-26,25.97
2012-07-27,25.76
2012-07-27,24.91
2012-07-27,24.7
2012-07-27,24.7
2012-07-27,24.7
2012-07-27,27.31
2012-07-28,27.08
2012-07-28,26.63
2012-07-28,25.76
2012-07-28,25.76
2012-07-28,25.54
2012-07-28,25.12
2012-07-28,24.7
2012-07-29,24.7
2012-07-29,27.08
2012-07-29,26.86
2012-07-29,26.41
2012-07-30,25.76
2012-07-30,25.54
2012-07-30,25.12
2012-07-30,25.12
2012-08-01,27.31
2012-08-01,27.31
2012-08-07,27.31
2012-08-10,27.31
2012-08-11,27.31
2012-08-11,29.9
2012-08-11,27.31
2012-08-14,26.95
2012-08-14,27.31
2012-08-23,28.22
2012-08-23,28.22
2012-08-24,27.72
2012-08-28,23.92
2012-08-29,23.92
2012-08-29,23.92
2012-08-30,21.98
2012-08-31,21.98
2012-09-01,21.98
2012-09-02,21.98
2012-09-04,21.98
2012-09-10,21.98
2012-09-12,21.98
2012-09-13,21.98
2012-09-14,21.98
2012-09-14,21.98
2012-09-18,24.95
2012-09-18,24.95
2012-09-21,24.95
2012-09-26,24.35
2012-09-26,23.8
2012-09-26,22.66
2012-09-27,21.47
2012-09-28,20.86
2012-09-28,24.95
2012-09-29,24.95
2012-09-29,24.95
2012-10-02,24.95
2012-10-07,24.95
2012-10-11,24.95
2012-10-12,24.95
2012-10-16,24.95
2012-10-18,24.95
2012-10-21,24.95
2012-10-23,24.95
2012-10-24,24.95
2012-10-25,24.95
2012-10-25,24.95
2012-11-02,24.95
2012-11-04,24.95
2012-11-05,22.37
2012-11-06,24.95
2012-11-07,24.95
2012-11-08,24.95
2012-11-09,24.95
2012-11-10,24.95
2012-11-10,24.95
2012-11-19,24.95
2012-11-20,24.95
2012-11-20,24.95
2012-11-23,24.95
2012-11-24,24.95
2012-11-25,24.95
2012-11-27,24.95
2012-11-28,24.95
2012-11-28,24.95
2012-11-30,24.95
2012-12-01,24.95
2012-12-02,24.95
2012-12-05,24.95
2012-12-05,24.95
2012-12-08,24.95
2012-12-10,24.95
2012-12-13,24.95
2012-12-16,19.96
2012-12-17,19.96
2012-12-18,19.98
2012-12-18,19.98
2012-12-21,19.98
2012-12-22,19.98
2012-12-23,19.98
2012-12-24,19.98
2012-12-25,19.98
2012-12-30,19.98
2012-12-31,19.98
2013-01-02,24.95
2013-01-03,24.95
2013-01-04,24.95
2013-01-04,24.95
2013-01-06,24.95
2013-01-06,24.95
2013-01-06,24.95
2013-01-19,24.95
2013-01-25,24.95
2013-02-07,24.95
2013-02-20,24.95
2013-02-20,24.95
2013-02-22,24.95
2013-02-25,24.95
2013-02-27,24.95
2013-03-08,24.95
2013-03-10,24.95
2013-03-10,24.95
2013-03-21,24.41
2013-03-22,24.95
2013-03-27,24.95
2013-03-27,24.95
2013-04-03,24.95
2013-04-04,24.95
2013-04-05,24.95
2013-04-06,24.95
2013-04-08,24.95
2013-04-09,24.95
2013-04-10,24.95
2013-04-10,24.95
2013-04-11,24.95
2013-04-11,24.95
2013-04-14,24.95
2013-04-21,24.95
2013-04-21,24.95
2013-04-25,24.95
2013-04-26,24.95
2013-04-26,23.75
2013-04-27,23.75
2013-04-29,24.95
2013-04-29,24.95
2013-05-01,24.95
2013-05-03,24.95
2013-05-03,24.95
2013-05-10,24.95
2013-05-11,24.95
2013-05-11,24.95
2013-05-13,24.95
2013-05-17,24.95
2013-05-21,24.95
2013-05-22,24.95
2013-05-24,24.95
2013-05-29,24.95
2013-05-30,24.95
2013-06-03,24.95
2013-06-04,24.95
2013-06-04,24.95
2013-06-04,24.95
2013-06-07,24.95
2013-06-07,24.95
2013-06-07,24.95
2013-06-09,24.95
2013-06-09,24.95
2013-06-09,24.95
2013-06-10,24.95
2013-06-13,24.95
2013-06-13,24.95
2013-06-17,24.95
2013-06-17,24.95
2013-06-19,24.95
2013-06-20,24.95
2013-06-20,24.95
2013-06-23,24.95
2013-06-23,24.95
2013-06-29,24.95
2013-07-03,24.95
2013-07-06,24.95
2013-07-09,24.95
2013-07-12,24.95
2013-07-15,24.95
2013-07-17,24.95
2013-07-21,24.95
2013-07-24,24.95
2013-07-30,24.95
2013-08-05,24.95
2013-08-06,24.95
2013-08-07,24.95
2013-08-08,24.95
2013-08-09,24.36
2013-08-11,24.36
2013-08-12,24.36
2013-08-21,24.95
2013-08-21,24.95
2013-08-28,24.95
2013-09-06,24.95
2013-09-13,24.95
2013-09-16,24.95
2013-09-17,24.95
2013-09-19,24.95
2013-09-20,24.95
2013-09-22,24.95
2013-09-23,24.95
2013-09-25,24.95
2013-09-26,24.95
2013-09-28,24.95
2013-09-29,24.95
2013-10-02,24.95
2013-10-05,24.95
2013-10-08,24.95
2013-10-19,24.95
2013-10-22,24.95
2013-10-26,24.95
2013-10-29,24.95
2013-11-01,24.95
2013-11-01,24.95
2013-11-04,24.95
2013-11-13,24.95
2013-11-24,24.95
2013-11-28,24.95
2013-11-30,24.95
2013-12-03,24.95
2013-12-03,24.95
2013-12-09,24.95
2013-12-13,24.95
2013-12-13,24.95
2013-12-22,24.95
2013-12-24,24.95
2014-01-10,24.95
2014-01-15,24.95
2014-01-16,24.95
2014-01-28,24.95
2014-01-31,24.95
2014-02-13,24.95
2014-02-16,24.95
2014-02-20,24.95
2014-02-23,24.95
2014-02-26,24.95
2014-02-28,24.74
2014-03-02,24.74
2014-03-02,24.74
2014-03-03,24.74
2014-03-05,24.95
2014-03-09,24.95
2014-03-13,24.95
2014-03-17,24.95
2014-03-20,24.95
2014-03-21,24.95
2014-04-06,24.95
2014-04-11,24.95
2014-05-02,24.95
2014-05-06,24.95
2014-05-13,24.95
2014-05-15,24.95
2014-05-17,24.95
2014-06-07,24.95
2014-06-07,24.95
2014-06-20,24.95
2014-06-20,24.95
2014-06-24,24.95
2014-07-08,21.99
2014-07-24,21.99
2014-07-26,21.99
2014-08-04,24.95
2014-08-19,24.95
2014-08-28,24.95
2014-08-28,24.95
2014-09-10,24.95
2014-09-11,24.95
2014-09-15,24.95
2014-09-18,24.95
2014-09-26,24.95
2014-10-01,21.99
2014-10-01,21.99
2014-10-05,21.99
2014-10-13,21.99
2014-10-13,21.99
2014-10-24,21.99
2014-10-24,21.99
2014-11-03,24.95
2014-11-05,24.95
2014-11-07,24.95
2014-11-07,24.95
2014-11-11,24.95
2014-11-19,24.95
2014-12-04,24.95
2014-12-10,24.95
2014-12-23,24.95
2014-12-25,24.95
2015-01-01,24.95
2015-01-22,24.95
2015-02-13,24.95
2015-02-26,24.95
2015-03-02,24.95
2015-03-10,24.95
2015-03-16,24.95
