Time,Price
2012-05-31,24.64
2012-08-03,27.76
2012-09-19,28.04
2012-09-26,27.76
2012-10-31,27.76
2012-11-01,27.52
2012-11-07,27.1
2012-11-07,27.1
2012-11-09,26.09
2012-11-10,25.85
2012-11-12,25.06
2012-11-13,27.76
2012-11-13,26.95
2012-11-14,26.7
2012-11-16,25.41
2012-11-16,25.17
2012-11-18,24.7
2012-11-19,24.16
2012-11-20,23.92
2012-11-21,23.7
2012-11-22,23.49
2012-11-24,23.39
2012-12-04,23.39
2012-12-04,23.94
2012-12-05,23.94
2012-12-06,23.94
2012-12-09,24.43
2012-12-11,24.43
2012-12-14,24.43
2012-12-16,24.43
2012-12-19,23.76
2012-12-20,24.43
2012-12-21,24.43
2012-12-22,24.43
2012-12-25,27.76
2012-12-25,27.72
2012-12-27,27.76
2013-01-02,27.76
2013-01-09,27.54
2013-01-10,27.51
2013-01-11,27.48
2013-01-13,27.45
2013-01-14,27.39
2013-01-16,27.36
2013-01-19,27.23
2013-01-22,26.31
2013-01-23,26.28
2013-01-25,26.25
2013-01-26,26.21
2013-01-27,26.18
2013-01-28,26.15
2013-01-29,26.12
2013-01-30,26.09
2013-01-31,26.06
2013-02-07,25.85
2013-02-08,25.79
2013-02-11,25.72
2013-02-13,25.66
2013-02-14,25.63
2013-02-14,25.6
2013-02-18,25.48
2013-02-19,25.45
2013-02-21,25.39
2013-02-22,25.33
2013-02-25,25.24
2013-02-28,25.15
2013-03-02,25.09
2013-03-04,25.03
2013-03-05,25
2013-03-07,24.7
2013-03-08,27.25
2013-03-09,27.78
2013-03-27,27.77
2013-04-26,27.77
2013-05-03,27.77
2013-05-04,27.77
2013-05-10,27.77
2013-05-12,27.77
2013-05-15,27.77
2013-05-17,25.47
2013-06-30,25.47
2013-07-04,25.47
2013-07-19,26.82
2013-07-22,25.99
2013-08-12,25.99
2013-08-29,25.36
2013-08-30,25.36
2013-09-14,24.22
2013-09-18,24.22
2013-09-20,24.22
2013-09-23,24.22
2013-09-26,25.05
2013-09-27,25.36
2013-09-29,24.22
2013-10-06,24.22
2013-10-09,26.01
2013-10-13,27.04
2013-10-20,27.84
2013-11-28,27.84
2013-12-01,27.84
2013-12-06,27.84
2013-12-14,27.84
2014-01-20,27.84
2014-03-01,29.38
2014-03-10,27.84
2014-03-13,27.84
2014-03-18,27.84
2014-04-08,25.99
2014-04-16,25.99
2014-04-25,27.84
2014-05-02,27.84
2014-05-06,27.84
2014-05-10,27.84
2014-05-12,27.84
2014-05-14,27.84
2014-05-18,27.84
2014-05-22,27.84
2014-06-09,28.05
2014-06-26,28.05
2014-07-10,27.24
2014-07-27,25.68
2014-07-30,26.54
2014-08-06,25.6
2014-08-27,30
2014-09-14,27.65
2014-09-23,27.67
2014-09-23,27.65
2014-11-06,25.84
2014-11-21,24.15
2014-11-28,24.15
2015-02-15,24.15
2015-02-27,24.15
2015-04-22,24.15
2015-04-30,24.15
2015-05-03,24.15
2015-05-08,24.15
2015-05-19,24.15
2015-06-01,23.52
2015-06-07,23.52
2015-06-17,23.55
2015-07-16,23.52
2015-08-24,27.18
2015-09-06,27.18
2015-11-10,27.18
2015-11-20,27.18
2015-12-16,27.18
2016-03-22,31.49
2016-04-04,30.71
2016-05-16,23.67
2016-05-30,24.67
2016-11-10,30.71
2016-11-25,30.71
2014-06-09,27.18
2015-09-22,27.18
2016-01-13,30.21
2016-04-16,20.38
2016-11-25,30.21
2016-11-26,30.21
