Time,Price
2012-06-02,35.81
2012-06-03,35.85
2012-06-04,35.91
2012-06-04,35.86
2012-06-06,35.87
2012-06-07,35.9
2012-06-09,35.95
2012-06-11,35.83
2012-06-12,35.9
2012-06-13,35.95
2012-06-14,35.92
2012-06-16,35.9
2012-06-17,35.96
2012-06-18,36
2012-06-19,35.95
2012-06-20,35.67
2012-06-22,35.68
2012-06-22,35.54
2012-06-25,35.49
2012-06-26,35.45
2012-06-26,35.48
2012-06-27,35.48
2012-06-28,35.51
2012-06-29,35.51
2012-06-30,35.54
2012-07-02,35.54
2012-07-03,35.54
2012-07-04,35.54
2012-07-05,35.55
2012-07-05,35.55
2012-07-05,35.57
2012-07-07,35.57
2012-07-07,35.62
2012-07-08,35.62
2012-07-09,35.62
2012-07-10,35.62
2012-07-11,35.81
2012-07-11,35.81
2012-07-13,35.81
2012-07-13,35.8
2012-07-14,35.77
2012-07-16,35.81
2012-07-18,35.84
2012-07-18,35.84
2012-07-18,35.9
2012-07-19,35.9
2012-07-20,35.9
2012-07-20,35.9
2012-07-21,35.92
2012-07-22,35.83
2012-07-23,45.48
2012-07-24,35.82
2012-07-24,35.87
2012-07-25,35.83
2012-07-26,35.92
2012-07-27,35.92
2012-07-27,36
2012-07-28,36
2012-07-30,36.01
2012-07-31,36.19
2012-08-01,36.18
2012-08-02,36.24
2012-08-03,36.23
2012-08-04,36.15
2012-08-05,36.17
2012-08-07,36.15
2012-08-08,36.26
2012-08-08,36.28
2012-08-09,36.32
2012-08-09,36.44
2012-08-11,36.49
2012-08-12,36.52
2012-08-13,36.56
2012-08-14,36.57
2012-08-15,36.65
2012-08-16,36.59
2012-08-19,36.64
2012-08-20,36.65
2012-08-22,36.75
2012-08-23,36.52
2012-08-24,36.49
2012-08-25,36.59
2012-08-26,36.64
2012-08-27,36.63
2012-08-27,36.57
2012-08-28,36.58
2012-08-30,36.57
2012-08-31,36.67
2012-09-01,36.67
2012-09-01,36.84
2012-09-02,36.84
2012-09-04,36.94
2012-09-05,36.98
2012-09-10,37
2012-09-11,37.06
2012-09-11,37.19
2012-09-13,37.25
2012-09-19,37.12
2012-09-24,37.29
2012-09-29,37.29
2012-10-02,37.29
2012-10-03,37.54
2012-10-09,36.68
2012-10-12,36.8
2012-10-16,37.58
2012-10-19,37.99
2012-10-24,37.95
2012-10-26,38.15
2012-11-01,38.42
2012-11-22,38.42
2012-11-24,37.37
2012-11-25,36.69
2012-11-27,36.67
2012-12-15,38.31
2012-12-16,38.11
2012-12-17,35.82
2012-12-19,34.89
2012-12-20,34.36
2012-12-22,34.71
2012-12-22,34.71
2012-12-23,38.56
2012-12-24,36.71
2012-12-25,35.67
2013-01-04,39.95
2013-01-09,37.86
2013-01-16,35.95
2013-01-17,35.95
2013-01-18,36.6
2013-01-21,36.6
