Time,Price
2012-06-02,39.99
2012-06-07,39.93
2012-06-14,39.99
2012-07-11,39.99
2012-07-13,39.99
2012-07-16,39.99
2012-07-17,39.99
2012-07-18,33.98
2012-07-19,33.98
2012-07-23,28.88
2012-07-24,33.98
2012-07-26,28.88
2012-07-27,28.88
2012-07-28,33.98
2012-07-29,33.98
2012-07-30,32.99
2012-08-02,32.99
2012-08-03,33.98
2012-08-05,33.98
2012-08-05,33.98
2012-08-07,33.98
2012-08-09,33.98
2012-08-09,33.98
2012-08-16,33.98
2012-08-17,33.98
2012-08-18,33.98
2012-08-23,33.98
2012-08-30,39.99
2012-09-02,39.99
2012-09-05,33.98
2012-09-15,33.98
2012-09-19,34.95
2012-09-20,34.95
2012-09-28,34.95
2012-10-02,34.95
2012-10-04,34.95
2012-10-09,34.95
2012-10-15,34.95
2012-10-18,28.88
2012-10-19,28.88
2012-10-26,34.95
2012-10-28,34.95
2012-11-01,34.95
2012-11-03,34.95
2012-11-06,34.95
2012-11-11,34.95
2012-11-12,34.95
2012-12-21,34.95
2012-12-24,34.95
2013-01-10,34.95
2013-01-16,34.95
2013-01-21,34.95
2013-01-25,34.95
2013-01-29,34.95
2013-02-16,34.95
2013-02-18,34.95
2013-02-20,34.95
2013-03-01,34.95
2013-03-09,34.95
2013-03-10,34.95
2013-03-11,34.95
2013-03-17,34.95
2013-03-19,34.95
2013-03-24,34.95
2013-03-26,34.95
2013-03-28,29.99
2013-03-30,29.99
2013-03-30,29.99
2013-04-07,29.99
2013-04-10,29.99
2013-04-23,29.99
2013-04-24,29.99
2013-04-27,29.99
2013-05-01,29.99
2013-05-02,24.99
2013-05-03,29.99
2013-05-13,44.95
2013-05-13,44.95
2013-05-18,44.95
2013-05-18,44.95
2013-05-23,29.99
2013-06-01,29.99
2013-06-04,29.99
2013-06-04,29.99
2013-06-05,29.99
2013-06-07,29.99
2013-06-07,29.99
2013-06-08,29.99
2013-06-09,29.99
2013-06-10,29.99
2013-06-13,29.99
2013-06-14,29.99
2013-06-23,29.99
2013-06-25,29.99
2013-07-03,29.99
2013-07-06,29.99
2013-07-12,29.99
2013-07-16,29.99
2013-07-19,29.99
2013-07-24,29.99
2013-07-31,33.71
2013-08-02,34.95
2013-08-11,34.95
2013-08-21,33.99
2013-08-22,33.99
2013-08-28,33.99
2013-08-30,33.99
2013-09-01,33.99
2013-09-03,33.98
2013-09-06,33.98
2013-09-06,33.98
2013-09-13,33.98
2013-09-14,33.98
2013-09-16,33.98
2013-09-19,33.98
2013-09-19,33.98
2013-09-20,33.98
2013-09-23,33.98
2013-09-28,33.98
2013-09-30,33.98
2013-10-08,34.95
2013-11-22,34.95
2013-11-24,34.95
2013-11-25,34.95
2013-12-06,34.95
2013-12-23,34.95
2014-05-03,44.95
2014-05-05,44.95
2014-05-07,36.95
2014-05-17,36.95
2014-05-21,36.95
2014-05-26,36.95
2014-06-03,36.95
2014-06-09,36.95
2014-06-20,36.95
2014-07-24,36.95
2014-08-19,44.95
2014-08-20,44.95
2014-08-29,45.83
2014-08-30,47.95
2014-08-31,45.83
2014-09-03,44.95
2014-09-12,44.95
2014-09-18,44.95
2014-09-22,44.95
2014-09-23,44.95
2014-09-25,44.95
2014-09-27,44.95
2014-09-29,44.95
2014-10-24,47.95
2014-11-03,44.95
2014-11-20,47.95
2014-11-21,47.95
2014-11-23,47.95
2014-11-28,47.95
2014-12-23,47.95
2014-12-29,47.95
2015-01-01,47.95
2015-01-04,47.95
2015-01-22,47.95
2015-02-14,47.95
2015-02-15,47.95
2015-02-18,47.95
2015-02-20,47.95
2015-02-22,47.95
2015-02-26,47.95
2015-02-28,47.95
2015-03-02,47.95
2015-03-04,47.95
2015-03-10,47.95
2015-03-13,47.95
2015-03-18,47.95
2015-03-20,47.95
2015-03-23,47.95
2015-03-25,47.95
2015-03-26,47.95
2015-03-27,47.95
2015-03-29,47.95
2015-03-31,47.95
2015-04-01,47.95
2015-04-02,47.95
2015-04-04,47.95
2015-04-05,47.95
2015-04-07,47.95
2015-04-11,47.95
2015-04-12,47.95
2015-04-14,47.95
2015-04-18,47.95
2015-04-19,47.95
2015-04-21,47.95
2015-04-23,47.95
2015-04-25,47.95
2015-04-30,47.95
2015-05-02,47.95
2015-05-05,47.95
2015-05-07,47.95
2015-05-09,47.95
2015-05-13,47.95
2015-05-15,47.95
2015-05-17,47.95
2015-05-19,47.95
2015-05-20,47.95
2015-05-22,36.95
2015-05-26,36.95
2015-05-28,36.95
2015-05-29,36.95
2015-05-31,36.95
2015-06-01,36.69
2015-06-03,36.95
2015-06-07,36.95
2015-06-08,36.95
2015-06-10,36.95
2015-06-11,36.95
2015-06-13,36.95
2015-06-17,36.95
2015-06-20,36.95
2015-06-21,36.95
2015-06-24,36.95
2015-07-03,36.95
2015-07-13,36.95
2015-07-30,36.95
2015-08-04,36.67
2015-08-06,36.95
2015-08-08,36.95
2015-08-19,36.95
2015-08-23,36.95
2015-08-25,36.95
2015-08-29,36.95
2015-09-03,36.95
2015-09-20,47.95
2015-09-21,47.95
2015-09-23,47.95
2015-09-25,47.95
2015-09-26,47.95
2015-09-29,47.95
2015-09-30,47.95
2015-10-02,47.95
2015-11-03,47.95
2015-11-07,47.95
2015-11-09,47.95
2015-11-11,47.95
2015-11-12,47.95
2015-11-14,47.95
2015-12-13,47.95
2015-12-17,36.95
