Time,Price
2012-06-25,24.76
2012-06-27,24.99
2012-06-28,24.76
2012-07-03,24.27
2012-08-26,24.99
2012-09-01,24.99
2012-09-19,24.99
2012-10-10,24.99
2013-01-16,24.99
2013-02-12,24.99
2013-04-10,25.99
2013-04-14,24.99
2013-04-17,25.99
2013-06-08,25.99
2013-08-17,25.99
2013-08-22,24.97
2013-09-05,25.99
2013-10-17,25.99
2013-11-21,25.99
2013-12-02,25.99
2014-01-18,25.99
2014-02-03,25.99
2014-02-14,25.99
2014-03-20,25.99
2014-05-07,25.99
2014-05-20,25.47
2014-06-19,25.23
2014-07-10,24.99
2014-07-30,24.99
2014-08-06,25.23
2014-09-09,24.99
2014-10-02,24.99
2014-10-25,25.46
2014-11-18,24.83
2014-11-30,22.93
2014-12-22,24.99
2015-02-15,24.99
2015-03-01,24.99
2015-06-25,24.99
2015-07-04,24.99
2015-07-10,24.99
2015-08-05,24.99
2015-08-18,23.9
2015-09-02,24.99
2016-01-09,24.99
2016-01-09,24.99
2016-01-15,24.99
2016-01-30,24.99
2016-03-30,24.99
2016-04-30,24.99
2016-09-20,24.99
2016-11-06,24.46
2016-11-12,24.99
2016-11-15,24.99
2016-11-16,24.99
2016-11-23,24.99
2016-11-24,24.99
2016-11-25,24.99
