Time,Price
2013-04-17,14.99
2013-04-23,14.82
2013-04-24,14.69
2013-04-25,14.99
2013-04-29,14.99
2013-05-01,14.99
2013-05-03,14.99
2013-06-03,14.99
2013-06-05,14.99
2013-06-06,14.99
2013-06-07,14.99
2013-06-09,14.99
2013-07-10,14.99
2013-07-11,14.99
2013-07-25,14.99
2013-08-01,14.99
2013-08-21,14.99
2013-09-19,14.67
2013-09-22,14.99
2013-09-28,14.67
2013-10-02,14.99
2013-10-26,14.99
2013-11-05,17.99
2013-11-13,9.99
2013-11-28,17.95
2013-11-30,17.95
2013-12-03,19.95
2013-12-06,9.99
2013-12-24,17.95
2013-12-25,15.26
2014-01-02,9.99
2014-01-08,6.99
2014-01-15,6.99
2014-01-20,19.99
2014-01-22,6.99
2014-02-24,19.95
2014-02-26,20.95
2014-03-05,19.99
2014-05-02,19.61
2014-05-04,19.99
2014-05-14,19.83
2014-05-16,19.02
2014-05-17,19.45
2014-05-18,19.99
2014-05-22,19.99
2014-06-04,19.99
2014-07-07,19.28
2014-07-10,17.68
2014-07-14,19.28
2014-08-19,16.39
2014-08-21,19.99
2014-09-12,19.99
2014-09-21,19.99
2014-09-28,19.99
2014-10-15,17.95
2014-10-16,17.95
2014-10-26,16.99
2014-11-04,17.03
2014-11-21,16.33
2014-11-25,17.03
2014-11-27,16.81
2014-11-28,16.06
2014-12-02,17.03
2014-12-29,17.95
2015-02-28,14.99
2015-03-16,19.25
2015-03-18,19.27
2015-03-22,18.72
2015-03-27,19.01
2015-04-01,19.49
2015-04-04,18.72
2015-04-09,19.27
2015-04-16,18.95
2015-05-10,18.95
2015-05-26,18.38
2015-05-29,18.95
2015-06-04,20.95
2015-06-06,18.95
2015-07-15,20
2015-07-21,18.95
2015-08-06,18.95
2015-08-15,19.78
2015-08-22,18.95
2015-08-27,18.95
2015-09-09,18.95
2015-09-12,20.99
2015-09-13,20.99
2015-09-17,20.99
2015-09-18,20.99
2015-10-04,18.95
2015-12-15,16.95
2016-01-03,16.95
2016-01-09,16.95
2016-02-01,16.95
2016-02-19,16.95
2016-02-28,16.95
2016-03-01,16.95
2016-03-02,16.95
2016-03-20,20.99
2016-03-27,17.83
2016-04-02,16.99
2016-04-30,16.99
2016-05-28,18.99
2016-10-31,21.32
2016-11-04,21.32
2016-11-15,20.25
2016-11-25,20.25
