Time,Price
2012-06-02,23.2
2012-06-03,23.2
2012-06-05,22.19
2012-06-07,22.19
2012-06-25,21.83
2012-06-26,22.19
2012-06-27,22.19
2012-06-29,17
2012-06-30,16.98
2012-06-30,16.98
2012-07-01,18.99
2012-07-02,18.99
2012-07-03,18.76
2012-07-03,18.76
2012-07-04,18.99
2012-07-04,18.99
2012-08-01,19.35
2012-08-02,18.81
2012-08-02,18.73
2012-08-03,19.35
2012-08-04,19.35
2012-08-07,19.35
2012-08-07,19.34
2012-08-08,19.09
2012-08-10,19.35
2012-08-15,19.34
2012-08-16,19.09
2012-08-17,19.34
2012-08-19,19.33
2012-08-20,19.34
2012-08-25,18.99
2012-08-25,19.34
2012-08-30,19.35
2012-08-30,19.34
2012-09-02,19.33
2012-09-03,19.34
2012-09-10,19.33
2012-09-11,19.34
2012-09-20,19.35
2012-09-23,19.33
2012-09-24,19.35
2012-09-24,24.99
2012-09-26,21.13
2012-09-29,19.43
2012-09-29,19.33
2012-10-02,21.13
2012-10-06,20.45
2012-10-06,19.4
2012-10-07,19.33
2012-10-08,24.99
2012-10-10,21.13
2012-10-17,24.99
2012-10-20,21.83
2012-10-21,19.68
2012-10-23,23.38
2012-10-24,23.29
2012-10-25,23.38
2012-10-26,22.85
2012-10-26,23.38
2012-10-28,19.33
2012-10-31,23.38
2012-11-01,23.94
2012-11-03,20.91
2012-11-03,19.33
2012-11-06,23.94
2012-11-10,22.01
2012-11-11,19.33
2012-11-12,23.94
2012-11-29,22.85
2012-11-30,23.94
2012-11-30,23.4
2012-12-01,23.94
2012-12-07,24.99
2012-12-10,23.94
2012-12-12,22.19
2012-12-15,22.09
2012-12-18,22.17
2012-12-25,23.94
2013-01-12,20.91
2013-01-13,19.26
2013-01-14,23.94
2013-01-15,19.26
2013-01-20,19.26
2013-01-21,24.99
2013-01-21,24.99
2013-01-22,24.99
2013-01-22,24.99
2013-01-23,24.99
2013-01-23,24.99
2013-01-24,24.99
2013-01-24,24.99
2013-01-25,24.99
2013-01-25,24.99
2013-01-26,24.19
2013-01-26,20.74
2013-01-27,19.26
2013-01-28,24.99
2013-01-28,24.99
2013-01-29,24.99
2013-01-29,24.99
2013-01-30,24.99
2013-01-30,24.99
2013-01-31,24.99
2013-01-31,24.99
2013-02-01,24.99
2013-02-01,24.99
2013-02-02,24.19
2013-02-07,23.94
2013-02-09,24.99
2013-02-10,20.91
2013-02-10,20.91
2013-02-10,23.94
2013-02-12,22.86
2013-02-12,22.67
2013-02-12,23.94
2013-02-13,23.94
2013-02-13,24.99
2013-02-15,24.99
2013-02-18,24.99
2013-02-18,24.99
2013-02-20,24.99
2013-02-22,24.99
2013-02-28,24.99
2013-03-01,24.99
2013-03-02,24.99
2013-03-04,24.99
2013-03-05,24.99
2013-03-06,24.99
2013-03-08,24.99
2013-03-11,24.99
2013-03-13,24.99
2013-03-13,23.94
2013-03-17,23.94
2013-03-18,24.99
2013-03-20,24.92
2013-03-21,24.99
2013-03-22,24.78
2013-03-22,24.46
2013-03-23,23.22
2013-03-23,22.77
2013-03-24,22.37
2013-03-24,22.17
2013-03-24,22.07
2013-03-24,21.66
2013-03-25,24.99
2013-03-29,23.94
2013-03-31,24.99
2013-04-02,24.59
2013-04-02,24.35
2013-04-02,24.11
2013-04-03,23.61
2013-04-03,24.99
2013-04-04,24.99
2013-04-05,24.67
2013-04-05,24.27
2013-04-05,24.99
2013-04-06,24.4
2013-04-06,23.66
2013-04-07,23.09
2013-04-07,22.42
2013-04-08,21.34
2013-04-08,24.99
2013-04-10,24.21
2013-04-10,24.99
2013-04-12,24.82
2013-04-12,23.31
2013-04-13,23.06
2013-04-13,22.39
2013-04-14,21.68
2013-04-14,19.13
2013-04-14,19.76
2013-04-15,24.99
2013-04-17,23.6
2013-04-18,23.07
2013-04-18,23.6
2013-04-21,21.26
2013-04-22,24.99
2013-04-22,23.6
2013-04-23,20.37
2013-04-24,23.6
2013-04-26,22.7
2013-04-26,22.3
2013-04-27,21.8
2013-04-27,21.36
2013-04-27,20.81
2013-04-28,19.91
2013-04-28,19.27
2013-04-29,22.95
2013-04-29,22.54
2013-05-01,22.54
2013-05-01,22.4
2013-05-02,22.1
2013-05-02,20.64
2013-05-02,20.52
2013-05-03,20.16
2013-05-03,19.54
2013-05-04,20.73
2013-05-04,20.42
2013-05-04,19.76
2013-05-06,20.73
2013-05-06,24.85
2013-05-07,24.4
2013-05-07,24.99
2013-05-07,23.25
2013-05-08,23.34
2013-05-08,24.4
2013-05-09,23.32
2013-05-09,23.37
2013-05-09,22.26
2013-05-10,21.34
2013-05-10,20.83
2013-05-11,21.02
2013-05-12,23.23
2013-05-12,22.68
2013-05-13,22.26
2013-05-13,22.46
2013-05-13,23.23
2013-05-14,22.19
2013-05-14,23.37
2013-05-15,22.54
2013-05-15,22.43
2013-05-15,21.67
2013-05-16,22.07
2013-05-16,21.53
2013-05-17,22.2
2013-05-17,21.53
2013-05-18,20.72
2013-05-18,20.17
2013-05-19,19.76
2013-05-20,20.73
2013-05-20,22.34
2013-05-21,22.95
2013-05-21,21.08
2013-05-22,20.83
2013-05-22,20.76
2013-05-23,20.83
2013-05-24,21
2013-05-24,20.87
2013-05-25,20.82
2013-05-25,20.52
2013-05-25,19.76
2013-05-27,20.73
2013-05-28,21
2013-05-28,20.75
2013-05-29,20.82
2013-05-30,21
2013-05-30,20.75
2013-05-31,20.82
2013-05-31,21
2013-06-01,20.75
2013-06-01,19.76
2013-06-03,20.73
2013-06-04,20.8
2013-06-05,20.75
2013-06-07,21
2013-06-08,20.59
2013-06-09,19.76
2013-06-11,20.75
2013-06-12,21
2013-06-14,20.94
2013-06-17,20.82
2013-06-18,20.82
2013-06-20,21
2013-06-21,20.73
2013-06-23,19.76
2013-06-25,20.75
2013-06-26,20.82
2013-06-30,19.76
2013-07-01,20.73
2013-07-12,20.73
2013-07-21,20.73
2013-07-22,20.73
2013-07-27,18.33
2013-07-28,20.73
2013-08-02,20.12
2013-08-04,20.12
2013-08-05,20.73
2013-08-06,20.73
2013-08-10,18.33
2013-08-11,20.73
2013-08-22,20.73
2013-08-28,20.73
2013-09-01,19.39
2013-09-03,18.72
2013-09-04,18.72
2013-09-06,18.72
2013-09-13,20.73
2013-09-14,19.78
2013-09-16,20.73
2013-09-19,20.73
2013-09-22,24.62
2013-09-23,24.62
2013-09-25,22.98
2013-09-26,22.98
2013-09-28,22.98
2013-09-30,22.98
2013-10-02,22.98
2013-10-05,22.21
2013-10-07,22.98
2013-10-08,24.99
2013-10-11,24.99
2013-10-13,24.53
2013-10-16,24.99
2013-10-19,24.99
2013-10-21,24.99
2013-10-23,24.99
2013-10-26,24.99
2013-11-01,24.98
2013-11-02,24.89
2013-11-04,24.73
2013-11-05,24.99
2013-11-07,24.75
2013-11-08,24.75
2013-11-10,24.75
2013-11-12,24.75
2013-11-20,24.75
2013-11-24,24.75
2013-12-03,22.05
2013-12-05,22.05
2013-12-06,22.05
2013-12-08,22.05
2013-12-10,22.05
2013-12-13,22.05
2013-12-15,22.05
2013-12-21,22.05
2013-12-26,22.05
2014-01-03,26.99
