Time,Price
2012-06-01,11.76
2012-06-16,11.76
2012-06-28,16.32
2012-06-28,16.6
2012-06-29,16.6
2012-06-30,11.85
2012-07-01,11.65
2012-07-02,11.44
2012-07-03,11.44
2012-07-03,11.31
2012-07-04,11.31
2012-07-05,11.85
2012-07-06,11.85
2012-07-07,11.85
2012-07-10,16.6
2012-07-11,16.49
2012-07-12,16.49
2012-07-12,17.25
2012-07-13,16.61
2012-07-15,16.88
2012-07-16,16.5
2012-07-16,16.5
2012-07-18,16.5
2012-07-19,16.5
2012-07-20,16.4
2012-07-20,16.61
2012-07-21,16.5
2012-07-21,16.5
2012-07-22,16.71
2012-07-22,16.71
2012-07-30,17.42
2012-07-31,16.13
2012-08-02,16.43
2012-08-02,16.43
2012-08-03,16.74
2012-08-04,16.88
2012-08-07,15.28
2012-08-08,15.56
2012-08-09,15.56
2012-08-09,15.56
2012-08-10,15.28
2012-08-11,14.76
2012-08-11,31.99
2012-08-12,14.77
2012-08-12,14.28
2012-08-13,14.49
2012-08-15,14.28
2012-08-15,14.28
2012-08-15,14.28
2012-08-16,14.28
2012-08-18,14.28
2012-08-18,15.28
2012-08-19,14.76
2012-08-20,14.28
2012-08-21,14.28
2012-08-22,14.58
2012-08-22,14.31
2012-08-23,14.28
2012-08-24,11.31
2012-08-25,11.71
2012-08-26,11.71
2012-08-27,11.71
2012-08-28,11.7
2012-08-28,11.7
2012-08-29,11.43
2012-08-29,10.91
2012-08-30,11.15
2012-08-30,11.32
2012-08-31,11.32
2012-08-31,11.32
2012-09-02,11.32
2012-09-04,11.32
2012-09-05,11.32
2012-09-11,10.55
2012-09-12,10.17
2012-09-12,10.17
2012-09-13,10.17
2012-09-14,10.17
2012-09-18,11.29
2012-09-19,11.71
2012-09-21,11.71
2012-09-21,11.71
2012-09-25,11.32
2012-09-25,11.32
2012-09-26,11.5
2012-09-26,11.42
2012-09-27,14.28
2012-09-28,14.25
2012-09-29,11.04
2012-09-29,11.04
2012-09-29,11.41
2012-10-02,11.27
2012-10-02,11.35
2012-10-03,11.35
2012-10-05,11.44
2012-10-06,11.53
2012-10-06,11.63
2012-10-07,11.63
2012-10-07,11.73
