Time,Price
2012-06-04,10.42
2012-06-07,10.16
2012-06-16,9.95
2012-06-18,10.16
2012-06-22,10.04
2012-06-25,10.36
2012-07-01,10.23
2012-07-02,10.11
2012-07-03,9.99
2012-07-04,9.58
2012-07-05,10.48
2012-07-05,10.28
2012-07-06,10.36
2012-07-14,10.31
2012-07-15,10.18
2012-07-16,10.06
2012-07-16,9.83
2012-07-17,9.68
2012-07-18,10.36
2012-07-18,10.18
2012-07-19,10.06
2012-07-20,9.94
2012-07-21,11.02
2012-07-26,10.89
2012-07-26,10.7
2012-07-27,10.57
2012-07-28,10.44
2012-07-29,11.02
2012-08-04,11.01
2012-08-07,10.64
2012-08-08,10.28
2012-08-09,9.27
2012-08-09,9.28
2012-08-11,9.29
2012-08-11,10.36
2012-08-12,10.23
2012-08-12,9.87
2012-08-13,10.13
2012-08-13,10.01
2012-08-15,10.18
2012-08-15,9.94
2012-08-16,10.26
2012-08-16,10.01
2012-08-16,10.02
2012-08-17,10.18
2012-08-17,9.94
2012-08-18,9.95
2012-08-18,10.36
2012-08-25,11.02
2012-08-29,10.91
2012-08-30,10.26
2012-09-10,9.66
2012-09-11,9.78
2012-09-11,9.9
2012-09-12,10.15
2012-09-13,10.31
2012-09-19,10.31
2012-09-21,10.31
2012-09-22,10.31
2012-09-22,10.36
2012-09-24,11.02
2012-09-28,11.02
2012-09-29,11.02
2012-10-02,11.84
2012-10-03,11.84
2012-10-05,11.83
2012-10-06,10.05
2012-10-09,10.69
2012-10-09,10.83
2012-10-10,11.68
2012-10-11,11.83
2012-10-24,10.36
2012-10-26,10.93
2012-10-29,11.83
2012-11-03,11.89
2012-11-04,11.83
2012-11-07,11.52
2012-11-08,11.44
2012-11-14,11.81
2012-11-14,11.89
2012-11-15,11.61
2012-11-16,11.81
2012-11-16,11.89
2012-11-20,11.73
2012-11-21,11.25
2012-11-22,10.86
2012-11-24,11.18
2012-11-27,12.03
2012-11-28,11.53
2012-11-29,12.21
2012-11-30,12.32
2012-12-01,12.52
2012-12-03,12.62
2012-12-05,11.89
2012-12-16,11.81
2012-12-17,11.89
2012-12-30,11.89
2013-01-17,11.18
2013-01-21,11.2
2013-01-22,11.27
2013-01-24,12.26
2013-01-25,12.55
2013-01-26,12.67
2013-01-27,12.62
2013-01-28,12.32
2013-01-29,12.53
2013-01-30,12.75
2013-02-01,13.03
2013-02-07,12.61
2013-02-10,12.76
2013-02-12,13.03
2013-02-13,12.45
2013-02-18,12.37
2013-02-19,12.53
2013-02-22,11.18
2013-02-28,12.29
2013-03-03,11.89
2013-03-06,11.18
2013-03-18,10.55
2013-03-20,11.18
2013-03-31,10.32
2013-04-02,11.18
2013-04-06,11.99
2013-05-06,11.18
2013-05-15,11.89
2013-05-25,11.18
2013-06-09,11.89
2013-06-10,11.89
2013-06-26,11.18
2013-07-21,11.89
2013-07-30,11.18
2013-08-05,11.89
2013-08-11,11.91
2013-08-21,11.18
2013-08-31,11.18
2013-09-03,11.18
2013-09-06,11.18
2013-09-13,10.49
2013-09-14,9.91
2013-09-22,9.81
2013-09-30,10.49
2013-10-02,9.83
2013-10-05,11.18
2013-10-11,11.99
2013-10-16,11.99
2013-10-19,11.21
2013-10-27,11.99
2013-12-24,11.99
2013-12-26,11.99
2013-12-28,11.99
2014-01-03,11.71
2014-01-05,11.99
2014-01-05,11.73
2014-01-07,11.81
2014-01-08,11.99
2014-01-10,11.99
2014-01-15,11.99
2014-01-20,13.23
2014-01-22,11.99
2014-01-31,11.81
2014-02-07,11.99
2014-02-20,11.99
2014-02-23,11.99
2014-02-24,11.99
2014-03-02,13.44
2014-03-03,13.64
2014-03-05,13.44
2014-03-08,12.93
2014-03-14,11.99
2014-04-06,11.2
2014-05-01,11.99
2014-05-13,11.99
2014-05-17,11.99
2014-05-21,11.99
2014-08-19,11.12
2014-09-18,11.99
2014-09-22,11.99
2014-10-24,11.99
2014-10-26,11.99
2014-11-07,11.99
2014-11-11,11.99
2014-11-20,11.97
2014-11-23,11.99
2014-11-27,11.95
2014-11-30,11.99
2014-12-01,11.99
2014-12-04,11.99
2014-12-23,11.99
2015-01-01,11.99
2015-01-04,11.99
2015-01-22,11.99
2015-02-14,11.99
2015-02-16,11.99
2015-02-18,11.99
2015-02-22,11.99
2015-02-26,11.99
2015-03-02,11.99
2015-03-16,11.99
2015-03-20,11
2015-03-25,11
2015-03-29,11
2015-03-31,11
2015-04-02,11
2015-04-04,11
2015-04-07,11
2015-04-11,11.99
2015-04-25,11
2015-05-02,11.99
2015-05-03,11.99
2015-05-05,11.99
2015-05-10,11.99
2015-05-12,11.99
2015-05-15,11.99
2015-06-03,12.88
2015-06-10,11.99
2015-07-17,11.99
2015-07-20,11.99
2015-07-24,11.99
2015-07-28,11.99
2015-08-08,11.99
2015-08-19,11.97
2015-09-07,11.97
2015-09-18,11.97
2015-09-21,11.97
2015-09-25,11.99
2015-09-28,11.99
2015-11-05,11.97
2015-11-23,11.32
2015-12-11,10.96
2015-12-13,10.96
2015-12-21,10.39
2015-12-31,9.32
2016-01-10,11.99
2016-01-15,11.7
2016-02-02,11.7
2016-03-18,9.94
2016-04-28,8.45
2016-05-12,9.94
2016-09-20,8.39
2016-10-27,8.39
2016-11-05,8.39
2016-11-08,8.39
2016-11-12,8.39
2016-11-14,8.39
2016-11-15,8.39
2016-11-17,8.39
2016-11-19,8.39
2016-11-25,8.39
2016-11-25,8.39
