Time,Price
2012-06-05,12.46
2012-06-10,13.11
2012-06-20,13
2012-06-21,13
2012-06-22,13
2012-06-23,13.04
2012-06-24,13.03
2012-06-26,12.96
2012-06-27,13.01
2012-06-28,13.02
2012-06-28,13.01
2012-06-29,13.01
2012-07-01,12.85
2012-07-03,12.9
2012-07-06,12.71
2012-07-07,12.54
2012-07-10,12.66
2012-07-11,12.66
2012-07-11,12.67
2012-07-12,12.62
2012-07-13,12.62
2012-07-13,12.62
2012-07-18,12.76
2012-07-19,12.76
2012-07-20,12.76
2012-07-21,12.7
2012-07-22,12.64
2012-07-29,12.22
2012-07-30,12.22
2012-08-07,12.48
2012-08-08,12.48
2012-08-10,12.48
2012-08-11,12.48
2012-08-13,33.48
2012-08-27,31.2
2012-09-15,12.48
2012-09-23,12.64
2012-09-25,12.48
2012-09-27,12.41
2012-12-11,12.48
2013-01-23,12.41
2013-01-26,12.04
2013-01-30,12.41
2013-02-13,12.41
2013-04-08,12.47
2013-04-13,12.41
2013-04-17,11.64
2013-04-18,11.38
2013-04-21,11.71
2013-04-26,11.93
2013-04-27,12.1
2013-04-28,12.37
2013-04-29,12.32
2013-05-04,12.55
2013-05-05,12.51
2013-05-06,12.35
2013-05-08,11.79
2013-05-10,11.71
2013-06-02,11.71
2013-06-04,11.71
2013-06-18,12.47
2013-07-13,12.47
2013-09-06,12.47
2013-10-03,12.47
2013-10-25,14.7
2013-11-20,14.7
2013-12-11,13.65
2014-01-03,12.62
2014-02-23,12.58
2014-03-19,12.44
2014-03-24,12.58
2014-05-05,12.53
2014-06-13,11.78
2014-07-07,12.58
2014-07-25,11.72
2014-07-28,13.23
2014-08-04,12.58
2014-09-16,16.5
2014-09-21,16.49
2014-10-01,16.49
2014-10-23,16.49
2014-11-01,13.18
2014-11-04,13.18
2014-11-28,13.72
2014-12-03,13.14
2014-12-23,13.92
2015-01-01,14.64
2015-01-21,13.14
2015-02-13,14.65
2015-02-26,14.65
2015-03-10,13.14
2015-03-18,14.65
2015-03-24,14.65
2015-04-03,13.14
2015-04-05,14.65
2015-04-10,14.1
2015-04-14,13.14
2015-04-24,14.21
2015-05-02,14.41
2015-05-13,14.22
2015-05-18,14.59
2015-05-31,14.57
2015-06-01,14.14
2015-06-06,13.27
2015-06-24,13.65
2015-06-28,13.27
2015-07-22,13.41
2015-07-27,14.28
2015-08-17,13.06
2015-08-22,15.67
2015-08-29,16.16
2015-09-13,16.49
2015-09-17,16.29
2015-11-03,12.37
2015-11-07,12.35
2015-11-14,12.32
2015-11-21,12.29
2015-12-01,12.29
2015-12-13,12.27
2015-12-21,12.27
2015-12-30,12.27
2016-01-07,12.27
2016-01-29,12.2
2016-02-06,11.97
2016-03-15,10.17
2016-03-29,10.17
2016-04-02,11.07
2016-04-26,10.22
2016-04-30,10.22
2016-05-14,10.22
2016-05-28,10.19
2016-09-19,10.19
2016-10-30,10.19
2016-11-07,10.19
2016-11-11,10.19
2016-11-16,10.19
2016-11-22,10.19
2016-11-24,10.19
2016-11-25,10.19
