Time,Price
2012-06-01,119.99
2012-06-07,119.99
2012-07-08,119.99
2012-07-27,119.99
2012-08-02,119.99
2012-08-14,109.99
2012-08-15,119.99
2012-08-15,109.99
2012-08-16,119.99
2012-08-22,109.99
2012-09-13,119.99
2012-09-15,109.99
2012-09-30,110.98
2012-10-02,110.98
2012-10-03,119.99
2012-10-03,119.99
2012-10-04,119.99
2012-10-04,109.99
2012-10-10,109.99
2012-10-11,119.99
2012-10-31,109.65
2012-11-06,119.99
2012-11-10,119.99
2012-11-11,119.99
2012-11-17,119.99
2012-11-18,119.99
2012-11-19,119.99
2016-11-25,119.99
