Time,Price
2012-06-01,13.29
2012-06-02,13.16
2012-06-03,13.13
2012-06-08,14.11
2012-06-11,14.11
2012-06-12,14.11
2012-06-25,14.25
2012-06-27,13.74
2012-06-27,14.25
2012-06-27,13.74
2012-06-29,19.99
2012-06-29,13.74
2012-06-29,14.25
2012-07-09,14.25
2012-07-10,14.25
2012-07-10,14.21
2012-07-12,14.25
2012-07-13,14.25
2012-07-21,13.24
2012-07-21,13.24
2012-07-25,13.24
2012-07-26,13.24
2012-08-05,13.01
2012-08-06,13.24
2012-08-07,13.24
2012-08-08,13.24
2012-08-10,13.26
2012-08-11,13.26
2012-08-12,13.24
2012-08-13,13.16
2012-08-13,13.1
2012-08-13,12.99
2012-08-31,13.1
2012-09-01,13.1
2012-09-02,12.55
2012-09-10,12.45
2012-09-11,12.72
2012-09-12,12.45
2012-09-20,12.72
2012-09-21,12.63
2012-09-22,12.7
2012-09-22,12.7
2012-09-23,12.7
2012-09-23,12.66
2012-09-23,12.66
2012-09-24,12.64
2012-09-25,13.18
2012-09-25,13.18
2012-09-26,13.13
2012-09-26,13.13
2012-09-27,12.63
2012-09-28,12.84
2012-09-29,12.63
2012-09-30,12.63
2012-09-30,12.74
2012-10-02,13.22
2012-10-03,13.22
2012-10-04,13.38
2012-10-05,13.22
2012-10-10,13.75
2012-10-11,13.75
2012-10-11,13.5
2012-10-12,13.54
2012-10-12,13.9
2012-10-14,13.56
2012-10-15,14.08
2012-10-17,14.08
2012-10-17,13.66
2012-10-18,13.81
2012-10-18,13.81
2012-10-19,13.5
2012-10-20,13.61
2012-10-21,13.5
2012-10-23,15.01
2012-10-25,14.52
2012-11-01,14.37
2012-11-03,14.37
2012-11-06,14.52
2012-11-06,14.52
2012-11-07,14.79
2012-11-07,15.01
2012-11-09,14.89
2012-11-09,14.86
2012-11-09,14.56
2012-11-09,14.49
2012-11-10,13.55
2012-11-11,13.2
2012-11-12,12.75
2012-11-14,12.72
2012-11-15,12.72
2012-11-16,12.72
2012-11-18,12.61
2012-11-18,13.16
2012-11-18,14.11
2012-11-18,14.11
2012-11-24,15.01
2012-11-25,15
2012-11-28,14.9
2012-11-29,14.9
2012-11-29,14.9
2012-11-30,15
2012-12-01,15
2012-12-02,15
2012-12-04,10.84
2012-12-05,10.84
2012-12-07,10.84
2012-12-09,10.84
2012-12-21,10.84
2012-12-23,10.84
2013-01-01,12.99
2013-01-02,12.63
2013-01-02,12.63
2013-01-02,12.63
2013-01-03,14.11
2013-01-05,13
2013-01-05,14.11
2013-01-06,13.66
2013-01-07,13.64
2013-01-10,14.14
2013-01-11,13.43
2013-01-11,14.26
2013-01-11,14.14
2013-01-12,14.14
2013-01-12,15.08
2013-01-13,13.06
2013-01-14,14.26
2013-01-15,15.08
2013-01-16,14.26
2013-01-17,15.05
2013-01-18,14.26
2013-01-19,15.08
2013-01-20,14.26
2013-01-21,15.08
2013-01-23,14.98
2013-01-23,15.08
2013-01-29,14.26
2013-01-30,15.08
2013-02-07,12.72
2013-02-08,13.16
2013-02-08,14.11
2013-02-11,14.26
2013-02-11,15.08
2013-02-12,15.08
2013-02-14,15.08
2013-02-17,15.22
2013-02-18,15.22
2013-02-18,14.98
2013-02-20,15.23
2013-02-22,15.23
2013-02-22,15.23
2013-02-28,12.72
2013-02-28,14.26
2013-03-01,14.21
2013-03-03,14.02
2013-03-03,14.05
2013-03-05,14.17
2013-03-06,14.26
2013-03-06,13.41
2013-03-07,15.77
2013-03-08,12.88
2013-03-09,15.77
2013-03-10,13.43
2013-03-11,15.77
2013-03-11,15.77
2013-03-12,15.72
2013-03-13,15.72
2013-03-17,15.72
2013-03-20,15.72
2013-03-30,15.72
2013-04-01,15.72
2013-04-03,15.72
2013-04-05,15.72
