Time,Price
2013-02-15,304.96
2013-02-16,304.96
2013-02-21,304.96
2013-02-22,304.96
2013-02-28,292.87
2013-03-10,301.97
2013-03-18,292.87
2013-03-22,301.97
2013-03-25,299
2013-03-30,272.67
2013-04-01,299
2013-04-10,224.9
2013-04-13,224.9
2013-04-17,219.99
2013-05-16,219.99
2013-05-24,219.99
2013-05-25,219.99
2013-06-01,219.99
2013-06-01,219.64
2013-06-04,219.64
2013-06-04,219.64
2013-06-07,219.99
2013-06-10,219.99
2013-06-13,219.99
2013-06-17,249.99
2013-06-21,249.99
2013-06-21,249.99
2013-06-24,249.99
2013-06-27,249.99
2013-06-30,249.99
2013-07-03,249.99
2013-07-09,249.99
2013-07-12,249.99
2013-07-15,249.99
2013-07-18,249.99
2013-07-24,249.99
2013-07-28,249.99
2013-08-21,249.99
2013-08-28,247.42
2013-08-31,249.99
2013-08-31,247.41
2013-09-03,249.99
2013-09-06,249.99
2013-09-13,249.99
2013-09-16,249.99
2013-09-18,249.99
2013-09-19,249.99
2013-09-23,249.99
2013-09-26,249.99
2013-09-29,249.99
2013-10-02,249.99
2013-10-05,249.99
2013-10-08,249.99
2013-10-09,249.99
2013-10-17,249.99
2013-10-20,249.99
2013-10-21,249.99
2013-10-26,249.99
2013-10-31,249.99
2013-11-01,249.99
2013-11-04,249.99
2013-11-07,249.99
2013-11-10,249.99
2013-11-11,249.99
2013-11-21,249.99
2013-11-24,249.99
2013-11-26,249.99
2013-11-27,201.94
2013-11-30,199.99
2013-12-04,199.99
2013-12-13,199.99
2013-12-15,199.99
2013-12-17,199.99
2013-12-22,199.99
2013-12-25,199.99
2013-12-31,199.99
2014-01-16,199.99
2014-01-19,199.99
2014-01-28,199.99
2014-02-01,199.99
2014-02-04,199.99
2014-02-07,199.99
2014-02-08,199.99
2014-02-11,199.99
2014-02-14,199.99
2014-02-17,199.99
2014-02-20,199.99
2014-02-23,199.99
2014-02-27,199.99
2014-03-05,199
2014-03-09,149.99
2014-03-11,149.99
2014-03-12,149.99
2014-03-14,34
2014-03-14,149.99
2014-03-17,149.99
2014-03-20,149.99
2014-03-21,149.99
2014-04-01,149.99
2014-04-04,149.99
2014-04-06,149.99
2014-04-06,149.99
2014-04-08,149.99
2014-04-09,149
2014-04-12,149
2014-04-20,148.4
2014-04-25,147
2014-05-01,147
2014-05-06,147
2014-05-09,148.44
2014-05-12,149
2014-05-13,149
2014-05-17,149.95
2014-05-17,149.95
2014-05-19,149.95
2014-05-20,149.95
2014-05-21,149.99
2014-05-24,149.99
2014-05-25,149.99
2014-05-29,149.99
2014-06-03,149.99
2014-06-06,149.99
2014-06-12,149.99
2014-06-24,149.99
2014-06-30,149.99
2014-07-02,149.99
2014-07-04,149.99
2014-07-06,149.95
2014-07-24,149.95
2014-07-27,149.95
2014-07-29,149.95
2014-08-05,149.95
2014-09-23,149.95
2014-10-02,149.95
2014-10-06,149.95
2014-10-14,149.95
2014-10-25,149.95
2014-11-08,149.95
2014-11-20,149.95
2014-11-24,149.95
2014-12-04,149.95
2015-01-06,149.95
2015-01-13,149.95
2015-01-14,149.95
2015-01-20,149.95
2015-01-21,149.95
2015-01-27,149.95
2015-01-30,149.95
2015-02-01,149.95
2015-02-06,149.95
2015-02-07,149.95
2015-02-14,149.95
2015-02-18,149.95
2015-02-19,149.95
2015-02-21,149.95
2015-02-26,149.95
2015-02-28,149.95
2015-03-11,149.95
2015-03-11,149.95
2015-03-16,149.95
2015-03-17,149.95
2015-03-18,149.95
2015-03-24,149.95
2015-03-31,149.95
2015-04-18,149.95
2015-04-20,149.95
2015-04-22,149.95
2015-04-24,149.95
2015-04-25,149.95
2015-05-04,149.95
2015-05-06,149.95
2015-05-07,149.95
2015-05-09,149.95
2015-05-11,149.95
2015-05-16,149.95
2015-05-21,149.95
2015-05-22,149.95
2015-05-27,149.95
2015-06-02,149.95
2015-06-10,149.95
2015-06-14,149.95
2015-06-23,149.95
2015-06-24,149.95
2015-06-25,149.95
2015-06-28,149.95
2015-07-04,146.66
2015-07-06,149.95
2015-07-09,149.95
2015-07-09,149.95
2015-07-11,149.95
2015-07-18,149.95
2015-07-25,149.95
2015-07-29,149.95
2015-08-05,149.95
2015-08-13,149.95
2015-08-18,149.95
2015-08-22,149.95
2015-08-24,149.95
2015-08-26,149.95
2015-08-30,149.95
2015-09-04,149.95
2015-09-08,149.95
2015-09-12,149.95
2015-09-15,149.95
2015-09-19,149.95
2015-09-22,149.95
2015-10-03,149.99
2015-11-03,179.99
2015-11-07,178.04
2015-11-10,159.99
2015-11-11,149.99
2015-11-14,149.99
2015-11-14,149.99
2015-11-15,149.98
2015-11-18,179.99
2015-11-25,149.99
2015-12-10,109.99
2015-12-11,149.99
2015-12-15,149.99
2015-12-17,149.99
2015-12-20,149.99
2015-12-22,149.99
2015-12-22,149.99
2015-12-23,159.99
2015-12-25,159.99
2015-12-30,149.99
2016-01-01,179.99
2016-01-01,159.99
2016-01-02,149.99
2016-01-05,149.99
2016-01-07,149.99
2016-01-20,149.99
2016-01-30,179.99
2016-02-14,179.99
2016-02-27,179.99
2016-03-01,179.99
2016-03-16,179.99
2016-03-22,179.99
2016-03-23,179.99
2016-03-27,179.99
2016-04-05,179.99
2016-04-09,115
2016-04-12,115
2016-04-25,149.11
2016-04-26,149.11
2016-04-27,149.11
2016-04-27,115
2016-04-28,115
2016-04-29,115
2016-04-29,133.3
2016-05-11,133.3
2016-05-13,133.3
2016-05-13,133.3
2016-05-14,133.01
2016-05-15,133.02
2016-05-17,133.02
2016-05-17,133.02
2016-05-18,133.02
2016-05-23,133.02
2016-05-27,133.02
2016-05-27,133.02
2016-05-30,133.02
2016-05-30,133.02
2016-06-02,133.02
2016-06-04,133.02
2016-06-07,133.02
2016-06-09,137.01
2016-07-13,150
2016-07-14,150
2016-07-18,179.99
2016-07-19,179.99
2016-09-19,179.99
2016-10-26,159.99
2016-11-02,159.99
2016-11-03,159.99
2016-11-06,159.99
2016-11-11,159.99
2016-11-11,159.99
2016-11-13,159.99
2016-11-15,159.99
2016-11-18,159.99
2016-11-21,159.99
2016-11-21,159.99
2016-11-25,159.99
2016-11-25,159.99
