Time,Price
2014-05-26,13.88
2014-07-28,14.95
2014-08-19,14.44
2014-08-28,14.95
2014-09-10,14.44
2014-09-14,14.95
2014-11-27,14.95
2014-12-01,13.55
2014-12-04,14.95
2015-01-22,15.95
2015-02-14,14.83
2015-02-18,15.95
2015-03-18,15.83
2015-03-21,15.39
2015-03-31,15.83
2015-04-19,15.95
2015-04-30,15.95
2015-06-05,15.95
2015-07-03,15.95
2015-07-05,15.95
2015-07-13,15.95
2015-08-04,15.95
2015-08-13,15.95
2015-08-17,15.95
2015-08-21,15.95
2015-08-21,14.36
2015-08-25,14.36
2015-08-27,14.36
2015-09-02,15.95
2015-09-03,15.95
2015-09-11,15.95
2015-09-11,15.95
2015-09-14,15.95
2015-09-18,15.95
2015-09-21,15.95
2015-09-22,15.95
2015-09-25,15.95
2015-09-26,15.95
2015-09-30,15.95
2015-11-14,15.95
2015-11-28,15.95
2015-12-10,13.95
2015-12-13,13.95
2015-12-17,15.95
2015-12-21,15.14
2015-12-31,15.95
2016-03-29,14.83
2016-04-08,14.83
2016-04-16,14.83
2016-04-26,14.36
2016-05-10,15.95
2016-05-24,15.95
2016-05-27,14.36
2016-05-29,15.95
2016-05-31,15.95
2016-09-18,15.99
2016-10-25,15.99
2016-10-26,15.99
2016-10-27,15.99
2016-10-27,15.99
2016-10-30,15.99
2016-10-31,15.99
2016-11-02,15.99
2016-11-07,15.99
2016-11-09,15.99
2016-11-11,15.99
2016-11-12,15.99
2016-11-13,15.99
2016-11-15,15.99
2016-11-15,15.99
2016-11-18,15.99
2016-11-19,15.99
2016-11-21,15.99
2016-11-22,15.99
2016-11-24,14.39
2016-11-24,14.39
2016-11-25,14.39
2016-11-25,14.39
