Time,Price
2012-07-07,13.53
2013-01-04,13.09
2013-01-27,13.1
2013-02-07,13.14
2013-02-14,13.1
2013-03-06,12.97
2013-03-13,13.23
2013-03-30,13.99
2013-04-04,13.99
2013-05-02,12.78
2013-05-05,12.78
2013-05-15,12.78
2013-05-18,12.78
2013-05-27,13.99
2013-05-30,13.99
2013-07-01,13.28
2013-07-07,12.11
2013-07-25,12.73
2013-07-29,13.45
2013-09-25,13.1
2013-09-29,13.68
2013-10-22,15.49
2013-11-11,14.93
2013-12-07,14.23
2013-12-25,12.79
2013-12-30,12.76
2014-01-29,12.76
2014-03-08,12.87
2014-03-15,12.85
2014-04-22,12.97
2014-05-21,12.97
2014-06-04,14.7
2014-09-16,15.24
2014-10-08,15.99
2014-11-19,12.99
2014-12-22,12.99
2015-01-03,12.99
2015-05-28,12.99
2015-06-19,15.99
2015-07-18,14.96
2015-08-12,15.19
2015-09-08,15.99
2015-10-01,15.99
2016-11-17,15.95
2016-11-25,15.95
