Time,Price
2012-06-01,18.15
2012-06-03,18.18
2012-06-05,18.14
2012-06-07,18.08
2012-06-08,18.08
2012-06-08,18.07
2012-06-10,18.07
2012-06-11,18.07
2012-06-12,18.09
2012-06-13,18.09
2012-06-14,18.1
2012-06-15,18.08
2012-06-17,18.08
2012-06-18,18.1
2012-06-19,18.04
2012-06-20,18.04
2012-06-20,18.02
2012-06-21,18.02
2012-06-21,18
2012-06-22,18
2012-06-22,18.21
2012-06-23,18.21
2012-06-24,17.93
2012-06-26,17.93
2012-06-26,18.21
2012-06-26,18.21
2012-06-27,17.93
2012-06-28,17.96
2012-06-28,17.96
2012-06-29,18.21
2012-07-03,18.21
2012-07-04,18.21
2012-07-06,18.21
2012-07-06,18.19
2012-07-08,18.19
2012-07-10,17.8
2012-07-16,17.55
2012-07-18,17.8
2012-07-24,17.77
2012-07-26,18.21
2012-07-30,18.21
2012-07-31,18.21
2012-08-16,17.18
2012-09-03,16.35
2012-09-15,17.18
2012-10-03,17.18
2012-10-18,17.18
2012-10-19,17.18
2012-10-23,17.18
2012-10-25,17.18
2012-10-29,17.18
2012-10-31,17.18
2012-11-01,17.18
2012-11-03,17.18
2012-11-04,17.18
2012-11-05,17.18
2012-11-06,17.18
2012-11-07,17.18
2012-11-10,17.18
2012-11-12,17.18
2012-11-13,17.18
2012-11-14,17.17
2012-11-14,17.17
2012-11-15,17.16
2012-11-16,15.47
2012-11-17,15.47
2012-11-17,15.45
2012-11-20,15.44
2012-11-25,15.43
2012-11-25,15.43
2012-11-29,15.39
2013-01-11,15.35
2013-01-25,15.04
2013-02-12,15.04
2013-02-12,14.76
2013-03-02,14.62
2013-03-07,14.47
2013-03-09,14.47
2013-03-11,14.47
2013-03-12,13.6
2013-03-13,14.47
2013-03-15,14.56
2013-03-19,14.7
2013-03-23,14.69
2013-03-25,14.83
2013-03-28,14.68
2013-03-29,14.67
2013-04-01,14.53
2013-04-02,14.51
2013-04-03,14.53
2013-04-03,15.27
2013-04-05,15.27
2013-04-06,14.47
2013-04-06,14.47
2013-04-08,15.27
2013-04-09,14.6
2013-04-11,15.08
2013-04-12,14.72
2013-04-15,14.81
2013-04-17,14.89
2013-04-17,14.25
2013-04-18,14.11
2013-04-23,14.11
2013-05-01,13.23
2013-05-04,12.71
2013-05-08,13.23
2013-08-02,12.75
2013-08-06,12.7
2013-08-09,12.82
2013-08-21,12.6
2013-08-22,12.6
2013-08-29,12.6
2013-09-13,12.6
2013-09-15,12.93
2013-09-17,12.6
2013-09-20,12.67
2013-09-20,12.79
2013-09-23,12.7
2013-09-26,12.6
2013-09-29,12.58
2013-09-30,12.34
2013-09-30,12.34
2013-10-03,13.41
2013-10-06,13.1
2013-11-23,14.75
2013-11-24,14.75
2013-12-28,14.77
2013-12-31,13.93
2014-01-01,14.77
2014-01-06,14.77
2014-01-16,14.77
2014-01-29,15.06
2014-02-14,17.13
2014-02-15,15.06
2014-02-27,15.06
2014-03-03,15.06
2014-03-03,15.24
2014-03-06,15.24
2014-03-10,15.47
2014-03-19,14.19
2014-04-08,14.95
2014-04-12,17.06
2014-04-16,17.28
2014-04-25,17.28
2014-05-02,17.16
2014-05-02,17.11
2014-05-06,16.77
2014-05-06,16.77
2014-05-14,17.11
2014-05-22,17.28
2014-05-23,17.11
2014-06-03,17.28
2014-06-06,17.28
2014-06-09,17.28
2014-06-09,17.28
2014-06-14,17.28
2014-06-26,17.28
2014-07-08,17.28
2014-07-25,17.28
2014-07-30,17.14
2014-07-30,17.28
2014-08-02,17.14
2014-08-06,17.14
2014-08-18,16.98
2014-09-12,16.42
2014-09-12,16.98
2014-10-03,16.09
2014-10-15,14.76
2014-10-23,14.76
2014-10-25,14.76
2014-10-31,14.76
2014-11-04,12.89
2014-11-09,12.3
2014-11-12,13.95
2014-11-19,12.89
2014-11-21,12.92
2014-11-21,13.25
2014-11-24,11.95
2014-11-25,13.45
2014-11-28,13.59
2014-12-05,13.59
2014-12-21,14.35
2014-12-23,14.39
2014-12-29,14.44
2015-02-15,14.44
2015-02-28,14.44
2015-03-03,14.44
2015-03-12,14.43
2015-03-18,12.49
2015-03-22,14.06
2015-03-27,12.75
2015-03-29,14.03
2015-04-01,14.03
2015-04-08,14.03
2015-04-12,14.03
2015-04-30,13.96
2015-05-03,13.95
2015-05-07,13.94
2015-05-10,13.93
2015-05-13,13.92
2015-05-16,13.91
2015-05-17,13.42
2015-05-26,13.4
2015-05-29,13.47
2015-06-01,13.52
2015-06-04,13.44
2015-06-11,13.37
2015-06-22,13.15
2015-06-25,13.15
2015-07-05,13.15
2015-07-06,13.15
2015-07-10,13.15
2015-07-13,14.39
2015-07-15,13.15
2015-07-19,13.15
2015-08-06,13.15
2015-08-10,13.15
2015-08-14,13.15
2015-08-27,13.15
2015-08-31,16.34
2015-09-05,14.87
2015-09-09,16.34
2015-09-26,16.34
2015-10-04,13.19
2015-11-05,13.19
2015-11-08,13.19
2015-11-12,13.19
2015-11-15,13.19
2015-12-11,13.19
2016-01-03,13.19
2016-01-09,13.19
2016-02-01,14.99
2016-02-04,14.99
2016-02-18,13.19
2016-02-19,13.19
2016-02-21,13.19
2016-02-27,12.85
2016-03-16,12.85
2016-03-24,12.85
2016-03-30,12.85
2016-03-31,12.85
2016-04-02,12.85
2016-04-05,12.85
2016-04-06,12.85
2016-04-13,12.85
2016-04-14,12.85
2016-04-16,12.85
2016-04-17,12.85
2016-04-26,12.85
2016-04-29,12.85
2016-05-10,12.85
2016-05-13,12.85
2016-05-24,12.73
2016-05-28,12.68
2016-05-29,12.6
2016-05-29,12.68
2016-05-31,12.6
2016-09-20,12.99
2016-10-29,12.99
2016-10-30,12.99
2016-11-02,12.99
2016-11-03,12.99
2016-11-08,12.99
2016-11-08,12.99
2016-11-08,12.99
2016-11-12,12.99
2016-11-12,12.99
2016-11-13,12.99
2016-11-16,12.99
2016-11-17,12.99
2016-11-17,12.99
2016-11-19,12.99
2016-11-19,12.99
2016-11-21,12.99
2016-11-23,12.99
2016-11-23,12.99
2016-11-24,12.99
2016-11-25,12.99
2016-11-26,12.99
