Time,Price
2012-06-04,53
2012-06-19,53
2012-06-22,53
2012-06-26,53
2012-07-05,53
2012-07-16,53
2012-07-17,53
2012-07-22,47.89
2012-07-23,47.89
2012-08-01,52.99
2012-09-15,52.99
2012-10-23,52.99
2012-10-28,43.03
2012-11-02,43.03
2012-11-12,52.99
2012-11-29,52.99
2012-12-17,52.95
2012-12-20,52.95
2012-12-22,52.95
2012-12-31,52.95
2013-01-03,49.51
2013-01-09,49.51
2013-01-11,49.51
2013-01-13,49.51
2013-01-16,49.51
2013-01-20,49.51
2013-01-21,49.51
2013-01-24,49.51
2013-01-27,52.95
2013-01-30,52.95
2013-01-31,52.95
2013-02-09,52.95
2013-02-19,52.95
2013-03-01,52.99
2013-03-03,52.99
2013-03-05,52.99
2013-03-06,52.99
2013-03-07,52.99
2013-03-09,52.99
2013-03-09,52.99
2013-03-10,52.99
2013-03-11,52.99
2013-03-24,52.99
2013-04-04,53.93
2013-04-08,53.93
2013-04-17,53.99
2013-04-19,53.99
2013-04-22,53.99
2013-04-24,53.99
2013-04-27,53.99
2013-04-28,53.99
2013-04-28,53.99
2013-05-05,53.99
2013-05-08,53.99
2013-05-16,53.99
2013-05-19,53.99
2013-05-28,53.99
2013-05-29,53.99
2013-06-02,53.99
2013-06-03,53.99
2013-06-07,53.99
2013-06-11,53.99
2013-07-07,53.99
2013-07-25,53.99
2013-07-28,53.99
2013-07-29,53.99
2013-09-29,53.99
2013-10-21,53.99
2013-11-11,53.99
2013-12-07,53.99
2013-12-29,53.99
2014-01-28,53.99
2014-02-19,53.99
2014-03-14,55.76
2014-04-27,56.91
2014-06-03,54.85
2014-09-15,53.89
2014-10-08,42.99
2014-10-15,42.99
2014-11-23,51.99
2014-12-28,53.89
2015-01-01,53.89
2015-03-11,53.89
2015-03-31,53.89
2015-04-23,53.89
2015-05-09,53.89
2015-05-28,53.89
2015-06-19,53.99
2015-07-17,53.89
2015-08-11,53.89
2015-10-01,42.89
2015-11-22,42.99
2015-11-25,42.89
2015-11-28,42.89
2015-12-01,42.89
2015-12-12,42.89
2015-12-17,42.89
2015-12-21,50.99
2016-01-15,50.99
2016-01-30,53.89
2016-02-12,53.89
2016-03-23,53.89
2016-03-26,53.89
2016-04-01,53.89
2016-04-16,53.89
2016-04-29,53.89
2016-04-30,53.89
2016-05-10,53.89
2016-05-17,53.89
2016-05-27,53.89
2016-05-31,53.89
2016-06-03,53.89
2016-09-18,53.99
2016-10-31,53.99
2016-11-02,53.99
2016-11-03,53.99
2016-11-05,53.99
2016-11-07,53.99
2016-11-09,53.99
2016-11-10,53.99
2016-11-13,53.99
2016-11-13,53.99
2016-11-14,53.99
2016-11-17,53.89
2016-11-20,53.89
2016-11-21,53.89
2016-11-21,53.89
2016-11-21,53.89
2016-11-24,53.89
2016-11-25,53.89
2016-11-26,53.89
