Time,Price
2015-06-03,5.19
2015-06-27,5.19
2015-07-05,5.19
2015-07-25,5.19
2015-08-10,5.19
2015-08-15,5.19
2015-08-18,5.19
2015-08-19,5.05
2015-08-22,5.14
2015-08-25,5.12
2015-08-27,5.19
2015-09-04,5.07
2015-09-08,5.19
2015-09-17,5.13
2015-09-18,5.19
2015-09-25,5.07
2015-09-27,5.19
2015-11-03,5.19
2016-03-01,5.19
2016-03-20,5.19
2016-03-27,5.19
2016-04-03,5.19
2016-04-26,5.19
2016-05-14,5.19
2016-05-28,5.19
2016-05-29,5.19
2016-06-03,5.19
2016-11-24,8.07
2016-11-24,8.07
2016-11-24,8.07
2016-11-24,8.07
2016-11-25,8.07
2016-11-25,8.07
2016-11-25,8.06
2016-11-26,8.06
