Time,Price
2015-04-22,8.59
2015-06-03,6.52
2015-06-04,6.8
2015-06-05,6.39
2015-06-05,6.4
2015-06-07,6.69
2015-06-07,6.99
2015-06-08,6.91
2015-06-09,6.99
2015-06-11,7.29
2015-06-11,6.99
2015-06-14,7.29
2015-06-15,6.58
2015-06-16,6.99
2015-06-18,6.99
2015-06-19,6.71
2015-06-20,6.39
2015-06-21,6.71
2015-06-22,6.48
2015-06-23,6.6
2015-06-24,6.48
2015-06-25,6.48
2015-06-25,6.99
2015-06-26,6.39
2015-06-27,6.99
2015-06-28,6.49
2015-07-04,6.42
2015-07-10,6.45
2015-07-12,6.36
2015-07-14,6.39
2015-07-14,6.47
2015-07-15,6.38
2015-07-16,6.47
2015-07-17,6.43
2015-07-19,6.37
2015-07-20,6.43
2015-07-25,6.43
2015-07-25,6.37
2015-07-28,6.02
2015-07-30,6.3
2015-08-01,6.21
2015-08-02,5.82
2015-08-06,5.82
2015-08-09,5
2015-08-11,5
2015-08-18,5.88
2015-08-25,5.88
2015-08-27,6.3
2015-08-28,6.3
2015-08-30,6.02
2015-09-01,6.12
2015-09-01,6.43
2015-09-04,6.47
2015-09-04,6.43
2015-09-05,6.12
2015-09-06,5.82
2015-09-13,6
2015-09-17,6
2015-09-18,6
2015-09-20,5.7
2015-09-23,6
2015-09-24,5.7
2015-09-25,6
2015-09-27,6.38
2015-09-29,6.47
2015-09-29,6.72
2015-09-30,5.99
2015-10-01,5.98
2015-10-02,5.99
2015-10-04,5.98
2015-11-03,5.99
2015-11-04,6.27
2015-11-05,5.99
2015-11-05,5.99
2015-11-07,5.99
2015-11-08,5.99
2015-11-11,7.41
2015-11-12,6.2
2015-11-16,6.2
2015-11-18,6
2015-11-18,5.99
2015-11-19,6.2
2015-11-22,5.99
2015-11-23,6.2
2015-11-25,6.18
2015-11-26,5.99
2015-11-27,5.41
2015-12-11,5.99
2015-12-12,6.38
2015-12-14,5.99
2015-12-14,5.99
2015-12-14,5.99
2015-12-15,6.01
2015-12-18,6.38
2015-12-18,5.99
2015-12-19,6.03
2015-12-19,6.36
2015-12-21,6
2015-12-22,6.36
2015-12-23,5.94
2015-12-24,5.94
2016-01-01,6
2016-01-03,5.99
2016-01-05,6
2016-01-07,5.32
2016-01-08,5.53
2016-01-10,5.62
2016-01-12,5.9
2016-01-30,5.9
2016-01-31,5.99
2016-02-02,7.49
2016-02-03,5.87
2016-02-07,5.95
2016-02-18,5.54
2016-02-18,5.93
2016-02-20,5.92
2016-02-28,5.92
2016-03-01,6
2016-03-02,6
2016-03-16,6.36
2016-03-18,6.25
2016-03-18,6.36
2016-03-20,6.11
2016-03-21,5.95
2016-03-23,6.36
2016-03-24,6.11
2016-03-24,5.99
2016-03-25,6.36
2016-03-28,6.11
2016-03-28,5.93
2016-03-30,6.49
2016-04-03,5.99
2016-04-03,6.49
2016-04-05,5.99
2016-04-06,5.99
2016-04-10,6
2016-04-13,6
2016-04-17,6.49
2016-04-26,6.49
2016-04-27,7.49
2016-05-10,6.87
2016-05-11,6.59
