Time,Price
2012-06-02,23.2
2012-06-09,22.94
2012-06-10,23.2
2012-06-16,23.2
2012-06-17,23.2
2012-06-18,23.2
2012-06-19,23.2
2012-06-21,23.2
2012-06-22,23.2
2012-06-26,23.2
2012-06-29,23.2
2012-07-07,23.2
2012-07-07,22.99
2012-07-08,23.2
2012-07-11,23.2
2012-07-11,22.98
2012-07-13,23.2
2012-07-13,20.83
2012-07-17,20.83
2012-07-17,20.83
2012-07-18,22.99
2012-07-19,22.96
2012-07-19,22.96
2012-07-19,22.99
2012-07-20,22.99
2012-07-21,23.2
2012-07-22,23.2
2012-07-23,20.83
2012-07-24,20.83
2012-07-24,23.2
2012-07-27,23.2
2012-07-29,22.96
2012-07-30,22.96
2012-07-31,22.95
2012-08-05,22.97
2012-08-06,22.95
2012-08-06,22.91
2012-08-08,22.91
2012-08-09,22.89
2012-08-09,22.9
2012-08-10,22.9
2012-08-11,22.88
2012-08-11,22.88
2012-08-13,22.86
2012-08-13,22.85
2012-08-15,23.2
2012-08-16,22.87
2012-08-16,22.86
2012-08-17,22.85
2012-08-18,22.85
2012-08-19,22.84
2012-08-20,22.83
2012-08-21,22.83
2012-08-23,22.85
2012-08-24,22.82
2012-08-24,22.83
2012-08-25,22.83
2012-08-25,22.84
2012-08-27,22.83
2012-08-29,22.84
2012-08-29,22.4
2012-08-31,22.82
2012-08-31,22.8
2012-09-01,22.81
2012-09-01,22.79
2012-09-03,22.78
2012-09-04,22.77
2012-09-10,22.79
2012-09-11,22.79
2012-09-12,22.79
2012-09-13,22.79
2012-09-13,22.78
2012-09-14,22.78
2012-09-15,22.79
2012-09-18,22.8
2012-09-19,23.2
2012-09-19,20.87
2012-09-21,20.87
2012-09-22,20.87
2012-09-26,23.2
2012-09-28,23.2
2012-09-28,23.2
2012-09-28,22.95
2012-09-29,22.67
2012-09-29,22.67
2012-10-02,21.89
2012-10-02,21.89
2012-10-04,21.89
2012-10-05,21.89
2012-10-06,21.89
2012-10-07,16.39
2012-10-07,21.89
2012-10-08,21.89
2012-10-08,21.89
2012-10-09,21.89
2012-10-10,23.15
2012-10-11,23.15
2012-10-11,23.15
2012-10-12,22.24
2012-10-15,23.9
2012-10-16,20.88
2012-10-17,20.88
2012-10-17,20.88
2012-10-18,20.88
2012-10-18,20.83
2012-10-18,20.36
2012-10-19,20.36
2012-10-19,20.36
2012-10-20,20.83
2012-10-21,20.83
2012-10-23,23.04
2012-10-24,23.04
2012-10-25,23.25
2012-10-25,23.25
2012-10-26,23.25
2012-10-26,23.6
2012-10-27,23.21
2012-10-28,23.6
2012-10-29,23.6
2012-10-29,23.6
2012-10-31,23.91
2012-10-31,23.91
2012-10-31,23.91
2012-11-01,23.91
2012-11-02,23.81
2012-11-03,23.81
2012-11-03,22.21
2012-11-04,22.21
2012-11-06,22.05
2012-11-06,22.21
2012-11-07,22.21
2012-11-07,23.34
2012-11-09,23.91
2012-11-09,23.91
2012-11-10,23.23
2012-11-11,22.73
2012-11-12,21.66
2012-11-12,20.28
2012-11-13,20.28
2012-11-13,20.28
2012-11-14,20.83
2012-11-15,20.83
2012-11-16,20.83
2012-11-16,20.75
2012-11-16,20.75
2012-11-17,20.83
2012-11-18,20.75
2012-11-18,20.83
2012-11-19,20.83
2012-11-21,20.83
2012-11-24,20.83
2012-11-24,20.83
2012-11-26,20.83
2012-11-27,20.83
2012-11-28,20.83
2012-11-29,20.83
2012-11-29,20.83
2012-11-30,20.83
2012-12-01,21.33
2012-12-02,21.33
2012-12-02,21.85
2012-12-04,23.11
2012-12-05,23.11
2012-12-05,23.89
2012-12-05,23.89
2012-12-06,23.89
2012-12-07,23.89
2012-12-09,23.81
2012-12-09,23.81
2012-12-12,23.2
2012-12-14,23.7
2012-12-16,23.71
2012-12-17,22.8
2012-12-18,17.95
2012-12-19,17.95
2012-12-20,17.95
2012-12-21,17.95
2012-12-22,19.97
2012-12-23,19.97
2012-12-27,19.97
2012-12-27,19.97
2012-12-31,19.97
2013-01-04,19.97
2013-01-04,20.85
2013-01-06,21.75
2013-01-06,21.75
2013-01-07,22.66
2013-01-09,23.06
2013-01-10,22.05
2013-01-14,22.05
2013-01-17,18.71
2013-01-18,22.05
2013-01-22,17.39
2013-01-22,22.05
2013-01-29,16.47
2013-01-30,22.05
2013-02-08,20.19
2013-02-09,22.05
2013-02-13,23.07
2013-02-14,23.07
2013-02-15,23.46
2013-02-16,24.05
2013-02-16,22.05
2013-02-17,24.15
2013-02-18,24.15
2013-02-21,24.99
2013-02-22,24.99
2013-02-25,24.99
2013-02-28,24.99
2013-03-02,24.99
2013-03-03,24.99
2013-03-06,24.93
2013-03-08,24.99
2013-03-09,24.99
2013-03-10,24.99
2013-03-11,24.91
2013-03-11,24.91
2013-03-12,24.99
2013-03-13,24.99
2013-03-14,24.99
2013-03-14,24.91
2013-03-17,24.91
2013-03-18,24.91
2013-03-18,24.99
2013-03-18,25.09
2013-03-19,25.09
2013-03-20,25.09
2013-03-21,25.09
2013-03-23,25.44
2013-03-24,25.85
2013-03-25,25.85
2013-03-25,26.25
2013-03-26,26.15
2013-03-27,26.15
2013-03-28,26.39
2013-03-29,26.99
2013-04-04,26.86
2013-04-05,26.77
2013-04-06,26.77
2013-04-08,26.86
2013-04-08,26.86
2013-04-09,26.49
2013-04-10,26.49
2013-04-14,26.49
2013-04-16,26.12
2013-04-17,26.12
2013-04-19,25.86
2013-04-22,25.93
2013-04-24,25.93
2013-04-24,25.93
2013-04-25,25.93
2013-04-26,25.67
2013-04-26,25.67
2013-04-27,25.93
2013-04-28,25.93
2013-04-29,25.93
2013-05-01,25.73
2013-05-01,25.73
2013-05-02,25.8
2013-05-03,25.8
2013-05-04,25.87
2013-05-04,25.87
2013-05-05,25.87
2013-05-06,23.43
2013-05-06,23.43
2013-05-07,23.43
2013-05-07,23.2
2013-05-08,23.2
2013-05-08,23.35
2013-05-09,23.2
2013-05-10,22.85
2013-05-11,22.91
2013-05-12,22.91
2013-05-14,22.91
2013-05-16,22.91
2013-05-16,23.05
2013-05-17,23.05
2013-05-17,23.2
2013-05-18,23.2
2013-05-20,23.35
2013-05-21,22.92
2013-05-22,23.5
2013-05-22,23.5
2013-05-23,23.65
2013-05-24,23.65
2013-05-25,22.11
2013-05-25,22.11
2013-05-26,22.11
2013-05-26,22.39
2013-05-27,22.97
2013-05-28,22.74
2013-05-30,22.94
2013-05-30,22.81
2013-06-01,22.51
2013-06-02,22.5
2013-06-03,22.71
2013-06-05,22.71
2013-06-06,22.71
2013-06-08,22.22
2013-06-09,22.22
2013-06-12,21.85
2013-06-12,21.63
2013-06-14,21.82
2013-06-18,21.2
2013-06-20,21.6
2013-06-21,21.6
2013-06-26,21.6
2013-06-28,21.6
2013-07-01,21.74
2013-07-04,22.02
2013-07-05,22.02
2013-07-07,22.15
2013-07-10,22.29
2013-07-11,22.43
2013-07-13,21.79
2013-07-17,21.93
2013-07-18,21.93
2013-07-24,21.93
2013-07-26,21.93
2013-07-27,22.01
2013-07-28,21.6
2013-07-29,21.97
2013-07-30,21.97
2013-08-01,22.13
2013-08-02,22.31
2013-08-04,22.4
2013-08-05,21.89
2013-08-06,21.39
2013-08-07,21.8
2013-08-09,22.03
2013-08-10,22.03
2013-08-17,21.38
2013-08-26,20.33
2013-08-28,20.33
2013-09-01,20.33
2013-09-02,20.55
2013-09-06,20.55
2013-09-07,20.55
2013-09-13,20.55
2013-09-14,20.55
2013-09-17,20.55
2013-09-22,20.55
2013-09-23,20.55
2013-09-24,20.86
2013-09-27,20.86
2013-10-01,20.86
2013-10-02,20.86
2013-10-05,21.14
2013-10-07,20.33
2013-10-08,21.14
2013-10-09,21.14
2013-10-13,21.14
2013-10-18,21.14
2013-10-21,21.22
2013-10-22,20.19
2013-10-24,21.59
2013-10-27,21.16
2013-11-04,21.68
2013-11-06,21.68
2013-11-09,21.68
2013-11-09,21.68
2013-11-22,21.68
2013-11-25,21.68
2013-11-26,21.68
2013-12-05,21.68
2013-12-09,21.68
2013-12-15,21.68
2013-12-16,21.68
2013-12-18,21.68
2013-12-23,21.68
2013-12-27,21.68
2013-12-28,21.68
2013-12-30,21.68
2014-01-17,21.68
2014-01-20,18.73
2014-01-21,21.68
2014-01-29,22.29
2014-01-30,22.29
2014-02-02,22.29
2014-02-05,23.6
2014-02-06,22.29
2014-02-09,22.29
2014-02-11,22.29
2014-03-11,22.29
2014-03-15,22.29
2014-03-18,22.29
2014-04-07,22.29
2014-04-10,22.29
2014-04-22,22.29
2014-04-23,21.59
2014-04-26,21.59
2014-05-03,21.59
2014-05-04,21.59
2014-05-08,21.59
2014-05-20,21.59
2014-05-23,21.59
2014-05-25,21.59
2014-06-04,21.59
2014-06-06,21.58
2014-06-10,21.58
2014-06-15,21.59
2014-07-11,21.59
2014-07-13,21.59
2014-07-26,21.59
2014-07-30,21.59
2014-10-22,21.59
2015-05-19,20.71
2015-05-19,20.71
2015-05-21,20.71
2015-05-25,20.71
2015-05-29,20.49
2015-05-30,20.49
2015-06-05,17.51
2015-06-06,20.99
2015-06-07,20.99
2015-06-08,20.99
2015-06-11,21.19
2015-06-12,20.99
2015-06-12,21.19
2015-06-16,20.99
2015-06-17,20.99
2015-06-23,20.99
2015-06-25,20.99
2015-06-26,20.99
2015-07-05,20.99
2015-07-12,20.99
2015-07-15,20.97
2015-07-16,20.98
2015-07-16,20.95
2015-07-19,20.93
2015-07-20,20.91
2015-07-22,20.89
2015-07-23,20.87
2015-07-26,20.86
2015-07-27,20.84
2015-07-28,16.96
2015-07-30,20.55
2015-08-03,20.55
2015-08-07,20.55
2015-08-12,21.59
2015-08-15,20.55
2015-08-16,21.57
2015-08-19,20.55
2015-08-20,20.55
2015-08-23,20.55
2015-08-28,20.55
2015-08-30,20.4
2015-09-02,21.58
2015-09-05,21.58
2015-09-06,21.58
2015-09-14,21.58
2015-09-17,21.58
2015-09-18,21.58
2015-09-20,21.58
2015-09-21,21.58
2015-09-21,21.58
2015-09-23,21.58
2015-09-26,21.58
2015-09-28,21.58
2015-09-29,21.58
2015-11-03,21.58
2015-11-04,21.58
2015-11-05,21.58
2015-11-07,21.58
2015-11-12,20.99
2015-11-13,21.58
2015-11-14,20.99
2015-11-16,21.58
2015-11-17,21.58
2015-11-17,21.36
2015-11-19,21.58
2015-11-24,21.58
2015-11-27,21.58
2015-11-29,22.09
2015-11-30,21
2015-12-01,22.09
2015-12-09,21.58
2015-12-11,21.57
2015-12-12,21.58
2015-12-13,21.58
2015-12-15,21.58
2015-12-16,21.58
2015-12-18,21.58
2015-12-21,21.58
2015-12-30,21.58
2016-01-03,21.58
2016-01-09,21
2016-01-11,21.58
2016-01-13,21.58
2016-01-15,21.58
2016-01-29,21.58
2016-02-01,21.58
2016-02-11,21.58
2016-02-23,21.58
2016-02-23,21.58
2016-02-26,21.58
2016-02-28,21.58
2016-02-29,21.58
