Time,Price
2012-06-01,146.97
2012-06-02,146.97
2012-06-03,146.97
2012-06-06,146.97
2012-06-07,146.97
2012-06-10,146.97
2012-06-12,149.99
2012-06-12,146.97
2012-06-12,146.97
2012-06-14,149.99
2012-06-16,146.97
2012-06-21,146.97
2012-06-25,146.97
2012-06-28,149.99
2012-07-02,163.17
2012-07-03,150.99
2012-07-03,150.99
2012-07-06,150.99
2012-07-06,150.99
2012-07-08,150.99
2012-07-11,150.99
2012-07-11,150.99
2012-07-11,150.99
2012-07-12,150.99
2012-07-12,150.91
2012-07-13,150.83
2012-07-16,149.99
2012-07-16,149.91
2012-07-17,149.83
2012-07-18,149
2012-07-18,148.92
2012-07-18,148.92
2012-07-19,148.84
2012-07-24,148.84
2012-07-24,149
2012-07-25,147.83
2012-07-25,148.02
2012-07-26,148.02
2012-07-26,148.02
2012-07-27,148.02
2012-07-27,147.93
2012-07-30,147.93
2012-07-30,147.85
2012-07-31,147.85
2012-07-31,147.93
2012-08-01,147.85
2012-08-02,147.85
2012-08-02,147.77
2012-08-04,147.69
2012-08-06,147.6
2012-08-07,147.51
2012-08-08,147.42
2012-08-09,147.34
2012-08-13,147.26
2012-08-16,146.86
2012-08-16,146.78
2012-08-21,146.7
2012-08-22,146.62
2012-08-23,146.53
2012-08-27,146.44
2012-08-28,146.36
2012-08-29,146.28
2012-08-31,146.2
2012-09-03,152.98
2012-09-04,152.9
2012-09-10,152.74
2012-09-11,152.65
2012-09-12,152.56
2012-09-20,152.47
2012-09-21,152.39
2012-09-24,152.31
2012-09-27,152.23
2012-09-30,152.23
2012-10-02,150.89
2012-10-02,150.11
2012-10-04,149.98
2012-10-05,149.98
2012-10-05,150.11
2012-10-10,150.11
2012-10-15,150.11
2012-10-16,150.43
2012-10-28,149.99
2012-11-06,144.99
2012-11-06,145.82
2012-11-07,149.99
2012-11-09,150.43
2012-11-11,149.99
2012-11-16,149.99
2012-11-18,149.99
2012-11-18,150.43
2012-11-18,149.99
2012-11-28,149.99
2012-12-01,150.43
2012-12-01,150.43
2012-12-08,150.43
2012-12-08,150.43
2012-12-10,145.98
2012-12-12,145.9
2012-12-14,145.79
2012-12-15,144.31
2012-12-16,145.74
2012-12-17,145.66
2012-12-18,145.57
2012-12-19,145.57
2012-12-20,145.57
2012-12-21,145.48
2012-12-24,145.4
2012-12-26,150.43
2012-12-27,152.97
2012-12-28,150.43
2012-12-29,140.49
2012-12-30,150.43
2013-01-04,150.43
2013-01-05,150.43
2013-01-06,150.43
2013-01-09,155.98
2013-01-13,156.98
2013-01-17,159.98
2013-01-20,151.91
2013-01-24,151.91
2013-01-24,151.91
2013-01-28,155.98
2013-01-30,155.9
2013-02-01,155.82
2013-02-07,159.9
2013-02-08,159.81
2013-02-08,159.81
2013-02-10,149.99
2013-02-13,145.99
2013-02-16,148.95
2013-02-21,147.99
2013-02-22,147.99
2013-02-23,147.99
2013-02-28,148.95
2013-02-28,148.95
2013-03-01,149.99
2013-03-01,149.99
2013-03-01,147.99
2013-03-02,147.99
2013-03-07,155.98
2013-03-07,155.98
2013-03-08,149.99
2013-03-10,149.99
2013-03-11,149.99
2013-03-12,149.99
2013-03-14,149.99
2013-03-17,149.99
2013-03-20,149.99
2013-03-20,147.99
2013-03-21,149.99
2013-03-22,149.99
2013-03-22,147.99
2013-03-23,147.99
2013-03-24,149.99
2013-03-24,149.99
2013-03-25,149.99
2013-04-02,149.99
2013-04-02,149.99
2013-04-04,149.99
2013-04-05,149.99
2013-04-06,149.99
2013-04-09,149.99
2013-04-14,149.99
2013-04-15,147.99
2013-04-16,163.17
2013-04-17,158.98
2013-04-17,147.99
2013-04-18,162.98
2013-04-18,162.98
2013-04-18,149.99
2013-04-23,149.99
2013-04-24,149.99
2013-04-26,149.99
2013-04-27,149.99
2013-04-28,147.99
2013-04-29,147.99
2013-05-01,149.99
2013-05-01,148.95
2013-05-02,148.95
2013-05-03,148.95
2013-05-03,148.95
2013-05-06,149.99
2013-05-07,149.99
2013-05-07,149.99
2013-05-09,147.99
2013-05-10,149.99
2013-05-12,147.99
2013-05-13,147.99
2013-05-13,147.99
2013-05-14,147.99
2013-05-14,149.99
2013-05-15,149.99
2013-05-16,147.99
2013-05-18,147.99
2013-05-18,149.99
2013-05-19,147.99
2013-05-22,149.99
2013-05-22,149.99
2013-05-27,149.99
2013-05-28,149.99
2013-05-28,149.99
2013-05-29,147.87
2013-05-30,144.99
2013-05-31,144.99
2013-05-31,144.99
2013-06-01,147.87
2013-06-01,147.87
2013-06-04,147.87
2013-06-04,147.87
2013-06-04,147.87
2013-06-05,147.87
2013-06-06,147.5
2013-06-07,147.5
2013-06-07,147.5
2013-06-07,147.5
2013-06-07,147.5
2013-06-08,147.5
2013-06-09,147.5
2013-06-13,147.5
2013-06-15,147.5
2013-06-17,147.5
2013-06-18,147.5
2013-06-20,147.5
2013-06-22,133.03
2013-06-22,134.55
2013-06-23,147.99
2013-06-25,145.99
2013-07-03,149.99
2013-07-06,149.99
2013-07-11,145.99
2013-07-13,145.99
2013-07-14,145.99
2013-07-24,149.99
2013-07-25,149.99
2013-07-27,149.99
2013-08-02,149.99
2013-08-02,149.99
2013-08-03,149.99
2013-08-03,149.99
2013-08-03,149.99
2013-08-03,149.99
2013-08-04,149.99
2013-08-06,159.99
2013-08-06,159.99
2013-08-06,159.99
2013-08-07,159.99
2013-08-09,161.26
2013-08-09,161.26
2013-08-11,149.99
2013-08-12,161.26
2013-08-12,162.16
2013-08-13,149.99
