Time,Price
2012-06-01,205.49
2012-06-03,219.99
2012-06-07,219.99
2012-06-12,201.98
2012-06-13,201.98
2012-06-18,202.98
2012-07-05,202.98
2012-07-06,202.98
2012-07-06,202.98
2012-07-10,202.98
2012-07-12,202.88
2012-07-13,202.78
2012-07-17,202.67
2012-07-17,202.56
2012-07-18,202.56
2012-07-18,202.45
2012-07-19,202.45
2012-07-19,202.35
2012-07-20,202.35
2012-07-24,202.98
2012-07-24,202.98
2012-07-26,202.98
2012-07-27,208.99
2012-07-27,202.88
2012-07-27,207.84
2012-07-28,208.89
2012-07-29,208.89
2012-07-30,202.98
2012-07-30,202.98
2012-07-30,202.98
2012-07-30,202.88
2012-07-31,202.98
2012-08-01,202.98
2012-08-01,202.88
2012-08-02,202.88
2012-08-02,202.78
2012-08-03,202.78
2012-08-03,202.78
2012-08-04,202.67
2012-08-06,202.56
2012-08-08,202.45
2012-08-09,202.35
2012-08-09,202.25
2012-08-13,202.14
2012-08-15,202.14
2012-08-16,203.93
2012-08-16,214.63
2012-08-16,214.52
2012-08-20,214.52
2012-08-21,214.4
2012-08-23,186.99
2012-08-23,208.13
2012-08-24,214.67
2012-08-25,210.98
2012-08-25,208.13
2012-08-27,208.02
2012-08-28,208.02
2012-08-28,207.91
2012-08-29,207.91
2012-08-30,207.81
2012-08-30,207.81
2012-08-31,207.7
2012-09-04,212.98
2012-09-05,212.98
2012-09-10,212.98
2012-09-11,212.98
2012-09-11,212.98
2012-09-12,212.98
2012-09-12,212.98
2012-09-13,212.98
2012-09-14,209.72
2012-09-18,212.98
2012-09-19,212.98
2012-09-20,212.98
2012-09-20,212.98
2012-09-21,212.98
2012-09-21,212.98
2012-09-21,212.98
2012-09-24,212.98
2012-09-28,212.98
2012-09-29,224.37
2012-09-29,219.99
2012-10-02,228.24
2012-10-02,228.24
2012-10-02,228.24
2012-10-03,228.24
2012-10-04,212.98
2012-10-05,212.98
2012-10-09,209.72
2012-10-10,209.72
2012-10-10,212.98
2012-10-11,212.98
2012-10-12,212.98
2012-10-15,212.98
2012-10-17,212.98
2012-10-18,212.98
2012-10-28,212.64
2012-10-31,212.64
2012-10-31,212.98
2012-11-02,212.64
2012-11-03,212.64
2012-11-06,207.3
2012-11-06,207.3
2012-11-07,212.98
2012-11-13,212.98
2012-11-15,211.48
2012-11-28,211.48
2012-11-28,211.48
2012-12-01,214.98
2012-12-03,214.98
2012-12-04,214.98
2012-12-04,211.48
2012-12-17,211.48
2012-12-26,211.48
2012-12-27,211.38
2012-12-29,211.38
2012-12-31,211.27
2013-01-03,203.93
2013-01-04,203.83
2013-01-05,203.83
2013-01-09,203.62
2013-01-10,203.51
2013-01-11,203.4
2013-01-14,203.3
2013-01-18,203.19
2013-01-22,203.08
2013-01-23,202.97
2013-01-25,202.87
2013-01-28,207.94
2013-01-31,209.99
2013-01-31,209.99
2013-02-07,209.99
2013-02-08,209.99
2013-02-10,209.99
2013-02-16,199.95
2013-02-25,199.95
2013-02-28,199.95
2013-03-01,209.99
2013-03-05,209.99
2013-03-05,209.99
2013-03-09,209.99
2013-03-14,209.99
2013-03-17,199
2013-03-18,199
2013-03-20,199
2013-03-21,196.87
2013-03-21,196.87
2013-03-22,199
2013-03-26,199
2013-03-26,199
2013-03-27,199
2013-04-01,209.99
2013-04-03,209.99
2013-04-06,209.99
2013-04-08,209.99
2013-04-08,209.99
2013-04-15,211.98
2013-04-17,199
2013-04-22,199
2013-05-01,212.95
2013-05-02,212.95
2013-05-07,212.98
2013-05-07,212.98
2013-05-09,219.99
2013-05-09,219.99
2013-05-09,219.99
2013-05-10,219.99
2013-05-10,219.99
2013-05-11,215.98
2013-05-18,215.98
