Time,Price
2012-06-04,15.69
2012-06-10,15.69
2012-06-19,15.69
2012-06-20,15.69
2012-07-03,15.69
2012-07-15,15.69
2012-07-16,15.69
2012-07-18,15.69
2012-07-19,15.69
2012-07-22,15.69
2012-07-23,15.69
2012-07-24,15.69
2012-07-25,15.69
2012-07-27,15.69
2012-07-28,15.69
2012-07-30,15.69
2012-07-31,15.69
2012-08-01,15.69
2012-08-03,15.69
2012-08-10,15.69
2012-08-13,15.69
2012-08-17,15.69
2012-08-18,15.69
2012-08-19,15.69
2012-08-21,15.69
2012-08-21,15.69
2012-08-24,15.69
2012-08-25,15.69
2012-08-27,15.69
2012-08-29,15.69
2012-08-29,15.69
2012-08-31,15.69
2012-09-02,15.69
2012-09-04,14.35
2012-09-04,15.68
2012-09-11,15.68
2012-09-11,15.68
2012-09-12,15.68
2012-09-13,15.68
2012-09-15,15.68
2012-09-18,15.68
2012-11-15,15.2
2012-11-16,15.2
2012-11-16,15.3
2012-11-17,15.3
2012-11-17,15.68
2012-11-17,15.68
2012-12-07,15.68
2012-12-14,15.68
2012-12-28,15.68
2012-12-31,15.68
2013-01-03,15.68
2013-01-05,15.68
2013-01-09,15.68
2013-02-22,15.68
2013-02-28,15.68
2013-04-28,15.68
2013-05-06,15.68
2013-05-10,15.68
2013-05-17,15.68
2013-05-24,15.68
2013-05-30,15.68
2013-05-31,15.68
2013-06-01,15.68
2013-06-02,15.68
2013-06-05,15.68
2013-06-07,15.38
2013-06-10,15.68
2013-06-11,15.68
2013-06-14,15.68
2013-06-18,15.68
2013-08-12,15.68
2013-08-22,15.68
2013-09-01,15.68
2013-09-07,15.68
2013-09-14,15.68
2013-09-20,15.68
2013-09-26,15.59
2013-09-30,15.59
2013-10-06,15.59
2013-10-09,15.59
2013-10-13,15.59
2013-10-17,15.59
2013-10-20,15.59
2013-11-21,14.01
2013-12-08,14.01
2013-12-09,14.01
2013-12-10,14.01
2013-12-22,14.01
2013-12-31,14.01
2014-01-01,14.01
2014-01-04,14.01
2014-01-08,14.01
2014-01-11,14.01
2014-01-16,14.01
2014-01-29,14.37
2014-02-01,14.37
2014-02-04,14.37
2014-02-11,14.37
2014-02-14,15.59
2014-02-17,15.59
2014-02-20,15.59
2014-02-21,15.59
2014-02-24,15.59
2014-02-27,15.59
2014-03-03,15.59
2014-03-06,15.59
2014-03-10,15.59
2014-03-15,15.59
2014-03-16,15.59
2014-03-17,15.59
2014-03-18,15.59
2014-03-22,15.59
2014-04-08,15.59
2014-04-12,15.59
2014-04-16,15.59
2014-04-25,15.59
2014-05-10,15.59
2014-05-18,15.59
2014-06-03,15.59
2014-07-10,15.49
2014-10-14,14.38
2014-10-15,14.38
2014-11-25,14.38
2014-11-27,14.38
2015-01-05,14.38
2015-03-13,14.38
2015-03-26,14.38
2015-04-25,14.38
2015-05-10,14.38
2015-05-12,14.38
2015-05-16,14.38
2015-05-30,12.23
2015-05-31,12.23
2015-06-01,12.23
2015-06-20,14.38
2015-07-19,14.38
2015-08-13,14.38
2015-08-15,14.37
2015-09-10,14.36
2015-11-23,14.36
2016-10-29,14.39
2016-11-11,14.12
2016-11-22,14.12
2016-11-25,14.12
