Time,Price
2012-08-17,40.63
2012-08-17,40.63
2012-08-18,43.31
2012-08-19,40.63
2012-08-20,43.31
2012-08-21,43.31
2012-08-21,39.99
2012-08-24,40.35
2012-08-25,40.35
2012-08-26,40.35
2012-08-27,39.97
2012-08-27,40.26
2012-09-11,24.49
2012-09-22,24.49
2012-09-22,24.49
2012-09-24,34.99
2012-09-24,40.35
2012-09-25,42.29
2012-09-26,42.29
2012-09-28,29.36
2012-09-29,42.29
2012-10-02,34.99
2012-10-03,45.99
2012-10-10,45.99
2012-10-10,45.99
2012-10-11,45.99
2012-10-12,45.99
2012-10-29,26.99
2012-10-31,37.78
2012-11-04,40.33
2012-11-04,40.33
2012-11-06,40.33
2012-11-07,40.33
2012-11-07,41.11
2012-11-24,35.99
2012-11-27,35.99
2012-11-28,35.99
2012-11-28,35.99
2012-11-29,35.83
2012-11-29,35.99
2012-11-30,35.99
2012-11-30,35.99
2012-12-01,35.99
2012-12-02,35.99
2012-12-02,35.99
2012-12-03,35.99
2012-12-04,35.99
2012-12-07,35.99
2012-12-09,39.59
2012-12-10,38.83
2012-12-11,38.83
2012-12-11,35.63
2012-12-15,39.59
2012-12-16,39.59
2013-01-03,39.66
2013-01-20,39.66
2013-02-19,39.66
2013-03-05,38.46
2013-03-19,37.39
2013-03-29,43.75
2013-04-08,43.6
2013-04-26,43.83
2013-05-10,43.28
2013-05-23,42.85
2013-05-29,41.75
2013-05-29,41.69
2013-05-29,41.66
2013-05-29,41.6
2013-05-30,41.57
2013-05-31,41.53
2013-05-31,41.53
2013-05-31,41.49
2013-06-01,41.45
2013-06-02,44.37
2013-06-03,43.91
2013-06-04,43.91
2013-06-19,39.48
2013-07-17,33.74
2013-08-06,32.71
2013-08-10,35.85
2013-08-12,33.89
2013-08-21,32.71
2013-08-29,32.71
2013-08-31,33.96
2013-09-03,33.77
2013-09-17,33.69
2013-10-07,35.72
2013-10-30,34.55
2013-11-25,37.82
2013-12-02,40.33
2013-12-03,42.99
2013-12-07,42.99
2013-12-15,42.99
2014-01-08,42.96
2014-02-06,42.96
2014-02-28,42.99
2014-04-06,42.96
2014-05-11,42.99
2014-07-25,42.99
2014-08-21,35.44
2014-09-21,38.39
2014-11-04,42.09
2014-12-03,35.99
2015-02-19,37.58
2015-03-24,37.3
2015-04-10,30.08
2015-05-18,31.15
2015-06-06,36.99
2015-11-08,34.99
2016-03-21,36.99
2016-05-01,36.99
2016-05-15,36.99
2016-10-25,32.99
2016-11-26,32.99
