Time,Price
2012-11-13,67.86
2012-11-15,66.16
2012-11-19,101.97
2012-11-30,94.57
2013-01-16,107.76
2013-01-28,107.48
2013-02-15,100.24
2013-03-14,114.59
2013-05-01,114.59
2013-06-27,110.68
2013-07-23,97.74
2013-09-03,111.28
2013-09-22,95.3
2013-10-14,110.42
2013-11-04,96.87
2013-11-30,96.87
2013-12-23,96.87
2014-02-12,116.23
2014-03-06,116.23
2014-05-18,119.95
2014-09-04,119.95
2014-09-29,123
2015-08-03,110.51
2015-11-15,115.14
2016-06-03,121.92
2016-11-02,117.01
2016-11-26,117.01
