Time,Price
2012-07-14,6.04
2012-08-21,10.9
2012-09-14,6.04
2012-09-18,6.04
2013-01-21,8.82
2013-02-07,8.01
2014-10-31,6.87
2015-02-22,6.87
2015-03-05,6.72
2015-03-21,6.79
2015-03-29,6.72
2015-08-20,6.02
2015-08-25,6.72
2015-09-06,5.14
2015-09-20,6.87
2015-09-29,6.87
2015-11-06,6.87
2015-11-11,6.87
2015-11-29,6.87
2015-12-12,6.87
2015-12-18,6.87
2016-01-14,6.87
2016-02-05,6.87
2016-02-29,6.87
2016-11-01,6.51
2016-11-02,6.51
2016-11-13,6.01
2016-11-15,5.99
2016-11-21,5.99
2016-11-25,5.99
