Time,Price
2012-06-20,13.85
2012-12-14,14.42
2013-01-09,14.14
2013-01-12,14.25
2013-01-23,11.97
2013-02-10,11.94
2013-02-22,11.97
2013-05-08,11.49
2013-05-10,11.56
2013-05-21,11.75
2013-05-23,11.81
2013-06-02,11.97
2013-06-08,11.97
2013-07-14,11.97
2013-07-27,11.97
2013-11-21,11.63
2013-12-15,11.63
2014-01-04,11.63
2014-01-08,8.99
2014-02-03,9.01
2014-02-17,9.12
2014-03-20,9.48
2014-04-06,9.61
2014-06-08,8.99
2014-09-15,9.32
2014-09-17,8.99
2014-11-27,8.99
2014-12-03,8.99
2015-03-16,8.98
2015-03-24,8.97
2015-04-04,8.96
2015-04-14,8.95
2015-04-18,8.93
2015-04-22,8.92
2015-04-25,8.91
2015-05-02,8.89
2015-05-05,8.87
2015-05-09,8.86
2015-05-12,8.85
2015-05-16,8.84
2015-05-18,8.84
2015-05-19,8.83
2015-05-22,8.82
2015-05-28,8.81
2015-05-31,8.8
2015-06-02,8.79
2015-06-06,8.78
2015-06-07,8.77
2015-06-10,8.76
2015-06-14,8.74
2015-06-17,8.71
2015-06-20,8.69
2015-06-24,8.67
2015-06-27,8.65
2015-07-04,8.61
2015-07-09,8.59
2015-07-21,8.57
2015-07-23,8.56
2015-07-25,8.55
2015-07-27,8.54
2015-07-28,8.53
2015-08-01,8.52
2015-08-05,8.5
2015-08-09,8.41
2015-08-13,8.41
2015-08-18,8.39
2015-08-22,8.38
2015-08-22,8.37
2015-08-25,8.36
2015-08-30,8.33
2015-09-04,8.3
2015-09-08,8.28
2015-09-12,8.25
2015-09-14,8.24
2015-09-15,8.23
2015-09-17,8.22
2015-09-25,8.2
2015-09-29,8.17
2015-10-02,8.14
2015-11-03,8.1
2016-01-30,11.83
2016-03-20,11.89
2016-03-23,11.87
2016-03-30,11.86
2016-04-09,11.87
2016-04-27,11.89
2016-09-19,9.99
2016-10-29,9.22
2016-10-31,9.22
2016-11-04,9.22
2016-11-04,9.22
2016-11-08,9.22
2016-11-12,9.22
2016-11-13,9.22
2016-11-16,9.22
2016-11-20,9.22
2016-11-20,9.22
2016-11-23,9.22
