Time,Price
2012-05-31,122.98
2012-06-07,122.98
2012-06-09,122.98
2012-06-10,122.98
2012-06-12,149.99
2012-06-17,149.99
2012-06-17,135.58
2012-06-17,135.58
2012-06-18,135.58
2012-06-20,133.94
2012-06-21,133.93
2012-06-22,133.93
2012-06-22,135.58
2012-06-22,135.58
2012-06-24,119.99
2012-06-27,109.99
2012-07-01,99.99
2012-07-02,99.99
2012-07-02,99.99
2012-07-11,139.99
2012-07-11,139.99
2012-07-11,139.99
2012-07-13,139.99
2012-07-14,139.99
2012-07-14,139.99
2012-07-14,139.99
2012-07-15,138.69
2012-07-18,138.69
2012-07-18,139.97
2012-07-19,139.97
2012-07-21,139.97
2012-07-22,99.99
2012-07-23,97.1
2012-07-23,98
2012-07-24,98
2012-07-24,97.1
2012-07-24,96.88
2012-07-26,91.98
2012-07-27,96.88
2012-07-28,91.98
2012-07-28,96.88
2012-07-29,91.98
2012-07-31,96.99
2012-07-31,91.98
2012-08-01,96.99
2012-08-01,96.99
2012-08-01,91.98
2012-08-04,91.98
2012-08-07,120.27
2012-08-07,133.78
2012-08-08,133.78
2012-08-09,133.78
2012-08-09,133.56
2012-08-09,133.56
2012-08-10,133.53
2012-08-12,133.51
2012-08-12,133.51
2012-08-13,133.51
2012-08-14,133.51
2012-08-16,133.51
2012-08-21,149.99
2012-08-21,134.97
2012-08-23,134.97
2012-08-23,134.97
2012-08-25,134.97
2012-08-26,119.99
2012-08-27,117.51
2012-08-27,117.45
2012-08-28,117.28
2012-08-30,117.28
2012-08-31,116.24
2012-09-03,116.24
2012-09-05,116.24
2012-09-10,99.99
2012-09-11,99.99
2012-09-13,99.99
2012-09-13,99.99
2012-09-18,117.28
2012-09-19,117.28
2012-09-23,118.99
2012-09-23,121.98
2012-09-26,121.98
2012-09-28,121.98
2012-09-29,121.98
2012-09-29,121.98
2012-09-29,121.98
2012-10-02,121.98
2012-10-02,121.98
2012-10-03,149.99
2012-10-04,149.99
2012-10-06,149.99
2012-10-06,149.99
2012-10-08,89.99
2012-10-14,99.99
2012-10-17,97.99
2012-10-18,97.99
2012-10-23,136.03
2012-10-25,135.63
2012-10-29,137.37
2012-10-29,137.37
2012-10-30,137.37
2012-10-31,99.99
2012-11-04,132.56
2012-11-05,99.99
2012-11-06,99.99
2012-11-07,139.99
2012-11-08,139.99
2012-11-09,139.99
2012-11-10,139.99
2012-11-11,139.99
2012-11-11,139.99
2012-11-11,99.99
2012-11-20,149.86
2012-11-20,149.41
2012-11-20,149.41
2012-11-21,131.27
2012-11-21,131.27
2012-11-21,128.71
2012-11-22,81.98
2012-11-27,139.99
2012-11-27,139.99
2012-11-28,139.99
2012-11-28,139.99
2012-11-28,139.99
2012-12-12,99.52
2012-12-14,99.99
2012-12-15,99.99
2012-12-16,99.99
2012-12-18,142.69
2012-12-18,142.66
2012-12-19,142.66
2012-12-19,141.75
2012-12-20,142.06
2012-12-20,142.06
2012-12-21,142.06
2012-12-22,142.06
2012-12-22,142.06
2012-12-22,142.06
2012-12-22,146.87
2012-12-22,146.87
2012-12-23,146.87
2012-12-23,146.87
2012-12-23,146.87
2012-12-23,146.87
2012-12-23,146.87
2012-12-24,146.87
2012-12-24,146.87
2012-12-24,146.87
2012-12-24,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-25,146.87
2012-12-26,146.87
2012-12-26,146.87
2012-12-26,146.87
2012-12-27,146.87
2012-12-27,146.87
2012-12-27,146.87
2012-12-28,146.87
2012-12-28,146.87
2012-12-29,146.87
2012-12-29,146.87
2012-12-30,99.99
2012-12-31,99.86
2012-12-31,99.86
2013-01-01,99.43
2013-01-02,99.86
2013-01-11,141.65
2013-01-12,141.65
2013-01-12,141.65
2013-01-12,141.65
2013-01-14,141.65
2013-01-16,99.99
2013-01-16,141.65
2013-01-18,141.65
2013-01-20,141.65
2013-01-21,141.65
2013-01-24,141.65
2013-01-25,141.65
2013-01-25,141.65
2013-01-26,141.65
2013-01-27,135.62
2013-01-27,135.62
2013-01-29,135.62
2013-01-29,129.91
2013-01-29,129.91
2013-01-30,137.95
2013-01-30,137.95
2013-01-31,137.95
2013-02-01,134.19
2013-02-02,134.19
2013-02-02,134.19
2013-02-15,135.62
2013-02-18,89.99
2013-02-19,89.99
2013-02-19,135.62
2013-02-21,135.62
2013-02-21,135.62
2013-02-22,135.62
2013-02-24,135.62
2013-02-25,135.62
2013-02-25,135.62
2013-02-27,135.62
2013-03-03,136.2
2013-03-04,136.2
2013-03-04,136.2
2013-03-05,99.99
2013-03-07,136.2
2013-03-08,136.2
2013-03-09,136.2
2013-03-09,136.2
2013-03-09,136.2
2013-03-10,99.99
2013-03-10,97.5
2013-03-11,94.99
2013-03-11,94.99
2013-03-12,93.72
2013-03-13,93.72
2013-03-13,96.98
2013-03-14,93.72
2013-03-17,136.2
2013-03-17,136.2
2013-03-18,136.2
2013-03-18,136.2
2013-03-18,136.2
2013-03-18,96.98
2013-03-19,136.2
2013-03-20,136.2
2013-03-20,132.93
2013-03-25,132.91
2013-03-26,132.57
2013-03-26,132.56
2013-03-27,132.56
2013-03-27,132.55
2013-03-28,132.54
2013-03-29,132.53
2013-03-31,133.87
2013-04-01,99.99
2013-04-07,97.5
2013-04-08,89.99
