Time,Price
2012-09-18,12.5
2012-09-23,12.5
2012-09-24,12.5
2012-10-05,12.5
2012-10-06,12.5
2012-10-07,12.5
2012-10-16,12.5
2012-10-26,11.88
2012-11-01,11.88
2012-11-01,11.88
2012-12-27,12.5
2013-01-02,12.24
2013-01-06,12.5
2013-01-25,12.5
2013-01-27,12.5
2013-01-29,12.5
2013-01-31,12.5
2013-02-07,12.5
2013-02-12,12.5
2013-02-13,12.5
2013-02-16,12.5
2013-02-17,12.25
2013-02-18,12.25
2013-02-20,12.25
2013-02-21,12.24
2013-02-22,11.2
2013-02-23,12.5
2013-02-28,12.5
2013-03-02,12.15
2013-03-04,11.29
2013-03-05,11.16
2013-03-07,12.5
2013-03-08,12.5
2013-03-09,12.5
2013-03-11,12.5
2013-04-02,12.5
2013-04-04,12.5
2013-04-05,12.5
2013-04-07,12.5
2013-04-08,12.5
2013-04-10,12.5
2013-04-15,11.78
2013-04-17,11.58
2013-04-18,12.15
2013-04-22,12.5
2013-04-24,12.5
2013-04-24,12.5
2013-04-26,12.5
2013-05-01,12.5
2013-05-04,11.53
2013-05-05,12.11
2013-05-06,12.11
2013-05-06,12.41
2013-05-07,12.41
2013-05-09,11.84
2013-05-09,11.8
2013-05-10,12.5
2013-05-17,11.85
2013-05-17,12.5
2013-06-11,12.5
2013-06-18,11.87
2013-06-25,10.6
2013-06-28,12.18
2013-07-01,11.38
2013-07-13,12.5
2013-07-19,11.19
2013-07-25,11.19
2013-08-13,11.19
2013-08-21,10.99
2013-08-22,10.77
2013-08-29,10.77
2013-09-13,10.86
2013-09-23,11.19
2013-10-13,12.15
2013-10-18,12.5
2013-10-18,11.99
2013-10-21,12.5
2013-11-22,12.5
2013-12-08,12.5
2013-12-26,12.5
2013-12-31,12.5
2014-01-04,12.5
2014-01-06,12.5
2014-02-11,12.5
2014-02-15,12.5
2014-02-21,12.5
2014-02-28,12.5
2014-03-03,12.5
2014-03-11,12.5
2014-03-15,11.34
2014-03-18,12.5
2014-03-22,12.5
2014-04-08,11.88
2014-04-26,11.88
2014-05-01,11.88
2014-05-03,11.88
2014-05-07,11.21
2014-05-09,11.21
2014-05-14,12.5
2014-05-18,11.21
2014-05-23,10.99
2014-06-05,10.98
2014-07-11,12.5
2014-07-26,12.5
2014-08-06,12.5
2014-08-31,10.86
2014-09-06,10.86
2014-09-16,10.86
2014-09-20,10.86
2014-09-28,8.69
2014-10-03,8.69
2014-10-15,8.67
2014-11-05,8.67
2014-11-12,8.23
2014-11-21,8.23
2014-12-29,6.99
2015-02-15,7.11
2015-03-18,7.05
2015-03-22,7.03
2015-03-27,7.01
2015-03-29,6.99
2015-04-01,6.96
2015-06-04,6.96
2015-06-08,6.94
2015-06-11,6.96
2015-06-15,6.96
2015-07-15,6.94
2015-07-19,6.93
2015-07-22,6.92
2015-07-25,6.91
2015-07-30,6.88
2015-08-02,6.86
2015-08-06,6.84
2015-08-10,6.34
2015-08-13,6.37
2015-08-14,6.34
2015-08-19,6.31
2015-08-20,6.3
2015-08-23,6.29
2015-08-27,6.34
2015-09-05,6.33
2015-09-09,6.31
2015-09-13,6.29
2015-09-16,6.32
2015-09-19,6.31
2015-09-23,6.34
2015-09-26,6.33
2015-10-02,6.32
2015-10-04,6.31
2015-11-05,6.33
2015-11-29,6.33
2015-12-11,6.33
2015-12-19,6.33
2016-01-03,6.33
2016-01-06,6.33
2016-02-01,6.33
2016-02-19,6.33
2016-03-24,6.39
2016-03-31,6.39
2016-04-06,6.39
2016-04-10,6.26
2016-04-27,6.13
2016-05-11,6.04
2016-05-27,6.04
2016-10-31,5.79
2016-11-01,5.79
2016-11-04,5.79
2016-11-05,5.79
2016-11-10,5.79
2016-11-12,5.79
2016-11-13,5.79
2016-11-14,5.79
2016-11-16,5.79
2016-11-17,5.79
2016-11-19,5.79
2016-11-20,5.79
2016-11-23,5.79
2016-11-23,5.79
2016-11-25,5.98
2016-11-25,5.98
