Time,Price
2012-08-29,356.66
2012-09-02,322.79
2012-09-03,322.79
2012-09-03,328.2
2012-09-04,327.89
2012-09-10,321.83
2012-09-14,312.89
2012-09-19,319.13
2012-09-20,320.94
2012-09-21,320.94
2012-09-22,320.94
2012-09-23,320.94
2012-09-23,269.4
2012-09-24,269.35
2012-09-25,269.34
2012-09-25,303.33
2012-09-27,309.38
2012-09-28,315.55
2012-09-29,320.94
2012-10-02,264.16
2012-10-06,264.16
2012-10-07,249.54
2012-10-10,249.34
2012-10-11,241.58
2012-10-11,241.15
2012-10-12,241.15
2012-10-12,240.94
2012-10-15,240.79
2012-10-18,253.96
2012-10-18,240.79
2012-10-18,240.79
2012-10-19,240.79
2012-10-20,253.96
2012-10-23,253.96
2012-10-26,253.96
2012-10-28,253.96
2012-10-31,272.79
2012-10-31,272.79
2012-11-01,272.79
2012-11-03,261.82
2012-11-04,262.22
2012-11-05,263.52
2012-11-06,263.52
2012-11-06,249.54
2012-11-08,261.29
2012-11-09,249.54
2012-11-11,249.54
2012-11-11,267.71
2012-11-11,229.99
2012-11-12,229.99
2012-11-13,229.99
2012-11-18,258.53
2012-11-20,253.66
2012-11-20,253.66
2012-11-20,253.66
2012-11-21,257.74
2012-11-21,257.74
2012-11-23,169.99
2012-11-27,229.99
2012-11-28,199.99
2012-11-29,229.99
2012-11-30,234.57
2012-12-01,234.57
2012-12-02,229.99
2012-12-06,229.99
2012-12-06,224.14
2012-12-07,226.71
2012-12-07,229.99
2012-12-07,229.99
2012-12-12,229.47
2012-12-14,189.99
2012-12-18,229.37
2012-12-19,192.95
2012-12-20,192.95
2012-12-20,229.37
2012-12-21,229.47
2012-12-21,228.53
2012-12-25,229.37
2012-12-26,224.37
2012-12-27,224.37
2012-12-29,224.37
2012-12-31,224.37
2012-12-31,224.37
2013-01-01,229.99
2013-01-03,224.37
2013-01-07,159.99
2013-02-13,212.58
2013-02-16,229.99
2013-02-17,208.79
2013-02-17,199.99
2013-02-17,199
2013-02-18,182.58
2013-02-25,229.99
2013-03-03,229
2013-03-04,229
2013-03-04,209
2013-03-06,209
2013-03-07,209
2013-03-10,229.99
2013-03-12,208.56
2013-03-13,229.99
2013-03-13,229.99
2013-03-13,229.99
2013-03-17,199.99
2013-03-20,199.99
2013-03-21,199.99
2013-03-22,199.99
2013-04-01,231.71
2013-04-03,231.71
2013-04-04,231.71
2013-04-05,224.52
2013-04-06,224.52
2013-04-06,224.52
2013-04-07,224.52
2013-04-07,224.52
2013-04-08,219.99
2013-04-09,219
2013-04-13,219
2013-04-14,219.99
2013-04-15,234.8
2013-04-15,229
2013-04-22,224.52
2013-04-22,212.58
2013-04-22,212.58
2013-04-23,212.58
2013-04-26,194.99
2013-05-01,194.99
2013-05-04,194.99
2013-05-09,189.99
2013-05-22,189.99
2013-05-22,189.99
2013-06-03,228
2013-06-03,229
2013-06-05,229
2013-06-05,229
2013-06-06,229
2013-06-07,229
2013-06-07,229
2013-06-08,229
2013-06-09,199.99
2013-06-10,199.99
2013-06-16,207.35
2013-06-18,199.99
2013-06-19,189.99
2013-06-23,189.99
2013-06-24,189.99
2013-06-24,188.37
2013-06-25,189.99
2013-06-30,189.99
2013-06-30,189.99
2013-07-02,205.43
2013-07-03,228.23
2013-07-04,223.28
2013-07-05,223.57
2013-07-06,228.23
2013-07-07,227.75
2013-07-09,223.39
2013-07-10,228.23
2013-07-13,227.19
2013-07-13,227.09
2013-07-14,226.99
2013-07-14,226.71
2013-07-14,199
2013-07-15,228.23
2013-07-15,224.66
2013-07-16,224.83
2013-07-17,219.49
2013-07-18,219
2013-07-21,229
2013-07-22,223.99
2013-07-22,203.97
2013-07-23,203.97
2013-07-27,203.97
2013-07-27,199.34
2013-07-29,189.99
2013-08-06,189.99
2013-08-08,189.99
2013-08-12,219.74
2013-08-12,217.09
2013-08-12,216.58
2013-08-13,216.08
2013-08-13,215.57
2013-08-20,199.99
2013-08-23,199
2013-08-24,183.53
2013-08-27,199
2013-08-29,199
2013-08-31,199.34
2013-09-03,199.34
2013-09-04,219.99
2013-09-06,216.21
2013-09-07,219.51
2013-09-08,219.99
2013-09-13,223.26
2013-09-14,223.21
2013-09-15,221.45
2013-09-16,221.9
2013-09-16,221.9
2013-09-18,228.23
2013-09-20,228.23
2013-09-25,228.23
2013-09-25,199.99
2013-10-03,230.78
2013-10-04,237.66
2013-10-05,234.6
2013-10-07,229.99
2013-10-07,229.99
2013-10-10,199.99
2013-10-13,199.99
2013-10-16,199.99
2013-10-17,229.99
2013-10-18,227.11
2013-10-19,227.12
2013-10-20,229.5
2013-10-21,230.59
2013-10-22,231.77
2013-10-23,222.14
2013-10-24,222.14
2013-10-24,219.37
2013-10-25,213.93
2013-10-26,217.78
2013-10-27,218.49
2013-10-28,218.83
2013-10-28,189.99
2013-11-05,209.99
2013-11-07,209.99
2013-11-08,219.99
2013-11-10,215.19
2013-11-11,209.99
2013-11-13,218.91
2013-11-13,199.99
2013-11-19,199.99
2013-11-20,199.99
2013-11-21,199.99
2013-11-22,199.99
2013-11-22,199.99
2013-11-24,218.92
2013-11-25,218.9
2013-11-25,218.9
2013-11-25,219.95
2013-11-26,212.32
2013-11-27,213.71
2013-11-28,204.3
2013-11-28,204.29
2013-11-28,204.28
2013-11-28,204.23
2013-11-28,204.21
2013-11-28,218.96
2013-11-29,189.99
2013-11-29,189.99
2013-11-29,189.99
2013-11-30,189.99
2013-12-01,189.99
2013-12-02,189.99
2013-12-09,199.99
2013-12-11,199.99
2013-12-11,221.68
2013-12-12,218.07
2013-12-13,215.95
