Time,Price
2012-10-10,149.99
2012-10-21,147.87
2012-10-23,146.39
2012-10-25,145.71
2012-10-28,129.99
2012-11-05,129.99
2012-11-09,129.99
2012-11-10,129.99
2012-11-10,119.29
2012-11-11,120.26
2012-11-12,120.1
2012-11-12,120.1
2012-11-13,122.48
2012-11-14,129.99
2012-11-16,129.99
2012-11-17,120.11
2012-11-17,117.82
2012-11-18,149.99
2012-11-18,129.99
2012-11-25,105.98
2012-11-27,129.99
2012-11-29,129.99
2012-12-02,99.99
2012-12-02,99.99
2012-12-16,117.49
2012-12-17,110.91
2012-12-17,99.99
2012-12-18,99.99
2012-12-22,129.99
2012-12-22,129.99
2012-12-23,129.99
2012-12-25,129.99
2012-12-26,129.99
2012-12-26,129.99
2012-12-27,113.64
2012-12-28,113.64
2012-12-28,114.51
2012-12-28,114.51
2012-12-29,99.99
2013-01-21,99.99
2013-01-22,105.98
2013-01-23,99.99
2013-01-27,105.98
2013-01-29,105.98
2013-01-30,105.98
2013-01-31,105.98
2013-02-01,105.98
2013-02-07,99.99
2013-02-23,99.99
2013-02-23,99.99
2013-02-24,104.95
2013-02-28,104.95
2013-03-01,104.95
2013-03-01,99.99
2013-03-29,114.99
2013-04-02,114.99
2013-04-17,99.99
2013-04-17,99.99
2013-04-23,99.99
2013-04-24,99.99
2013-04-24,99.99
2013-05-18,116.67
2013-05-21,99.99
2013-05-30,99.99
2013-06-05,99.99
2013-06-06,99.99
2013-06-07,99.99
2013-06-08,99.99
2013-06-09,99.99
2013-06-10,99.99
2013-06-10,99.99
2013-06-15,99.99
2013-06-24,99.99
2013-06-24,99.99
2013-06-27,99.99
2013-06-28,99.99
2013-07-01,99.99
2013-07-01,99.99
2013-07-03,99.99
2013-07-05,99.99
2013-07-06,99.99
2013-07-13,99.99
2013-07-15,99.99
2013-07-18,99.99
2013-07-20,99.99
2013-07-23,99.99
2013-07-23,99.99
2013-07-24,99.99
2013-08-06,99.99
2013-08-07,99.99
2013-08-10,99.99
2013-08-11,99.99
2013-08-13,99.99
2013-08-20,99.99
2013-08-23,99.99
2013-08-27,99.99
2013-08-29,99.99
2013-09-02,99.99
2013-09-05,99.99
2013-09-13,99.99
2013-09-15,99.99
2013-09-16,99.99
2013-09-18,99.99
2013-09-18,99.99
2013-09-19,99.99
2013-09-20,99.99
2013-09-23,99.99
2013-09-25,99
2013-09-26,99
2013-09-28,99.99
2013-09-30,99.99
2013-10-02,99.99
2013-10-02,99.99
2013-10-04,99.99
