Time,Price
2013-01-05,328.21
2013-01-11,268.86
2013-01-25,268.86
2013-02-12,322.23
2013-02-20,322.23
2013-02-21,279.99
2013-03-05,325.87
2013-03-06,325.87
2013-03-07,325.87
2013-03-09,325.87
2013-03-11,325.87
2013-03-13,318.51
2013-03-14,279.99
2013-03-14,279.99
2013-03-25,279.99
2013-03-26,279.99
2013-03-27,279.99
2013-03-27,279.99
2013-03-29,279.99
2013-04-01,279.99
2013-04-03,279.99
2013-04-04,279.99
2013-04-05,279.99
2013-04-06,279.99
2013-04-07,279.99
2013-04-08,279.99
2013-04-09,279.99
2013-04-10,324.89
2013-04-11,323.73
2013-04-12,323.73
2013-04-13,323.73
2013-04-14,323.73
2013-04-14,323.73
2013-04-17,304.99
2013-04-21,304.99
2013-04-22,304.99
2013-04-23,304.99
2013-04-25,304.99
2013-04-26,304.99
2013-04-27,304.99
2013-04-28,304.99
2013-04-28,304.99
2013-05-01,304.99
2013-05-03,310.35
2013-05-07,313.07
2013-05-08,323.73
2013-05-11,321.28
2013-05-26,313.07
2013-05-28,290.99
2013-06-13,290.99
2013-06-27,287.68
2013-07-09,290.99
2013-07-19,290.99
2013-07-21,290.99
2013-08-06,279.99
2013-09-03,293.99
2013-09-04,293.99
2013-09-06,293.99
2013-09-16,293.99
2013-09-19,293.99
2013-09-22,293.99
2013-09-23,293.99
2013-09-23,293.99
2013-09-26,293.99
2013-09-29,293.99
2013-10-02,293.99
2013-10-05,293.99
2013-10-24,304.99
2013-10-26,304.99
2013-11-04,299.15
2013-11-04,291.92
2013-11-07,302.97
2013-11-11,279.99
2013-11-30,279.99
2013-12-04,279.99
2013-12-10,279.99
2013-12-13,279.99
2013-12-23,279.99
2014-01-28,323.32
2014-02-01,323.31
2014-02-04,317.63
2014-02-07,314.65
2014-02-09,310.61
2014-02-11,287.99
2014-02-12,277.99
2014-02-14,277.99
2014-03-14,315.76
2014-03-21,311.1
2014-04-07,277.99
2014-04-09,277.99
2014-04-12,285.12
2014-04-24,285.12
2014-05-02,285.12
2014-05-06,277.99
2014-05-13,277.99
2014-05-17,277.99
2014-05-23,259.75
2014-06-03,332.44
2014-07-29,277.99
2014-08-05,255.72
2014-08-20,255.72
2014-08-28,255.72
2014-09-03,255.72
2014-09-11,235.3
2014-09-23,277.99
2014-09-29,277.99
2014-10-02,277.99
2014-10-14,291.99
2014-11-04,291.99
2014-11-07,291.99
2014-11-08,291.99
2014-11-11,277.99
2014-11-11,277.99
2014-11-20,277.99
2014-12-06,268.1
2014-12-25,219.99
2015-02-14,249.88
2015-02-26,249.88
2015-02-27,234.42
2015-03-03,240.56
2015-03-11,242.99
2015-03-16,240.56
2015-03-17,242.99
2015-03-21,243.99
2015-03-28,246
2015-04-01,242.99
2015-04-03,242.99
2015-04-11,259.95
2015-04-12,255
2015-04-15,250
2015-04-17,245
2015-04-18,242.99
2015-04-25,258.64
2015-04-30,254
2015-05-05,254
2015-05-06,254
2015-05-19,254
2015-05-28,253.98
2015-05-31,242
2015-06-04,242.25
2015-06-07,254
2015-06-08,268.99
2015-06-10,268.99
2015-07-07,268.99
2015-07-21,268.99
2015-07-30,268.99
2015-08-18,234.99
2015-08-25,268.99
2015-09-04,268.99
2015-09-20,277.99
2015-09-28,233.09
2015-11-19,272.99
2015-12-22,283.14
2016-01-30,283.14
2016-02-14,283.14
2016-02-18,283.14
2016-02-27,283.14
2016-03-01,283.14
2016-03-30,249.99
2016-04-05,279.95
2016-04-13,283.14
2016-11-01,278.98
2016-11-07,185.83
2016-11-12,173.12
2016-11-16,172.31
2016-11-18,173.14
2016-11-21,173.14
2016-11-22,172.92
2016-11-24,171.53
2016-11-25,172.09
2014-06-09,324.98
2014-06-10,349.99
2014-07-18,290.99
2014-07-23,277.99
2014-08-12,249.20
2014-08-13,249.20
2014-09-06,235.30
2014-10-19,291.99
2014-11-18,313.96
2014-12-01,268.10
2014-12-30,219.99
2015-01-28,268.10
2015-02-06,268.10
2015-02-06,268.10
2015-02-06,268.10
2015-02-06,268.10
2015-02-06,266.54
2015-02-06,266.54
2015-02-06,268.10
2015-02-06,266.54
2015-02-06,268.10
2015-02-06,268.10
2015-02-06,268.10
2015-02-07,268.10
2015-02-07,268.10
2015-02-11,249.88
2015-02-28,238.15
2015-03-02,240.56
2015-03-04,247.58
2015-03-14,242.99
2015-03-15,240.56
2015-03-16,242.99
2015-03-21,243.99
2015-03-28,244.48
2015-04-15,245.00
2015-04-30,254.00
2015-05-06,254.00
2015-06-15,268.99
2015-07-20,268.99
2015-10-14,209.99
2015-10-19,269.95
2015-10-28,269.95
2015-11-15,272.99
2015-12-06,283.14
2015-12-22,283.14
2016-01-26,183.99
2016-01-27,300.72
2016-01-27,283.14
2016-02-17,283.14
2016-02-28,283.14
2016-03-05,206.61
2016-03-07,249.99
2016-03-07,249.99
2016-03-08,249.99
2016-03-10,249.99
2016-03-11,249.99
