Time,Price
2013-07-28,29.96
2013-08-03,30.51
2013-08-06,30.25
2013-08-12,29.83
2013-08-21,28.45
2013-08-22,26.94
2013-08-29,23.05
2013-09-01,31.18
2013-09-04,31.01
2013-09-07,29.97
2013-09-13,28.84
2013-09-14,27.05
2013-09-17,28.78
2013-09-20,27.17
2013-09-23,26.6
2013-09-26,27.19
2013-09-29,25.24
2013-10-03,27.46
2013-10-04,27.97
2013-10-06,27.57
2013-10-09,26.2
2013-10-13,24.81
2013-10-17,25.37
2013-10-20,24.43
2013-10-24,14.99
2013-11-21,23.04
2013-11-25,24.55
2013-11-28,22.97
2013-12-01,20.42
2013-12-04,24.51
2013-12-07,26.25
2013-12-11,29.98
2013-12-12,29.98
2013-12-14,30.72
2013-12-17,29.15
2013-12-22,28.23
2014-01-04,29.55
2014-01-08,31.58
2014-01-29,27.52
2014-02-05,23.16
2014-02-08,32.31
2014-02-11,27.65
2014-02-18,26.35
2014-02-21,25.9
2014-02-24,25.05
2014-02-24,27.27
2014-02-28,23.31
2014-03-03,23.57
2014-03-06,24.65
2014-03-10,28.86
2014-03-15,29.49
2014-03-18,25.87
2014-03-20,26.64
2014-04-06,22.87
2014-04-08,23.98
2014-04-12,27.64
2014-04-16,24.5
2014-04-26,26.67
2014-05-02,25.1
2014-05-07,29.56
2014-05-11,23.83
2014-05-14,26.04
2014-05-18,22.11
2014-05-22,24.87
2014-06-04,26.7
2014-06-09,26.88
2014-06-17,24.68
2014-06-27,25.57
2014-07-09,25.85
2014-07-25,25.27
2014-07-29,25.55
2014-07-30,24.33
2014-08-05,23.02
2014-08-06,23.02
2014-08-21,20.21
2014-09-05,24.5
2014-09-12,24.73
2014-09-16,24.09
2014-09-17,24.09
2014-09-20,24.65
2014-09-21,24.55
2014-09-24,24.55
2014-09-28,24.48
2014-10-03,24.84
2014-10-07,24.31
2014-10-15,25
2014-10-25,25.2
2014-10-26,27.03
2014-11-04,25.16
2014-11-09,24.8
2014-11-12,25.08
2014-11-21,25.19
2014-11-24,25.08
2014-11-28,25.05
2014-11-29,27.39
2014-12-02,24.82
2014-12-03,24.82
2014-12-05,24.82
2014-12-28,24.94
2015-01-04,25.45
2015-02-14,26.45
2015-02-19,25.42
2015-02-23,24.54
2015-02-28,26.42
2015-03-04,25.97
2015-03-12,25.19
2015-03-18,24.64
2015-03-19,25.4
2015-03-22,25.46
2015-03-24,25
2015-03-26,26.12
2015-03-29,25.11
2015-04-01,25.15
2015-04-05,24.97
2015-04-06,24.78
2015-04-08,24.76
2015-04-12,25.4
2015-04-15,23.37
2015-04-19,24.91
2015-04-22,23.92
2015-04-26,23.9
2015-04-30,23.9
2015-05-03,26.1
2015-05-07,26.1
2015-05-10,25.97
2015-05-16,26.37
2015-05-18,26.37
2015-05-20,26.37
2015-05-25,26.27
2015-06-01,26.15
2015-06-04,26.34
2015-06-06,25.57
2015-06-08,25.47
2015-06-11,25.99
2015-06-14,24.62
2015-06-18,24.99
2015-06-21,24.84
2015-06-24,23.5
2015-07-04,25.21
2015-07-05,22.59
2015-07-10,22.79
2015-07-15,23.21
2015-07-18,22.61
2015-07-22,23.42
2015-07-23,25.88
2015-07-25,22.63
2015-08-02,24.6
2015-08-06,22.94
2015-08-10,22.42
2015-08-14,22.7
2015-08-18,22.88
2015-08-18,23.05
2015-08-23,22.83
2015-08-27,23.35
2015-08-31,24.45
2015-09-05,22.69
2015-09-09,22.59
2015-09-13,22.67
2015-09-14,23
2015-09-16,22.69
2015-09-17,22.6
2015-09-23,22.77
2015-09-26,22.2
2015-09-30,21.74
2015-10-03,23.23
2015-11-04,19.05
2015-11-19,29.2
2015-11-22,27.96
2015-11-26,25.22
2015-11-27,26.08
2015-12-10,26.11
2015-12-15,25.05
2015-12-18,25.78
2015-12-22,26.73
2016-01-02,18.81
2016-01-03,18.62
2016-01-08,18.49
2016-01-09,18.92
2016-01-31,18.51
2016-02-15,19.03
2016-02-18,19.83
2016-02-19,19.83
2016-02-27,19.33
2016-03-02,21.59
2016-03-16,18.88
2016-03-20,19.2
2016-03-24,19.07
2016-03-27,18.8
2016-03-30,18.91
2016-04-02,18.67
2016-04-06,18.53
2016-04-10,18.77
2016-04-13,18.78
2016-04-27,19.07
2016-05-01,19.05
2016-05-11,18.76
2016-05-14,19.68
2016-05-18,19.97
2016-05-24,19.3
2016-05-28,19.56
2016-06-01,18.77
2016-06-04,19.54
2016-10-27,23.85
2016-10-31,23.91
2016-11-03,23.91
2016-11-05,24.16
2016-11-07,24.16
2016-11-09,24.25
2016-11-09,24.25
2016-11-10,24.27
2016-11-10,24.27
2016-11-13,24.36
2016-11-14,24.36
2016-11-16,24.32
2016-11-17,24.36
2016-11-21,31.49
2016-11-21,31.49
2016-11-24,31.49
2016-11-24,31.49
2016-11-25,31.49
