Time,Price
2014-04-14,420.29
2014-04-22,428.04
2014-04-26,428.33
2014-05-03,449.99
2014-05-04,449.96
2014-05-07,449.82
2014-05-08,419.67
2014-05-11,387.99
2014-05-14,299.99
2014-05-18,349.99
2014-06-04,380.99
2014-06-06,380.99
2014-06-09,249.99
2014-06-15,249.99
2014-07-11,341.36
2014-07-13,341.32
2014-07-26,299.99
2014-07-27,279.99
2014-07-30,364.99
2014-08-02,439.99
2014-08-06,326.37
2014-08-18,339.89
2014-08-22,340.21
2014-08-27,339.86
2014-08-31,341.34
2014-09-01,345.65
2014-09-06,319.99
2014-09-09,403.04
2014-09-12,403.04
2014-09-14,403.04
2014-09-18,403.04
2014-09-20,349.99
2014-09-21,349.99
2014-09-25,349.98
2014-09-28,249.99
2014-10-03,249.99
2014-10-04,306.99
2014-10-07,369.78
2014-10-08,369.24
2014-10-15,317.79
2014-10-22,221.99
2015-05-02,189.99
2015-05-03,249.99
2015-05-04,249.99
2015-10-01,389.31
2015-11-07,224.99
2015-11-20,309.29
2015-11-21,273.66
2015-11-21,274.02
2015-11-22,307.8
2015-11-22,307.8
2015-11-22,307.8
2015-11-22,307.8
2015-11-23,307.83
2015-11-24,307.99
2015-11-24,307.99
2015-11-25,306.97
2015-11-28,307
2015-11-28,307
2015-11-29,224.99
2015-11-29,224.99
2015-11-29,223.61
2015-12-01,250.51
2015-12-02,246.96
2015-12-03,246.96
2015-12-05,224.99
2015-12-06,307
2015-12-11,299.99
2015-12-12,299.99
2015-12-14,299.99
2015-12-15,299.99
2015-12-15,249.99
2015-12-16,249.99
2015-12-17,249.99
2015-12-18,249.99
2015-12-22,249.99
2015-12-23,308.61
2015-12-24,310.83
2015-12-31,239.4
2016-01-01,262.02
2016-01-03,394.22
2016-01-03,398.14
2016-01-04,383.98
2016-01-05,315.12
2016-01-06,315.12
2016-01-09,397.96
2016-01-14,383.03
2016-01-15,403.75
2016-02-06,349.99
2016-02-28,259.99
2016-02-29,262.67
2016-03-02,259.99
2016-03-19,224.99
2016-03-21,376.1
2016-03-21,376.1
2016-03-23,376.18
2016-03-24,377.04
2016-03-26,403.02
2016-03-27,403.02
2016-03-27,403.02
2016-03-28,299.99
2016-03-30,299.99
2016-04-01,299.99
2016-04-03,349
2016-04-04,299.99
2016-04-17,349
2016-04-29,372.1
2016-05-14,299
2016-05-27,299.99
2016-07-15,224.99
2016-07-17,299.99
2016-07-18,382.99
2016-08-09,246.61
2016-11-26,246.61
