Time,Price
2014-06-25,199.99
2014-07-02,199.99
2014-07-10,195.26
2014-07-11,195.25
2014-07-14,129.99
2014-07-14,129.99
2014-07-30,129.99
2014-08-01,129.99
2014-08-03,129.99
2014-08-06,129.99
2014-08-19,129.99
2014-08-22,129.99
2014-08-27,129.99
2014-08-30,129.99
2014-08-31,129.99
2014-08-31,149.99
2014-08-31,149.99
2014-08-31,149.99
2014-09-03,149.99
2014-09-05,149.99
2014-09-11,149.99
2014-09-14,149.99
2014-09-14,129.99
2014-09-22,129.99
2014-09-23,129.99
2014-10-01,129.99
2014-10-22,129.99
2014-10-23,129.99
2014-10-27,129.99
2014-10-27,129.99
2014-11-01,129.99
2014-11-05,129.99
2014-11-06,129.99
2014-11-06,124.99
2014-11-07,124.99
2014-11-07,124.99
2014-11-09,124.99
2014-11-12,124.99
2014-11-17,129.99
2014-11-20,129.99
2014-11-21,124.99
2014-11-21,129.99
2014-11-23,129.99
2014-11-23,119.26
2014-11-23,129.99
2014-11-23,124.99
2014-11-26,129.99
2014-12-03,129.99
2014-12-03,129.99
2014-12-05,129.99
2014-12-05,129.99
2014-12-10,129.99
2014-12-11,129.99
2014-12-17,129.99
2014-12-17,129.99
2014-12-27,129.99
2015-01-01,129.99
2015-01-07,129.99
2015-02-18,129.99
2015-02-18,129.99
2015-02-20,129.99
2015-02-22,129.99
2015-02-22,129.99
2015-03-08,129.99
2015-03-09,129.99
2015-03-10,129.99
2015-03-11,129.99
2015-03-13,129.99
2015-03-14,119.99
2015-03-14,119.99
2015-03-14,119.99
2015-03-15,119.99
2015-03-16,119.99
2015-03-20,119.99
2015-03-20,119.99
2015-03-22,119.99
2015-03-22,119.99
2015-03-25,119.99
2015-03-26,119.99
2015-03-29,119.99
2015-04-02,119.99
2015-04-03,119.99
2015-04-06,119.99
2015-04-08,129.99
2015-04-08,129.99
2015-04-09,119.99
2015-04-13,129.99
2015-04-14,129.99
2015-04-14,129.99
2015-04-24,128.26
2015-04-25,124.68
2015-04-25,124.68
2015-04-25,123.85
2015-04-26,129.99
2015-04-29,129.99
2015-04-30,129.99
2015-04-30,129.99
2015-05-02,129.99
2015-05-05,129.99
2015-05-06,129.99
2015-05-07,129.99
2015-05-13,129.99
2015-05-13,129.99
2015-05-15,129.99
2015-05-18,129.99
2015-05-19,129.99
2015-05-25,129.99
2015-05-31,129.99
2015-06-01,129.99
2015-06-04,129.99
2015-06-08,129.99
2015-06-08,129.99
2015-06-09,129.99
2015-06-09,129.99
2015-06-17,129.99
2015-06-20,129
2015-06-22,129
2015-06-23,129
2015-06-25,129
2015-06-25,129
2015-06-25,129
2015-06-25,129
2015-06-26,129
2015-06-26,129
2015-06-27,129
2015-06-27,128.43
2015-06-28,128.91
2015-06-28,127.26
2015-06-28,127.26
2015-06-29,124.32
2015-06-29,122.84
2015-06-29,120.3
2015-06-30,124.32
2015-06-30,123.88
2015-07-03,121.72
2015-07-03,120.24
2015-07-03,121.62
2015-07-04,120.24
2015-07-06,120.14
2015-07-06,120.24
2015-07-07,120.14
2015-07-07,120.14
2015-07-09,120.14
2015-07-09,119.99
2015-07-10,119.74
2015-07-11,119.99
2015-07-13,119.74
2015-07-14,119.74
2015-07-16,117.12
2015-07-17,114.99
2015-07-20,114.99
2015-07-25,109.99
2015-07-29,109.99
2015-07-30,109.99
2015-08-01,109.99
2015-08-03,129.99
2015-08-04,109.99
2015-08-05,109.99
2015-08-09,109.99
2015-08-10,109.99
2015-08-16,109.99
2015-08-22,109.99
2015-08-29,109.99
2015-09-01,109.99
2015-09-08,99.99
2015-09-09,99.99
2015-09-11,99.99
2015-09-15,99.99
2015-09-23,99.99
2015-09-25,99.99
2015-09-28,109.99
2015-10-01,109.99
2015-10-04,109.99
2015-11-14,94.99
2015-11-23,94.99
2015-11-24,94.99
2015-11-26,94.99
2015-11-26,94.99
