Time,Price
2012-06-01,55.46
2012-06-07,54.98
2012-06-08,54.98
2012-06-09,55.42
2012-06-10,55.42
2012-06-13,55.46
2012-06-14,55.46
2012-06-15,55.46
2012-06-16,55.46
2012-06-21,55.04
2012-06-22,53.51
2012-06-23,55.04
2012-06-26,54.98
2012-06-29,54.98
2012-06-29,54.98
2012-06-30,53.98
2012-07-02,49.53
2012-07-03,49.53
2012-07-03,53.98
2012-07-04,54.98
2012-07-06,54.98
2012-07-06,55.46
2012-07-10,55.46
2012-07-11,55.46
2012-07-12,53.98
2012-07-13,52.85
2012-07-17,52.85
2012-07-17,52.85
2012-07-19,52.85
2012-07-20,52.85
2012-07-20,55.46
2012-07-21,55.46
2012-07-25,54.74
2012-07-26,54.95
2012-07-27,54.85
2012-07-27,54.95
2012-07-31,54.91
2012-08-02,54.96
2012-08-03,55.55
2012-08-04,55.23
2012-08-08,55.23
2012-08-19,55.63
2012-08-20,55.23
2012-08-21,54.99
2012-08-22,54.99
2012-08-24,55.23
2012-08-25,55.23
2012-08-27,55.23
2012-08-29,55.23
2012-09-01,55.23
2012-09-03,55.23
2012-09-04,55.23
2012-09-05,55.23
2012-09-10,55.22
2012-09-13,55.22
2012-09-15,56.29
2012-09-18,55.23
2012-09-21,55.23
2012-09-28,55.23
2012-10-02,55.23
2012-10-05,55.23
2012-10-08,55.23
2012-10-09,55.23
2012-10-11,54.02
2012-10-16,52.24
2012-10-19,55.23
2012-10-24,52.72
2012-10-29,52.72
2012-10-30,46.49
2012-10-31,46.49
2012-11-01,46.99
2012-11-02,46.99
2012-11-04,47.49
2012-11-06,46.49
2012-11-07,46.49
2012-11-09,47.49
2012-11-11,57.09
2012-11-13,44.99
2012-11-13,49.99
2012-11-16,53.98
2012-11-18,49.99
2012-11-19,53.98
2012-11-21,57.09
2012-11-22,57.09
2012-11-24,57.09
2012-11-25,57.09
2012-11-27,50.25
2012-11-30,50.25
2012-12-02,50.49
2012-12-02,50.49
2012-12-03,46.49
2012-12-04,46.49
2012-12-06,46.49
2012-12-13,50.49
2012-12-15,50.49
2012-12-17,52.08
2012-12-18,56.7
2012-12-22,56.49
2012-12-28,58.17
2013-01-01,58.32
2013-01-03,52.08
2013-01-04,51.56
2013-01-06,52.04
2013-01-07,58.11
2013-01-10,58.11
2013-01-11,52.48
2013-01-13,52.54
2013-01-14,52.53
2013-01-15,52.48
2013-01-17,52.48
2013-01-19,50.93
2013-01-21,50.97
