Time,Price
2013-02-12,23.31
2013-02-13,23.22
2013-02-14,23.17
2013-02-17,22.81
2013-02-18,22.87
2013-02-20,22.72
2013-02-22,22.52
2013-02-23,22.51
2013-02-27,22.5
2013-03-01,22.51
2013-03-03,22.51
2013-03-05,22.51
2013-03-07,22.52
2013-03-08,22.51
2013-03-11,22.51
2013-03-13,22.51
2013-03-17,22.52
2013-03-18,22.51
2013-03-30,22.48
2013-03-30,21.95
2013-03-31,22.48
2013-04-01,22.48
2013-04-03,22.46
2013-04-05,22.46
2013-04-06,22.51
2013-04-08,22.47
2014-02-08,24.95
2014-02-09,24.47
2014-02-11,24.47
2014-02-12,24.35
2014-02-14,24.45
2014-02-17,22.66
2014-02-19,24.47
2014-02-19,24.47
2014-02-22,24.55
2014-02-23,24.95
2014-03-04,24.95
2014-03-06,24.95
2014-03-09,24.95
2014-03-11,24.84
2014-03-13,24.8
2014-03-20,24.07
2014-03-20,24.07
2014-03-22,22.74
2014-03-24,21.9
2014-03-25,21.29
2014-03-27,23.14
2014-04-01,22.95
2014-04-04,21.18
2014-04-06,22.21
2014-04-08,22.21
2014-04-10,21.44
2014-04-12,21.43
2014-04-14,21.44
2014-04-19,21.21
2015-02-16,23.01
2015-02-20,20.59
2015-02-26,21.86
2015-03-04,23.97
2015-03-08,22.99
2015-03-10,22.99
2015-03-11,22.99
2015-03-11,22
2015-03-12,22
2015-03-16,22
2015-03-17,22
2015-03-18,24.36
2015-03-19,22
2015-03-20,22
2015-03-21,22
2015-03-22,23.76
2015-03-23,24.94
2015-03-24,24.94
2015-03-24,24.47
2015-03-24,24.47
2015-03-26,24.47
2015-03-28,24.47
2015-03-28,24.47
2015-03-29,24.47
2015-03-29,24.47
2015-03-30,24.47
2015-03-31,24.47
2015-03-31,24.47
2015-04-02,24.47
2015-04-02,24.47
2015-04-03,24.47
2015-04-04,23.36
2015-04-06,23.36
2015-04-07,23.44
2015-04-07,23.82
2015-04-08,23.36
2015-04-09,23.36
2015-04-09,23.18
2015-04-21,23.21
2015-04-24,23.18
2015-04-24,23.18
2015-05-01,23.18
2015-05-03,23.18
2015-05-14,19.24
2015-05-20,19
2016-10-30,18.48
2016-10-31,18.28
2016-11-04,18.47
2016-11-09,18.38
2016-11-12,18.1
2016-11-13,18.93
2016-11-16,18.99
2016-11-20,19.09
2016-11-20,21.59
