Time,Price
2015-08-28,112.62
2015-11-13,112.62
2016-11-26,112.62
2014-06-09,149.99
2014-06-11,149.99
2014-06-16,139.75
2014-06-17,139.75
2014-07-12,129.99
2014-07-23,129.99
2014-08-09,129.99
2014-08-16,129.99
2014-08-28,129.99
2014-08-30,129.99
2014-09-01,129.99
2014-09-03,129.99
2014-09-04,129.99
2014-09-05,129.99
2014-09-06,129.99
2014-09-07,129.99
2014-09-08,129.99
2014-09-09,129.99
2014-09-10,129.99
2014-09-12,129.99
2014-09-15,129.99
2014-09-15,129.99
2014-09-16,129.99
2014-09-17,129.99
2014-09-18,129.99
2014-09-18,129.99
2014-09-19,129.99
2014-09-20,129.99
2014-09-21,129.99
2014-09-22,129.99
2014-09-23,129.99
2014-09-25,129.99
2014-09-26,122.58
2014-09-27,122.58
2014-09-28,121.62
2014-09-28,117.72
2014-09-29,121.09
2014-09-29,121.09
2014-09-30,121.08
2014-09-30,120.00
2014-09-30,120.00
2014-10-04,120.00
2014-10-05,120.00
2014-10-06,120.00
2014-10-07,120.00
2014-10-07,120.00
2014-10-08,120.00
2014-10-09,120.00
2014-10-10,120.00
2014-10-11,120.00
2014-10-12,120.00
2014-10-13,120.00
2014-10-14,132.90
2014-10-14,132.90
2014-10-15,132.90
2014-10-15,132.90
2014-10-18,132.90
2014-10-19,132.90
2014-10-20,132.90
2014-10-23,132.90
2014-10-23,122.72
2014-10-23,132.90
2014-10-23,132.90
2014-10-28,132.90
2014-10-29,118.70
2014-11-15,117.40
2014-11-18,117.40
2014-11-19,117.40
2014-11-25,117.40
2014-11-29,117.40
2014-12-04,117.40
2014-12-08,118.70
2014-12-09,118.70
2015-01-03,166.23
2015-02-12,143.19
2015-02-27,166.23
2015-03-05,165.73
2015-03-24,185.73
2015-03-25,173.80
2015-03-26,173.80
2015-03-27,180.08
2015-03-28,166.22
2015-03-28,173.80
2015-03-30,132.18
2015-03-31,173.80
2015-04-01,132.18
2015-04-02,134.05
2015-04-04,132.94
2015-04-13,122.54
2015-04-15,121.09
2015-04-17,115.85
2015-04-18,114.40
2015-04-19,111.73
2015-04-23,112.84
2015-04-25,112.79
2015-04-27,112.61
2015-05-11,114.41
2015-05-12,114.41
2015-05-12,114.41
2015-05-13,113.74
2015-05-14,113.74
2015-05-15,113.61
2015-05-15,113.61
2015-05-16,114.14
2015-05-16,114.14
2015-05-17,114.14
2015-05-18,113.44
2015-05-18,113.44
2015-05-19,113.44
2015-05-20,113.25
2015-05-21,113.25
2015-05-22,112.28
2015-05-22,112.62
2015-05-23,112.62
2015-05-24,112.62
2015-05-24,112.62
2015-05-25,112.62
2015-05-31,112.62
2015-06-01,112.62
2015-06-06,112.62
2015-06-06,112.62
2015-06-08,112.62
2015-06-09,112.62
2015-06-25,112.62
2015-06-29,112.62
2015-06-29,112.62
2015-06-30,112.62
2015-07-03,112.62
2015-07-04,112.62
2015-07-05,112.62
2015-07-06,112.62
2015-07-06,112.62
2015-07-08,112.62
2015-07-09,112.62
2015-07-09,112.62
2015-07-10,112.62
2015-07-11,112.62
2015-07-12,112.62
2015-07-13,112.62
2015-07-14,112.62
2015-07-14,112.62
2015-07-17,112.62
2015-07-18,112.62
2015-07-21,112.62
2015-08-05,112.62
2015-08-05,112.62
2015-08-06,112.62
2015-08-08,112.62
2015-08-09,112.62
2015-08-10,112.62
2015-08-11,112.62
2015-08-12,112.62
2015-08-12,112.62
2015-08-25,112.62
2015-08-26,112.62
2015-09-06,123.59
2015-09-17,134.47
2015-09-17,150.86
2015-09-19,152.44
2015-09-20,150.22
2015-09-20,133.78
2015-09-21,151.54
2015-09-21,151.55
2015-09-22,152.37
2015-09-22,149.96
2015-09-22,154.01
2015-09-23,150.25
2015-09-23,151.06
2015-09-24,150.53
2015-09-24,160.97
2015-09-27,154.42
2015-09-30,164.42
2015-09-30,154.42
2015-10-03,131.68
2015-10-03,154.42
2015-10-04,150.60
2015-10-04,151.10
2015-10-05,160.97
2015-10-06,131.68
2015-10-07,112.62
2015-10-24,112.62
2016-11-26,62.74
2016-11-27,62.74
