Time,Price
2013-04-22,25.89
2013-05-09,32.99
2013-05-13,28.88
2013-05-31,31.44
2013-07-09,28.86
2013-08-07,31.44
2013-08-09,28.86
2013-10-07,31.44
2013-10-08,28.86
2014-04-16,28.86
2014-04-23,30.38
2014-04-25,28.86
2014-05-02,28.86
2014-05-25,31.98
2014-06-25,31.74
2014-07-23,26.98
2014-07-30,31.74
2014-08-05,26.98
2014-08-18,31.74
2016-10-28,27.96
2016-11-03,25.58
2016-11-07,25.58
2016-11-08,25.58
2016-11-12,25.58
2016-11-15,25.58
2016-11-17,25.58
2016-11-19,25.58
2016-11-19,25.58
2016-11-22,25.58
2016-11-23,25.58
2016-11-24,25.58
2016-11-25,25.58
2016-11-25,25.58
2016-11-26,25.58
