Time,Price
2012-10-25,32.6
2012-10-26,32.6
2012-11-07,30.55
2012-11-11,30.55
2012-11-12,30.55
2012-11-13,30.55
2012-11-14,30.55
2012-11-15,30.36
2012-11-21,30.36
2012-11-25,30.36
2012-11-28,30.46
2012-11-29,30.46
2012-11-29,32.89
2012-11-29,32.89
2012-11-30,31.96
2012-12-01,32.89
2012-12-01,32.89
2012-12-03,32.89
2012-12-03,31.96
2012-12-03,31.96
2012-12-04,32.89
2012-12-05,32.89
2012-12-06,32.89
2012-12-06,32.89
2012-12-07,32.99
2012-12-09,32.84
2012-12-12,31.82
2012-12-14,30.6
2012-12-16,33.18
2012-12-19,28.64
2012-12-19,28.07
2012-12-19,28.07
2012-12-20,32.02
2012-12-20,32.02
2012-12-21,32.02
2012-12-21,32.02
2012-12-22,32.89
2012-12-28,32.89
2013-01-03,32.89
2013-01-05,32.89
2013-01-09,34.27
2013-01-12,35.77
2013-01-15,34.27
2013-01-16,31.27
2013-01-21,34.27
2013-01-26,34.27
2013-01-30,34.27
2013-02-01,34.27
2013-02-02,33.25
2013-02-07,34.27
2013-02-09,34.27
2013-02-10,33.61
2013-02-10,33.67
2013-02-11,34.27
2013-02-12,33.74
2013-02-13,35.64
2013-02-13,35.64
2013-02-18,36.33
2013-02-19,36.33
2013-02-19,36.33
2013-02-20,35.99
2013-02-21,36.33
2013-02-22,36.33
2013-02-23,35.99
2013-02-24,35.99
2013-03-06,36.33
2013-03-06,36.33
2013-03-08,36.33
2013-03-09,36.33
2013-03-09,36.33
2013-03-22,36.33
2013-03-28,40.19
2013-03-29,40.19
2013-03-30,40.19
2013-04-01,39.71
2013-04-02,39.71
2013-04-03,39.71
2013-04-05,39.71
2013-04-07,39.71
2013-04-08,39.71
2013-04-08,39.71
2013-04-10,39.71
2013-04-11,39.71
2013-04-12,36.34
2013-04-13,36.34
2013-04-13,36.34
2013-04-18,36.34
2013-04-19,36.34
2013-04-22,36.34
2013-04-23,36.34
2013-04-24,36.34
2013-04-25,43.63
2013-04-26,44.26
2013-04-27,44.26
2013-04-28,44.26
2013-05-01,44.26
2013-05-02,46.38
2013-05-03,46.38
2013-05-03,46.38
2013-05-04,46.38
2013-05-05,46.38
2013-05-07,46.38
2013-05-08,46.38
2013-05-08,46.38
2013-05-08,44.54
2013-05-09,44.54
2013-05-10,44.26
2013-05-11,44.26
2013-05-12,44.29
2013-05-13,44.29
2013-05-14,44.33
2013-05-15,44.36
2013-05-16,44.26
2013-05-17,44.26
2013-05-17,43.29
2013-05-18,43.29
2013-05-20,44.26
2013-05-22,44.87
2013-05-22,44.87
2013-05-23,45.01
2013-05-24,45.01
2013-05-25,45.35
2013-05-26,45.17
2013-05-26,45.17
2013-05-28,45.75
2013-05-29,45.75
2013-05-30,45.14
2013-05-31,44.26
2013-05-31,44.26
2013-06-01,44.26
2013-06-02,44.26
2013-06-03,44.35
2013-06-05,44.26
2013-06-07,44.26
2013-06-08,44.26
2013-06-10,44.26
2013-06-14,44.26
2013-06-18,44.26
2013-06-21,44.26
2013-10-30,31.13
2013-10-31,32.48
2013-11-01,30.16
2013-11-02,30.58
2013-11-03,30.6
2013-11-04,29.28
2013-11-05,27.07
2013-11-07,28.62
2013-11-09,29.71
2013-11-09,32.27
2013-11-10,26.25
2013-11-11,26.25
2013-11-21,26.25
2013-11-25,34.25
2013-11-26,29.31
2013-11-27,30.02
2013-11-28,32.74
2013-11-29,33.26
2013-11-29,33.26
2013-12-01,26.81
2013-12-02,30.86
2013-12-04,29.67
2013-12-05,34.08
2013-12-07,32.4
2013-12-08,30.99
2013-12-10,34.3
2013-12-11,33.07
2013-12-12,33.1
2013-12-13,37.36
2013-12-14,36.77
2013-12-15,36.81
2013-12-16,35.71
2013-12-17,34.28
2013-12-22,32.59
2013-12-23,29.1
2013-12-25,33.97
2013-12-26,34.4
2013-12-28,34.28
2013-12-29,34.95
2013-12-30,33.88
2013-12-31,33.18
2014-01-01,33.18
2014-01-05,33.18
2014-01-08,36.08
2014-01-09,36.08
2014-01-11,36.36
2014-01-12,36.36
2014-01-16,37.6
2014-01-17,37.49
2014-01-19,36.32
2014-01-20,36.32
2014-01-29,35.49
2014-01-30,35.47
2014-02-01,35.47
2014-02-02,35.47
2014-02-03,35.47
2014-02-04,36.78
2014-02-05,36.86
2014-02-08,35.76
2014-02-09,36.02
2014-02-11,36.02
2014-02-12,35.56
2014-02-14,36.61
