Time,Price
2012-06-02,164.19
2012-06-26,164.19
2012-06-27,152.24
2012-06-28,152.24
2012-06-28,140.29
2012-06-29,140.29
2012-06-29,140.29
2012-07-01,140.29
2012-07-02,171.93
2012-07-04,171.93
2012-07-04,171.93
2012-07-05,164.36
2012-07-07,164.36
2012-07-16,164.36
2012-07-19,164.36
2012-07-19,164.36
2012-07-24,164.35
2012-07-31,164.22
2012-08-02,163.98
2012-09-04,164.08
2012-09-10,146.1
2012-09-14,146.1
2012-09-19,160.99
2012-09-22,160.99
2012-09-23,160.99
2013-04-01,161.99
2013-04-03,153
2013-04-04,163.98
2013-04-05,163.98
2013-04-10,161.99
2013-04-17,161.99
2013-04-22,152.52
2013-04-25,153.74
2013-04-26,152.52
2013-04-28,141
2013-05-01,152.52
2013-05-03,152.52
2013-05-04,152.52
2013-05-14,165
2013-05-15,165
2013-05-16,165
2013-05-17,165
2013-05-18,153.54
2013-05-20,153.54
2013-05-20,153.54
2013-05-24,153.54
2013-05-25,152.52
2013-05-27,152.52
2013-05-29,152.52
2013-06-02,152.52
2013-06-03,152.52
2013-06-06,152.52
2013-06-09,152.52
2013-06-16,152.52
2013-06-20,155.5
2013-06-23,154.52
2013-06-26,154.52
2013-06-29,154.52
2013-06-30,154.52
2013-07-09,154.52
2013-07-11,153.54
2013-07-12,153.54
2013-07-14,153.54
2013-07-15,153.54
2013-07-20,152.52
2013-07-20,152.52
2013-07-21,152.52
2013-07-24,152.52
2013-07-26,152.52
2013-07-27,152.52
2013-07-27,152.52
2013-07-29,152.52
2013-07-30,152.52
2013-07-31,152.52
2013-08-01,152.52
2013-08-02,152.52
2013-08-11,152.52
2013-08-19,149.99
2013-08-21,152.52
2013-08-22,168.28
2013-08-24,156.01
2013-08-25,155.55
2013-08-27,155.55
2013-08-30,155.55
2013-09-01,150.14
2013-09-02,155.55
2013-09-04,155.55
2013-09-05,165.99
2013-09-07,148.89
2013-09-13,148.89
2013-09-16,148.89
2013-09-17,148.56
2013-09-18,148.56
2013-09-23,148.56
