Time,Price
2012-06-01,159.99
2012-06-08,159.99
2012-06-13,179.99
2012-06-14,157.04
2012-06-16,159.99
2012-06-29,159.99
2012-07-03,157.04
2012-07-03,159.99
2012-07-04,157.04
2012-07-07,154.09
2012-07-10,151.14
2012-07-10,159.99
2012-07-11,159.99
2012-07-14,151.14
2012-07-14,157.04
2012-07-16,157.04
2012-07-17,159.99
2012-07-17,159.99
2012-07-18,154.09
2012-07-19,159.99
2012-07-19,154.09
2012-07-19,154.09
2012-07-20,154.09
2012-07-21,157.04
2012-07-21,157.04
2012-07-24,154.09
2012-07-24,154.09
2012-07-25,157.04
2012-07-26,151.14
2012-07-26,157.04
2012-07-27,157.04
2012-07-27,157.04
2012-07-27,145.95
2012-07-28,157.04
2012-07-30,151.14
2012-07-31,156.04
2012-08-01,158.99
2012-08-15,158.99
2012-08-16,158.99
2012-08-16,158.99
2012-08-17,158.99
2012-08-21,158.99
2012-08-23,158.99
2012-08-25,158.99
2012-08-26,158.99
2012-09-01,156.04
2012-09-05,153.09
2012-09-10,152.09
2012-09-11,159.99
2012-09-11,159.99
2012-09-12,159.99
2012-09-13,152.09
2012-09-13,157.04
2012-09-14,157.04
2012-09-15,157.04
2012-09-18,155.99
2012-09-19,153.04
2012-09-19,153.04
2012-09-20,150.99
2012-09-24,150.99
2012-09-25,150.99
2012-09-27,150.99
2012-10-02,159.99
2012-10-03,168.97
2012-10-04,157.04
2012-10-05,166.02
2012-10-08,176.16
2012-10-08,166.02
2012-10-09,159.99
2012-10-11,176.16
2012-10-11,163.07
2012-10-12,159.99
2012-10-16,157.04
2012-10-20,154.09
2012-10-25,159.99
2012-10-25,159.99
2012-10-26,159.99
2012-10-26,154.09
2012-10-28,157.04
2012-10-29,157.04
2012-10-30,154.09
2012-11-20,159.99
2012-11-21,154.09
2012-11-22,159.99
2012-11-23,154.09
2012-11-28,154.09
2012-11-30,154.09
2012-11-30,149.99
2012-12-14,145.18
2012-12-20,130.66
2013-01-01,155.15
2013-01-04,155.15
2013-01-09,165.12
2013-01-10,165.12
2013-01-13,165.12
2013-01-21,165.12
2013-01-22,165.12
2013-02-14,165.12
2013-02-16,165.12
2013-02-28,179.94
2013-03-01,165.12
2013-03-07,179.94
2013-03-12,188.51
2013-03-13,191.98
2013-03-14,169.97
2013-03-17,169.97
2013-03-25,169.97
2013-03-26,169.97
2013-03-28,169.97
2013-04-01,169.97
2013-04-01,168.76
2013-04-02,168.76
2013-04-02,164.98
2013-04-03,168.76
2013-04-05,150.99
2013-04-05,150.99
2013-04-07,150.99
2013-04-17,165
2013-04-21,165
2013-04-23,165
2013-04-24,159.97
2013-05-03,159.97
2013-05-09,159.97
2013-05-10,141
2013-05-11,141
2013-05-14,159.97
2013-05-16,159.97
2013-05-17,159.97
2013-05-23,155
2013-05-23,155
2013-05-23,155
2013-05-24,155
2013-05-31,155
2013-06-02,156.48
2013-06-02,156.48
2013-06-05,164.79
2013-06-06,156.48
2013-06-08,156.48
2013-06-09,156.48
2013-06-20,156.48
2013-06-21,153.97
2013-06-23,153.97
2013-06-26,153.97
2013-06-28,153.97
2013-07-01,153.97
2013-07-17,153.97
2013-07-18,153.97
2013-07-20,153.97
2013-07-21,153.97
2013-07-26,153.97
2013-08-09,153.97
2013-08-20,153.97
2013-08-30,158.94
2013-09-05,158.94
2013-09-06,158.94
2013-09-07,158.94
2013-09-07,158.94
2013-09-13,158.94
2013-09-15,158.94
2013-09-22,153.97
2013-09-26,149
2013-09-30,149
2013-10-02,149
2013-10-03,149
2013-10-05,149
2013-10-05,149
2013-10-06,149
2013-10-08,149
2013-10-09,145.33
2013-10-10,149
2013-10-10,149
2013-10-23,149
2013-10-24,149
2013-11-10,149
2013-11-16,149
2013-11-19,149
2013-11-29,134.98
2013-11-30,129.96
2013-12-08,139
2013-12-10,139
2013-12-12,139
2013-12-18,139
2013-12-21,139
2013-12-24,139
2013-12-25,139
2013-12-27,139
2013-12-28,139
2013-12-30,139
2013-12-31,139
2013-12-31,139
2014-01-02,172.12
2014-01-04,172.12
2014-01-05,172.12
2014-01-09,172.12
2014-01-11,172.12
2014-01-14,149
2014-01-20,149
2014-01-27,149
2014-02-03,149
2014-02-15,153.03
2014-02-16,153.01
2014-02-16,153.01
2014-02-17,154.84
2014-02-20,154.84
2014-02-21,154.64
2014-02-22,154.64
2014-02-22,154.61
2014-03-05,162.49
2014-03-05,162.49
2014-03-05,158.21
2014-03-06,162.49
2014-03-07,154.84
2014-03-25,162.79
2014-03-29,154.84
2014-03-29,154.84
2014-03-29,154.84
2014-03-31,159.99
2014-04-01,158.45
2014-04-01,154.84
2014-04-16,162.79
2014-04-17,162.79
2014-04-18,170.99
2014-04-21,154.84
2014-04-23,154.84
2014-04-24,154.84
2014-04-28,162.79
2014-05-02,154.84
2014-05-08,154.84
2014-05-09,154.84
2014-05-16,162.79
2014-05-17,154.84
2014-05-18,154.84
2014-05-19,154.84
2014-05-20,154.84
2014-05-22,162.79
2014-05-22,154.84
2014-05-26,159
2014-05-29,166.99
2014-05-31,166.99
2014-05-31,170.99
2014-06-01,172.12
2014-06-02,171.53
2014-06-03,172.12
2014-06-04,154.84
2014-07-11,154.84
2014-07-11,154.84
2014-07-18,154.84
2014-07-19,154.84
2014-07-22,154.84
2014-07-23,154.84
2014-08-01,154.84
2014-08-03,154.84
2014-08-04,154.84
2014-08-05,154.84
2014-08-05,154.84
2014-08-06,154.84
2014-08-06,154.84
2014-08-20,154.84
2014-08-21,154.84
2014-08-26,154.84
2014-08-28,154.84
2014-08-29,154.84
2014-09-03,154.84
2014-09-03,154.84
2014-09-03,154.84
2014-09-04,154.84
2014-09-06,154.84
2014-09-09,154.84
2014-09-10,154.84
2014-09-10,154.84
2014-09-10,154.84
2014-09-16,172.12
2014-09-19,172.12
2014-09-19,172.12
2014-09-20,158.44
2014-09-20,158.44
2014-09-21,168.61
2014-09-21,168.61
2014-09-22,168.61
2014-09-22,158.44
2014-09-22,158.44
2014-09-23,158.44
2014-09-23,168.61
2014-09-24,158.44
2014-09-26,158.44
2014-10-01,172.12
2014-10-04,172.12
2014-10-07,170.99
2014-10-07,170.99
2014-10-14,170.99
2014-10-21,170.99
2014-10-23,170.99
2014-10-25,170.99
2014-10-25,162.95
2014-10-25,162.95
2014-10-31,162.95
2014-11-07,162.95
2014-11-09,162.95
2014-11-12,162.95
2014-11-12,162.95
2014-11-17,162.95
2014-11-19,162.95
2014-11-19,162.95
2014-11-23,162.95
2014-11-23,162.94
2014-11-24,161.99
2014-12-02,161.99
2014-12-03,161.99
2014-12-04,161.98
2014-12-10,161.98
2014-12-11,161.98
2014-12-12,161.98
2014-12-13,161.98
2014-12-16,158.99
2014-12-18,158.99
2014-12-18,158.99
2014-12-19,158.99
2014-12-20,158.99
2014-12-23,172.12
2014-12-25,158.99
2014-12-26,172.12
2014-12-26,172.12
2014-12-27,172.12
2014-12-28,179
2014-12-29,179
2014-12-30,179
2014-12-30,179
2014-12-31,172.12
2015-01-01,179
2015-01-07,178.97
2015-01-08,158.99
2015-01-09,173.99
2015-01-10,158.99
2015-01-11,173.99
2015-01-12,158.99
2015-01-12,158.99
2015-01-15,158.99
2015-01-22,158.99
2015-01-26,158.99
2015-01-30,158.99
2015-02-03,158.99
2015-02-15,158.99
2015-02-15,158.99
2015-02-23,158.99
2015-02-25,158.99
2015-02-26,158.99
2015-03-02,158.99
2015-03-17,158.99
2015-03-18,169
2015-03-19,169
2015-03-20,158.99
2015-03-26,158.99
2015-03-29,158.99
2015-04-03,158.99
2015-04-05,158.99
2015-04-05,158.99
2015-04-06,158.99
2015-04-07,158.99
2015-04-13,173.99
2015-04-14,158.99
2015-04-18,158.99
2015-04-23,158.99
2015-04-29,158.99
2015-05-03,158.99
2015-05-13,158.99
2015-05-13,158.99
2015-05-19,158.99
2015-05-20,158.99
2015-05-20,158.99
2015-05-21,158.99
2015-05-25,158.99
2015-05-26,158.99
2015-05-28,158.99
2015-06-01,158.99
2015-06-02,158.99
2015-06-04,158.99
2015-06-05,158.99
2015-06-06,158.99
2015-06-06,158.99
2015-06-08,158.99
2015-06-09,158.99
2015-06-11,158.99
2015-06-11,158.99
2015-06-13,149
2015-06-16,149
2015-06-16,149
2015-06-17,149
2015-06-17,149
2015-06-18,149
2015-06-20,149
2015-06-26,149
2015-06-26,149
2015-06-26,149
2015-06-28,149
2015-06-29,149
2015-06-29,149
2015-07-10,149
2015-07-13,149
2015-07-17,149
2015-07-19,149
2015-07-24,149
2015-07-28,149
2015-08-04,149
2015-08-08,149
2015-08-10,149
2015-08-11,149
2015-08-13,149
2015-08-14,158.99
2015-08-14,158.99
2015-08-15,149
2015-08-18,149
2015-08-19,149
2015-08-19,149
2015-08-20,181.99
2015-08-21,181.99
2015-08-22,149
2015-08-23,181.99
2015-08-24,174.95
2015-08-25,149
2015-08-25,149
2015-08-26,149
2015-08-27,149
2015-08-29,149
2015-08-31,149
2015-09-11,149
2015-09-12,149
2015-09-17,149
2015-09-19,149
2015-09-23,149
2015-09-24,149
2015-09-24,158.99
2015-09-25,158.99
2015-09-25,158.99
2015-09-29,153.54
2015-09-30,153.54
2015-09-30,153.54
2015-09-30,153.54
2015-10-01,149
2015-10-01,149
2015-10-04,149
2015-10-04,149
2015-11-03,149
2015-11-05,149
