Time,Price
2013-07-31,124.75
2013-08-01,124.75
2013-08-07,129.99
2013-08-09,129.99
2013-08-21,129.99
2013-08-22,136.98
2013-08-24,136.98
2013-09-01,136.98
2013-09-04,130
2013-09-07,130
2013-09-08,130
2013-09-29,129
2013-10-09,129
2013-10-12,129
2013-11-04,129
2013-11-19,124.99
2013-11-21,124.99
2013-11-24,129
2014-04-05,129
2014-04-09,129
2014-04-11,129
2014-04-13,129
2014-04-16,129
2014-04-17,129
2014-04-22,129
2014-04-25,129
2014-05-06,129
2014-05-08,129
2014-05-09,129
2014-05-20,129
2014-05-22,129
2014-05-26,129
2014-05-29,129
2014-06-06,129
2014-06-16,129
2014-07-08,129
2014-07-10,129
2014-09-24,139
2014-09-25,139
2014-09-26,139
2014-09-26,139
2014-09-28,139
2014-09-29,139
2014-10-01,135.49
2014-10-03,129
2014-10-04,129
2014-10-10,129
2014-10-15,129
2014-10-16,129
2014-10-24,129
2014-10-25,129
2014-10-27,129
2014-10-28,129
2014-11-04,129
2014-11-08,129
2014-11-10,129
2014-11-10,129
2014-11-11,129
2014-11-12,129
2014-11-18,129
2014-11-18,129
2014-11-20,129
2014-11-22,129
2014-11-28,129
2014-11-30,129
2014-12-01,129
2014-12-03,129
2014-12-04,129.99
2014-12-05,129.99
2014-12-07,129.99
2014-12-11,129.99
2014-12-11,134.99
2014-12-12,134.99
2014-12-13,129.99
2014-12-15,139
2015-03-18,129
2015-03-20,129
2015-04-15,129
2015-04-17,139
2015-04-17,129
2015-04-19,129
2015-04-20,129
2015-04-23,129
2015-04-24,129
2015-04-29,129
2015-05-13,129
2015-05-13,129
2015-05-15,129
2015-05-15,129
2015-06-08,129
2015-06-09,129
2015-06-11,135.49
2015-06-15,129
2015-06-30,135.49
2015-08-12,139
2015-08-13,129
2015-08-15,129
2015-08-22,129
2015-08-23,129
2015-08-25,139
2015-08-27,125
2015-09-12,125
2015-09-14,125
2015-09-15,125
2015-09-16,129
2015-09-16,129
2015-09-17,129
2015-09-18,129
2015-09-19,129
2015-09-24,129
2015-09-24,129
2015-09-25,126.74
2015-09-26,126.74
2015-09-26,129
2015-09-28,129
2015-09-29,129
2015-09-30,129
2015-10-02,129
2015-10-04,129
2015-10-04,129
2015-10-05,129
2015-11-03,129
2015-11-04,129
2015-11-06,129
2015-11-07,129
2015-11-08,129
2015-11-08,129
2015-11-09,129
2015-11-10,129
2015-11-11,126.98
2015-11-12,126.98
2015-11-13,126.98
2015-11-14,126.98
2015-11-15,126.98
2015-11-17,129
2015-11-18,129
2015-11-21,129
2015-11-23,129
2015-11-23,129
2015-11-25,129
2015-11-25,129
2015-12-09,129
2015-12-13,129
2015-12-17,129
2015-12-18,129
2016-04-04,146.98
2016-04-08,146.98
2016-04-09,146.98
2016-04-10,144.7
2016-04-10,142.16
2016-04-11,142.16
2016-04-11,142.16
2016-04-12,129
2016-04-13,129
2016-04-14,129
2016-04-17,129
2016-04-26,129
2016-04-26,129
2016-04-27,129
2016-04-29,129
2016-04-29,129
2016-05-10,129
2016-05-13,129
2016-05-13,136.05
2016-06-16,135.33
2016-06-17,135.33
2016-06-18,125.99
2016-06-21,139.4
2016-06-21,136.82
2016-09-19,129
2016-10-18,129
2016-10-21,129
2016-10-22,129
2016-10-23,129
2016-10-23,129
2016-10-23,129
2016-10-24,129
2016-10-26,129
2016-10-26,129
2016-10-26,129
2016-10-27,129
2016-10-27,129
2016-10-27,129
2016-10-27,129
2016-10-27,129
2016-10-28,129
2016-10-28,129
2016-10-29,129
2016-10-29,129
2016-10-29,129
2016-10-29,129
2016-10-30,129
2016-10-30,129
2016-10-30,129
2016-10-30,129
2016-10-31,129
2016-10-31,129
2016-10-31,129
2016-10-31,129
2016-10-31,129
2016-11-01,129
2016-11-01,129
2016-11-01,129
2016-11-01,129
2016-11-02,129
2016-11-02,129
2016-11-02,129
2016-11-02,129
2016-11-03,129
2016-11-03,129
2016-11-03,129
2016-11-04,129
2016-11-04,129
2016-11-04,129
2016-11-04,129
2016-11-04,129
2016-11-05,129
2016-11-05,129
2016-11-05,129
2016-11-05,129
2016-11-06,129
2016-11-06,129
2016-11-06,129
2016-11-07,129
2016-11-07,129
2016-11-07,129
2016-11-07,129
2016-11-08,129
2016-11-08,129
2016-11-09,129
2016-11-09,129
2016-11-09,129
2016-11-09,128.7
2016-11-09,128.7
2016-11-10,129
2016-11-10,129
2016-11-10,129
2016-11-10,129
2016-11-11,129
2016-11-11,129
2016-11-11,129
2016-11-11,129
2016-11-11,129
2016-11-12,129
2016-11-12,129
2016-11-12,129
2016-11-13,129
2016-11-13,129
2016-11-13,129
2016-11-13,129
2016-11-13,129
2016-11-14,129
2016-11-14,129
2016-11-14,129
2016-11-14,129
2016-11-14,129
2016-11-14,129
2016-11-15,129
2016-11-15,129
2016-11-15,129
2016-11-15,129
2016-11-15,129
2016-11-16,129
2016-11-16,129
2016-11-16,129
2016-11-17,129
2016-11-17,129
2016-11-17,129
2016-11-17,129
2016-11-18,129
2016-11-18,129
2016-11-18,129
2016-11-19,129
2016-11-20,129
2016-11-20,129
2016-11-20,129
2016-11-21,129
2016-11-21,129
2016-11-21,129
2016-11-22,129
2016-11-22,129
2016-11-23,129
2016-11-23,129
2016-11-24,129
2016-11-25,129
