Time,Price
2016-10-26,12.5
2016-10-27,12.5
2016-10-27,12.5
2016-10-27,12.5
2016-10-27,12.5
2016-10-28,12.5
2016-10-28,12.5
2016-10-28,12.5
2016-10-29,12.5
2016-10-29,12.5
2016-10-29,12.5
2016-10-29,12.5
2016-10-30,12.5
2016-10-30,12.5
2016-10-31,12.5
2016-10-31,12.5
2016-10-31,12.52
2016-10-31,12.52
2016-11-01,12.52
2016-11-01,12.99
2016-11-01,12.99
2016-11-02,12.99
2016-11-02,12.99
2016-11-02,12.99
2016-11-02,12.99
2016-11-03,12.94
2016-11-03,12.94
2016-11-03,12.89
2016-11-03,12.89
2016-11-04,12.84
2016-11-04,12.84
2016-11-04,12.84
2016-11-04,12.84
2016-11-05,12.84
2016-11-05,12.84
2016-11-05,12.84
2016-11-05,12.84
2016-11-06,12.79
2016-11-06,12.79
2016-11-06,12.79
2016-11-06,12.79
2016-11-07,12.79
2016-11-07,12.79
2016-11-07,12.79
2016-11-07,12.79
2016-11-07,12.79
2016-11-08,12.74
2016-11-08,12.74
2016-11-08,12.74
2016-11-09,12.74
2016-11-09,12.94
2016-11-09,12.94
2016-11-09,12.94
2016-11-10,12.94
2016-11-10,12.89
2016-11-10,12.89
2016-11-10,12.84
2016-11-10,12.84
2016-11-11,12.84
2016-11-11,12.74
2016-11-11,12.74
2016-11-11,12.69
2016-11-11,12.69
2016-11-12,12.69
2016-11-12,12.69
2016-11-12,12.69
2016-11-12,12.64
2016-11-12,12.64
2016-11-13,12.59
2016-11-13,12.59
2016-11-13,12.59
2016-11-13,12.59
2016-11-13,12.49
2016-11-14,12.49
2016-11-14,12.49
2016-11-14,12.49
2016-11-14,12.49
2016-11-14,12.49
2016-11-15,12.49
2016-11-15,12.49
2016-11-15,12.49
2016-11-15,12.49
2016-11-15,12.49
2016-11-15,12.49
2016-11-15,12.49
2016-11-16,12.44
2016-11-16,12.44
2016-11-16,12.44
2016-11-16,12.44
2016-11-16,12.44
2016-11-17,12.44
2016-11-17,12.44
2016-11-17,12.44
2016-11-17,12.39
2016-11-18,12.25
2016-11-18,12.25
2016-11-18,12.25
2016-11-18,12.25
2016-11-18,12.25
2016-11-18,12.25
2016-11-19,12.25
2016-11-19,12.25
2016-11-19,12.25
2016-11-19,12.25
2016-11-19,12.18
2016-11-19,12.18
2016-11-20,12.07
2016-11-20,12.07
2016-11-20,11.76
2016-11-20,11.58
2016-11-20,11.58
2016-11-20,11.58
2016-11-21,11.58
2016-11-21,11.53
2016-11-21,11.53
2016-11-21,11.48
2016-11-21,11.48
2016-11-22,11.48
2016-11-22,11.48
2016-11-22,11.48
2016-11-22,11.48
2016-11-22,11.48
2016-11-22,11.48
2016-11-23,11.43
2016-11-23,11.43
2016-11-23,11.43
2016-11-23,11.43
2016-11-23,11.43
2016-11-23,11.43
2016-11-24,11.38
2016-11-24,11.33
2016-11-24,11.16
2016-11-24,11.16
2016-11-24,11.16
2016-11-24,11.16
2016-11-25,11.11
2016-11-25,11.06
2016-11-25,10.77
2016-11-25,10.77
2016-11-25,12.72
2016-11-25,12.72
2016-11-25,12.72
2016-11-26,12.72
2014-06-09,12.75
2014-06-10,12.75
2014-06-16,15.95
2014-06-18,13.89
2014-07-15,11.99
2014-08-02,13.11
2014-08-14,15.95
2014-08-18,12.99
2014-08-18,12.99
2014-08-23,13.11
2014-08-23,12.99
2014-08-23,13.11
2014-08-23,12.99
2014-08-23,13.11
2014-08-23,12.99
2014-08-23,13.11
2014-08-23,12.99
2014-08-23,13.11
2014-08-23,12.99
2014-08-23,13.11
2014-08-23,12.99
2014-08-24,13.11
2014-08-24,12.99
2014-08-24,13.11
2014-08-24,12.99
2014-08-24,13.11
2014-08-25,12.99
2014-08-25,13.11
2014-08-25,12.99
2014-08-26,13.89
2014-08-26,13.11
2014-08-26,12.99
2014-08-27,13.89
2014-08-27,12.99
2014-08-27,13.11
2014-08-27,12.99
2014-08-28,13.11
2014-08-30,13.09
2014-08-31,12.99
2014-09-02,13.11
2014-09-03,13.66
2014-09-04,13.50
2014-09-04,15.75
2014-09-05,13.61
2014-09-06,13.77
2014-09-06,13.77
2014-09-07,15.75
2014-09-07,15.75
2014-09-07,14.46
2014-09-07,15.75
2014-09-08,15.75
2014-09-08,14.06
2014-09-08,14.00
2014-09-09,14.06
2014-09-10,14.06
2014-09-11,14.17
2014-09-11,14.06
2014-09-12,14.06
2014-09-15,14.35
2014-09-16,14.35
2014-09-17,14.46
2014-09-17,16.95
2014-09-18,14.46
2014-09-19,14.26
2014-09-21,14.35
2014-09-22,14.15
2014-09-24,14.26
2014-09-30,16.95
2014-10-01,14.15
2014-10-01,14.35
2014-10-02,14.15
2014-10-03,14.20
2014-10-03,14.35
2014-10-03,14.20
2014-10-04,14.15
2014-10-04,14.20
2014-10-04,14.15
2014-10-05,16.95
2014-10-06,11.99
2014-10-09,11.14
2014-10-12,7.99
2014-10-24,9.98
2014-10-28,11.14
2014-10-29,7.99
2015-01-14,7.99
2015-01-22,7.99
2015-03-07,7.99
2015-03-15,7.99
2015-03-16,7.99
2015-03-23,14.49
2015-03-26,12.88
2015-03-29,13.48
2015-03-30,13.66
2015-03-30,13.66
2015-03-30,13.72
2015-03-31,13.94
2015-04-03,14.14
2015-04-04,14.15
2015-04-08,14.11
2015-04-19,14.15
2015-04-22,14.14
2015-05-04,14.13
2015-05-06,14.14
2015-05-12,14.13
2015-05-15,14.13
2015-05-16,14.14
2015-05-20,14.10
2015-06-04,14.25
2015-06-05,14.17
2015-06-08,14.14
2015-06-11,13.73
2015-06-15,14.14
2015-06-25,14.25
2015-06-28,13.94
2015-07-07,14.29
2015-07-08,14.15
2015-07-24,14.10
2015-07-29,14.13
2015-08-01,14.25
2015-08-06,14.10
2015-08-17,14.25
2015-09-08,14.99
2015-09-14,14.13
2015-09-20,14.10
2015-09-28,13.00
2015-09-29,12.98
2015-09-30,13.00
2015-10-01,13.04
2015-10-01,13.12
2015-10-02,13.16
2015-10-02,13.24
2015-10-03,13.40
2015-10-03,13.60
2015-10-04,13.64
2015-10-04,13.72
2015-10-04,13.00
2015-10-05,13.04
2015-10-06,15.48
2015-10-06,13.12
2015-10-07,14.25
2015-10-07,15.48
2015-10-07,14.25
2015-10-08,14.40
2015-10-08,13.04
2015-10-09,13.56
2015-10-09,14.10
2015-10-09,15.48
2015-10-11,14.28
2015-10-12,14.14
2015-10-13,14.10
2015-10-14,13.97
2015-10-14,13.98
2015-10-14,14.02
2015-10-15,13.77
2015-10-15,13.70
2015-10-16,13.72
2015-10-16,13.75
2015-10-16,13.53
2015-10-17,13.41
2015-10-17,13.42
2015-10-17,13.48
2015-10-18,13.59
2015-10-18,13.75
2015-10-19,14.15
2015-10-19,14.25
2015-10-20,12.54
2015-10-21,14.25
2015-10-23,13.16
2015-10-27,14.25
2015-10-28,13.00
2015-10-31,12.00
2015-11-05,10.06
2015-11-06,12.00
2015-11-18,12.41
2015-11-25,12.00
2015-12-05,11.50
2015-12-19,12.50
2015-12-21,12.65
2015-12-28,14.25
2015-12-29,13.00
2015-12-30,14.00
2016-01-02,11.50
2016-01-07,11.65
2016-01-08,11.50
2016-01-17,12.99
2016-01-29,12.99
2016-02-01,12.33
2016-02-01,12.99
2016-02-10,12.47
2016-02-18,11.50
2016-02-29,11.82
2016-03-01,11.59
2016-03-02,12.50
2016-03-13,11.50
2016-04-01,11.00
2016-04-07,12.50
2016-05-09,12.50
2016-06-06,12.99
2016-06-07,11.33
2016-06-26,12.50
2016-07-10,11.84
2016-07-19,12.73
2016-07-19,12.73
2016-07-24,12.99
2016-08-03,12.83
2016-08-11,12.50
2016-08-13,12.50
2016-08-21,12.50
2016-08-26,12.25
2016-09-15,11.20
2016-09-21,11.14
2016-09-23,11.03
2016-09-23,11.01
2016-09-26,11.29
2016-09-29,11.44
2016-09-29,12.48
2016-09-30,11.47
2016-10-03,11.96
2016-10-04,11.59
2016-10-06,11.29
2016-10-07,9.23
2016-10-15,11.80
2016-10-20,11.85
2016-10-25,12.50
2016-10-26,12.50
2016-11-02,12.99
2016-11-04,12.84
2016-11-06,12.79
2016-11-08,13.01
2016-11-10,12.89
2016-11-11,12.69
2016-11-14,12.49
2016-11-18,12.23
2016-11-20,11.58
2016-11-22,11.48
2016-11-23,11.43
2016-11-25,11.11
2016-11-25,10.77
2016-11-26,11.03
2016-11-27,11.03
