Time,Price
2014-04-16,110.99
2014-04-25,110.99
2015-03-27,117.99
2015-04-02,117.98
2015-04-03,117.98
2015-04-07,117.98
2015-04-08,117.98
2015-04-11,117.98
2015-04-12,117.98
2015-04-13,117.98
2015-04-13,117.98
2015-04-14,117.98
2015-04-15,117.98
2015-04-22,117.98
2015-04-24,117.98
2015-05-06,117.98
2015-05-08,117.98
2015-05-15,117.98
2015-05-28,129.99
2015-05-29,129.99
2015-05-31,129.99
2016-10-29,99.99
2016-11-04,122.99
2016-11-09,122.99
2016-11-11,122.99
2016-11-13,122.99
2016-11-15,122.99
2016-11-16,122.99
2016-11-19,122.99
2016-11-20,122.99
2016-11-23,122.99
2016-11-23,122.99
2016-11-26,122.99
2014-06-09,149.38
2014-07-26,136.44
2014-08-09,136.44
2014-09-30,128.99
2014-10-14,128.99
2014-11-02,128.99
2014-11-12,118.41
2015-01-24,118.41
2015-03-08,118.41
2015-03-23,117.99
2015-03-30,117.98
2015-04-19,133.10
2015-04-20,117.98
2015-04-23,135.52
2015-04-26,117.98
2015-05-02,133.10
2015-05-02,117.98
2015-05-12,117.98
2015-05-17,117.98
2015-05-18,134.20
2015-05-21,117.98
2015-05-27,121.51
2015-06-03,129.99
2015-06-15,190.01
2015-07-18,129.99
2015-07-22,124.99
2015-10-09,116.95
2015-11-08,99.99
2015-11-09,99.99
2016-03-10,129.00
2016-05-23,128.99
2016-06-27,129.99
2016-10-20,99.99
2016-11-03,122.99
2016-11-05,122.99
2016-11-26,122.99
2016-11-27,122.99
